name;description;year;manufacturer;is_parent;romof;is_clone;cloneof;sasampleof;is_runnable;is_device;is_bios;biosof;is_mechanical;is_arcade;use_chds;savestate;source_file;first_emulator;first_emulator_date;last_emulator;last_emulator_date;players;buttons;coins;sound_channels;screens;display_type;display_rotate;screen_orientation;display_width;display_height;display_refresh;input_controls;monitor_type;chips_cpu;chips_cpu_details;chips_audio;chips_audio_details;driver_status;driver_emulation;driver_color;driver_sound;driver_graphic;driver_cocktail;driver_protection;dump_status;device_types;category;genre;serie;language;colors;has_device_refs;has_roms;has_disks;has_dip_switches;has_bios_sets;has_configs;has_ports;has_devices;has_slots;has_adjusters;has_soft_lists;has_ram_opts;has_cheats;nplayers;url_playonline;url_shortplays;url_shortplay_ms;game_rate;mature;on_top_score;on_bacheca_record;on_arcaworld;lang2;ranking;bestgame;alltime;cabinets;
aceattac;"Ace Attacker (FD1094 317-0059)";"1988";Sega;YES;-;NO;-;-;YES;NO;NO;-;NO;YES;NO;NO;"segas16b.cpp";"Mame 0.74u2";"2003-10-06";"Mame 0.196";"2018-03-28";4;1;2;1;1;RASTER;"270";VERTICAL;320;224;60.054389;"positional,trackball,joystick (analog),pedal";"CRT 15kHz";"Hitachi FD1094 Encrypted CPU,Zilog Z80";"maincpu Hitachi FD1094 Encrypted CPU @10 MHz, soundcpu Zilog Z80 @5 MHz";"Speaker,Yamaha YM2151 OPM,NEC uPD7759";"mono Speaker, ym2151 Yamaha YM2151 OPM @4 MHz, upd NEC uPD7759 @0.64 MHz";GOOD;GOOD;GOOD;GOOD;GOOD;UNKNOWN;GOOD;BADDUMP;-;"Sports / Volleyball";Sports;-;English;-;YES;YES;NO;YES;NO;NO;YES;NO;NO;NO;NO;NO;YES;"2P sim";-;"https://www.youtube.com/watch?v=AZwV80FKr7Q";-;0;NO;NO;NO;NO;English;"40 to 50 (Decent)";-;"40 to 50 (Decent)";NO;
angelkds;"Angel Kids (Japan)";"1988";"Sega / Nasco?";YES;-;NO;-;-;YES;NO;NO;-;NO;YES;NO;YES;angelkds.cpp;"Mame 0.58";"2002-02-05";"Mame 0.196";"2018-03-28";2;0;2;1;1;RASTER;"90";VERTICAL;256;240;60.000000;"double joystick (8-way)";"CRT 15kHz";"Zilog Z80";"maincpu Zilog Z80 @6 MHz, sub Zilog Z80 @4 MHz";"Speaker,YM2203 OPN";"mono Speaker, ym1 YM2203 OPN @4 MHz, ym2 YM2203 OPN @4 MHz";GOOD;GOOD;GOOD;GOOD;GOOD;UNKNOWN;GOOD;GOOD;-;"Climbing / Tree - Plant";Climbing;-;Japanese;-;YES;YES;NO;YES;NO;NO;YES;NO;NO;NO;NO;NO;YES;"2P alt";https://archive.org/details/arcade_angelkds;"https://www.youtube.com/watch?v=coMzVyoG_88";-;0;NO;NO;NO;NO;Japanese;"50 to 60 (Not Good Enough)";"1988";"Cocktail, Upright";NO;
aponow;"Apocaljpse Now (bootleg of Rescue)";"1982";bootleg;NO;rescue;YES;rescue;-;YES;NO;NO;-;NO;YES;NO;YES;scobra.cpp;"Mame 0.74";"2003-09-14";"Mame 0.196";"2018-03-28";1;1;2;1;1;RASTER;"90";VERTICAL;256;224;60.606061;"double joystick (8-way)";"CRT 15kHz";"Zilog Z80";"maincpu Zilog Z80 @3.72 MHz, audiocpu Zilog Z80 @1.78975 MHz";"Speaker,AY-3-8910A PSG";"mono Speaker, ay1 AY-3-8910A PSG @1.78975 MHz, ay2 AY-3-8910A PSG @1.78975 MHz";GOOD;GOOD;GOOD;GOOD;GOOD;UNKNOWN;GOOD;GOOD;-;"Shooter / Flying";Shooter;-;English;-;YES;YES;NO;YES;NO;NO;YES;NO;NO;NO;NO;NO;YES;"2P alt";-;-;-;0;NO;NO;NO;NO;English;-;-;English;NO;
"area51a";"Area 51 (Atari Games license, Oct 25, 1995)";"1995";"Atari Games";NO;"area51";YES;"area51";-;YES;NO;NO;-;NO;YES;YES;NO;jaguar.cpp;"Mame 0.79u2";"2004-02-21";"Mame 0.196";"2018-03-28";2;1;4;2;1;RASTER;"0";HORIZONTAL;360;240;59.922743;lightgun;"CRT 15kHz";"Motorola MC68EC020,Motorola Atari Jaguar GPU ""Tom"",Motorola Atari Jaguar DSP ""Jerry""";"maincpu Motorola MC68EC020 @25 MHz, gpu Motorola Atari Jaguar GPU ""Tom"" @26 MHz, dsp Motorola Atari Jaguar DSP ""Jerry"" @26 MHz";"Speaker,16-Bit R-2R Twos Complement DAC";"lspeaker Speaker, rspeaker Speaker, ldac 16-Bit R-2R Twos Complement DAC, rdac 16-Bit R-2R Twos Complement DAC";GOOD;GOOD;GOOD;GOOD;GOOD;UNKNOWN;GOOD;GOOD;harddisk;"Shooter / Gun";Shooter;"Area 51";English;-;YES;YES;YES;YES;NO;NO;YES;YES;NO;NO;NO;NO;YES;"2P sim";-;"https://www.youtube.com/watch?v=JhfsRQZeKg4";-;0;NO;NO;NO;NO;English;-;-;English;NO;
"area51";"Area 51 (R3000)";"1996";"Atari Games";YES;-;NO;-;-;YES;NO;NO;-;NO;YES;YES;NO;jaguar.cpp;"Mame 0.62";"2002-11-12";"Mame 0.196";"2018-03-28";2;1;4;2;1;RASTER;"0";HORIZONTAL;360;240;59.922743;lightgun;"CRT 15kHz";"MIPS R3041,Motorola Atari Jaguar GPU ""Tom"",Motorola Atari Jaguar DSP ""Jerry""";"maincpu MIPS R3041 @40 MHz, gpu Motorola Atari Jaguar GPU ""Tom"" @26 MHz, dsp Motorola Atari Jaguar DSP ""Jerry"" @26 MHz";"Speaker,16-Bit R-2R Twos Complement DAC";"lspeaker Speaker, rspeaker Speaker, ldac 16-Bit R-2R Twos Complement DAC, rdac 16-Bit R-2R Twos Complement DAC";GOOD;GOOD;GOOD;GOOD;GOOD;UNKNOWN;GOOD;GOOD;harddisk;"Shooter / Gun";Shooter;"Area 51";English;-;YES;YES;YES;YES;NO;NO;YES;YES;NO;NO;NO;NO;YES;"2P sim";-;"https://www.youtube.com/watch?v=YH_n9aUTXBc";-;70;NO;NO;NO;NO;English;"70 to 80 (Good)";"1996";"1996";NO;
"area51t";"Area 51 (Time Warner license, Oct 17, 1996)";"1995";"Atari Games (Time Warner license)";NO;"area51";YES;"area51";-;YES;NO;NO;-;NO;YES;YES;NO;jaguar.cpp;"Mame 0.82u1";"2004-05-13";"Mame 0.196";"2018-03-28";2;1;4;2;1;RASTER;"0";HORIZONTAL;360;240;59.922743;lightgun;"CRT 15kHz";"Motorola MC68EC020,Motorola Atari Jaguar GPU ""Tom"",Motorola Atari Jaguar DSP ""Jerry""";"maincpu Motorola MC68EC020 @25 MHz, gpu Motorola Atari Jaguar GPU ""Tom"" @26 MHz, dsp Motorola Atari Jaguar DSP ""Jerry"" @26 MHz";"Speaker,16-Bit R-2R Twos Complement DAC";"lspeaker Speaker, rspeaker Speaker, ldac 16-Bit R-2R Twos Complement DAC, rdac 16-Bit R-2R Twos Complement DAC";GOOD;GOOD;GOOD;GOOD;GOOD;UNKNOWN;GOOD;GOOD;harddisk;"Shooter / Gun";Shooter;"Area 51";English;-;YES;YES;YES;YES;NO;NO;YES;YES;NO;NO;NO;NO;YES;"2P sim";-;"https://www.youtube.com/watch?v=qKCnsNMtY7Q";-;0;NO;NO;NO;NO;English;-;-;English;NO;
"a51mxr3k";"Area 51 / Maximum Force Duo (R3000, 2/10/98)";"1998";"Atari Games";NO;"area51mx";YES;"area51mx";-;YES;NO;NO;-;NO;YES;YES;NO;jaguar.cpp;"Mame 0.71u2";"2003-07-12";"Mame 0.196";"2018-03-28";2;1;4;2;1;RASTER;"0";HORIZONTAL;360;240;59.922743;lightgun;"CRT 15kHz";"MIPS R3041,Motorola Atari Jaguar GPU ""Tom"",Motorola Atari Jaguar DSP ""Jerry""";"maincpu MIPS R3041 @40 MHz, gpu Motorola Atari Jaguar GPU ""Tom"" @26 MHz, dsp Motorola Atari Jaguar DSP ""Jerry"" @26 MHz";"Speaker,16-Bit R-2R Twos Complement DAC";"lspeaker Speaker, rspeaker Speaker, ldac 16-Bit R-2R Twos Complement DAC, rdac 16-Bit R-2R Twos Complement DAC";GOOD;GOOD;GOOD;GOOD;GOOD;UNKNOWN;GOOD;GOOD;harddisk;"Shooter / Gun";Shooter;"Area 51";English;-;YES;YES;YES;YES;NO;NO;YES;YES;NO;NO;NO;NO;YES;"2P sim";-;"https://www.youtube.com/watch?v=XtRgZBmvp78";-;0;NO;NO;NO;NO;English;-;-;English;NO;
"area51mx";"Area 51 / Maximum Force Duo v2.0";"1998";"Atari Games";YES;-;NO;-;-;YES;NO;NO;-;NO;YES;YES;NO;jaguar.cpp;"Mame 0.68";"2003-05-15";"Mame 0.196";"2018-03-28";2;1;4;2;1;RASTER;"0";HORIZONTAL;360;240;59.922743;lightgun;"CRT 15kHz";"Motorola MC68EC020,Motorola Atari Jaguar GPU ""Tom"",Motorola Atari Jaguar DSP ""Jerry""";"maincpu Motorola MC68EC020 @25 MHz, gpu Motorola Atari Jaguar GPU ""Tom"" @26 MHz, dsp Motorola Atari Jaguar DSP ""Jerry"" @26 MHz";"Speaker,16-Bit R-2R Twos Complement DAC";"lspeaker Speaker, rspeaker Speaker, ldac 16-Bit R-2R Twos Complement DAC, rdac 16-Bit R-2R Twos Complement DAC";GOOD;GOOD;GOOD;GOOD;GOOD;UNKNOWN;GOOD;GOOD;harddisk;"Shooter / Gun";Shooter;"Area 51";English;-;YES;YES;YES;YES;NO;NO;YES;YES;NO;NO;NO;NO;YES;"2P sim";-;"https://www.youtube.com/watch?v=dFcBwAN5b7A";-;80;NO;NO;NO;NO;English;"70 to 80 (Good)";"1998";"1998";NO;
assaultj;"Assault (Japan)";"1988";Namco;NO;assault;YES;assault;-;YES;NO;NO;-;NO;YES;NO;NO;"namcos2.cpp";"Mame 0.36b8";"1999-10-30";"Mame 0.196";"2018-03-28";2;1;2;2;1;RASTER;"90";VERTICAL;288;224;60.606061;"double joystick (4-way)";"CRT 15kHz";"Motorola MC68000,Motorola MC6809E,Hitachi HD63705";"maincpu Motorola MC68000 @12.288 MHz, slave Motorola MC68000 @12.288 MHz, audiocpu Motorola MC6809E @2.48 MHz, mcu Hitachi HD63705 @2.48 MHz";"Speaker,Namco C140,Yamaha YM2151 OPM";"lspeaker Speaker, rspeaker Speaker, c140 Namco C140 @0.21333 MHz, ymsnd Yamaha YM2151 OPM @3.579545 MHz";GOOD;GOOD;GOOD;GOOD;GOOD;UNKNOWN;GOOD;GOOD;-;"Shooter / Driving";Shooter;-;Japanese;-;YES;YES;NO;YES;NO;NO;YES;NO;NO;NO;NO;NO;YES;"2P alt";-;"https://www.youtube.com/watch?v=_y4AMRmtQXw";-;0;NO;NO;NO;YES;Japanese;-;-;Japanese;NO;
assault;"Assault (Rev B)";"1988";Namco;YES;-;NO;-;-;YES;NO;NO;-;NO;YES;NO;NO;"namcos2.cpp";"Mame 0.36b8";"1999-10-30";"Mame 0.196";"2018-03-28";2;1;2;2;1;RASTER;"90";VERTICAL;288;224;60.606061;"double joystick (4-way)";"CRT 15kHz";"Motorola MC68000,Motorola MC6809E,Hitachi HD63705";"maincpu Motorola MC68000 @12.288 MHz, slave Motorola MC68000 @12.288 MHz, audiocpu Motorola MC6809E @2.48 MHz, mcu Hitachi HD63705 @2.48 MHz";"Speaker,Namco C140,Yamaha YM2151 OPM";"lspeaker Speaker, rspeaker Speaker, c140 Namco C140 @0.21333 MHz, ymsnd Yamaha YM2151 OPM @3.579545 MHz";GOOD;GOOD;GOOD;GOOD;GOOD;UNKNOWN;GOOD;GOOD;-;"Shooter / Driving";Shooter;-;English;-;YES;YES;NO;YES;NO;NO;YES;NO;NO;NO;NO;NO;YES;"1P";https://archive.org/details/arcade_assault;"https://www.youtube.com/watch?v=F4v89jiPU3s";-;0;NO;NO;NO;NO;English;"70 to 80 (Good)";"1988";"1988";NO;
