name;description;year;manufacturer;is_parent;romof;is_clone;cloneof;sasampleof;is_runnable;is_device;is_bios;biosof;is_mechanical;is_arcade;use_chds;savestate;source_file;first_emulator;first_emulator_date;last_emulator;last_emulator_date;players;buttons;coins;sound_channels;screens;display_type;display_rotate;screen_orientation;display_width;display_height;display_refresh;input_controls;monitor_type;chips_cpu;chips_cpu_details;chips_audio;chips_audio_details;driver_status;driver_emulation;driver_color;driver_sound;driver_graphic;driver_cocktail;driver_protection;dump_status;device_types;category;genre;serie;language;colors;has_device_refs;has_roms;has_disks;has_dip_switches;has_bios_sets;has_configs;has_ports;has_devices;has_slots;has_adjusters;has_soft_lists;has_ram_opts;has_cheats;nplayers;url_playonline;url_shortplays;url_shortplay_ms;game_rate;mature;on_top_score;on_bacheca_record;on_arcaworld;lang2;ranking;bestgame;alltime;cabinets;
gtmra;1000 Miglia: Great 1000 Miles Rally (94/06/13);1994;Kaneko;NO;gtmr;YES;gtmr;-;YES;NO;NO;-;NO;YES;NO;YES;kaneko16.cpp;Mame 0.99u8;2005-09-09;Mame 0.196;2018-03-28;2;2;2;1;1;RASTER;0;HORIZONTAL;320;240;60.000000;joystick (8-way),dial,paddle;CRT 15kHz;Motorola MC68000;maincpu Motorola MC68000 @16 MHz;Speaker,OKI MSM6295 ADPCM;mono Speaker, oki1 OKI MSM6295 ADPCM @2 MHz, oki2 OKI MSM6295 ADPCM @2 MHz;GOOD;GOOD;GOOD;GOOD;GOOD;UNKNOWN;GOOD;GOOD;-;Driving / Race;Driving;Great 1000 Miles Rally;English;-;YES;YES;NO;YES;NO;NO;YES;NO;NO;NO;NO;NO;YES;2P alt;-;https://www.youtube.com/watch?v=fvxdq6Ldup0;-;0;NO;NO;NO;NO;English;-;-;Cocktail, Upright;NO;
gtmr;1000 Miglia: Great 1000 Miles Rally (94/07/18);1994;Kaneko;YES;-;NO;-;-;YES;NO;NO;-;NO;YES;NO;YES;kaneko16.cpp;Mame 0.36b15;2000-01-21;Mame 0.196;2018-03-28;2;2;2;1;1;RASTER;0;HORIZONTAL;320;240;60.000000;joystick (8-way),dial,paddle;CRT 15kHz;Motorola MC68000;maincpu Motorola MC68000 @16 MHz;Speaker,OKI MSM6295 ADPCM;mono Speaker, oki1 OKI MSM6295 ADPCM @2 MHz, oki2 OKI MSM6295 ADPCM @2 MHz;GOOD;GOOD;GOOD;GOOD;GOOD;UNKNOWN;GOOD;GOOD;-;Driving / Race;Driving;Great 1000 Miles Rally;English, German, Italian;-;YES;YES;NO;YES;NO;NO;YES;NO;NO;NO;NO;NO;YES;2P alt;-;"https://www.youtube.com/watch?v=0Qzvb7KzHfE
http://www.youtube.com/watch?v=vnSFRBhTN9E";-;100;NO;NO;YES;NO;Italian;40 to 50 (Decent);1994;Cocktail, Upright;NO;
280zzzap;280-ZZZAP;1976;Dave Nutting Associates / Midway;YES;-;NO;-;-;YES;NO;NO;-;NO;YES;NO;YES;mw8080bw.cpp;Mame 0.33b3;1998-05-17;Mame 0.196;2018-03-28;1;1;1;0;1;RASTER;0;HORIZONTAL;260;224;59.541985;paddle,pedal;CRT 15kHz;Intel 8080;maincpu Intel 8080 @1.9968 MHz;-;-;PRELIMINARY;GOOD;GOOD;PRELIMINARY;GOOD;UNKNOWN;GOOD;GOOD;-;Driving / 1st Person;Driving;-;English;Black & White;YES;YES;NO;YES;NO;NO;YES;NO;NO;NO;NO;NO;YES;1P;-;https://www.youtube.com/watch?v=55mo2R6NRZM;-;0;NO;NO;NO;NO;Black & White;30 to 40 (Amendable);-;30 to 40 (Amendable);NO;
tceptor2;3-D Thunder Ceptor II;1986;Namco;NO;tceptor;YES;tceptor;-;YES;NO;NO;-;NO;YES;NO;NO;tceptor.cpp;Mame 0.76u1;2003-10-25;Mame 0.196;2018-03-28;1;4;2;2;1;RASTER;0;HORIZONTAL;272;224;60.606060;joystick (analog),pedal;CRT 15kHz;MC6809 (legacy),MOS Technology M65C02,Motorola MC68000,Hitachi HD63701;maincpu MC6809 (legacy) @1.536 MHz, audiocpu MOS Technology M65C02 @2.48 MHz, audio2 MOS Technology M65C02 @2.48 MHz, sub Motorola MC68000 @12.288 MHz, mcu Hitachi HD63701 @6.144 MHz;Speaker,Yamaha YM2151 OPM,Namco CUS30,8-Bit R-2R DAC;lspeaker Speaker, rspeaker Speaker, ymsnd Yamaha YM2151 OPM @3.579545 MHz, namco Namco CUS30 @0.24 MHz, dac 8-Bit R-2R DAC;GOOD;GOOD;GOOD;GOOD;GOOD;UNKNOWN;GOOD;GOOD;-;Shooter / Flying (chase view);Shooter;-;English;-;YES;YES;NO;YES;NO;NO;YES;NO;NO;NO;NO;NO;YES;1P;-;https://www.youtube.com/watch?v=W3nMKkn5JBE;-;0;NO;NO;NO;NO;English;-;-;English;NO;
720gr1;720 Degrees (German, rev 1);1986;Atari Games;NO;720;YES;720;-;YES;NO;NO;-;NO;YES;NO;YES;atarisy2.cpp;Mame 0.76u1;2003-10-25;Mame 0.196;2018-03-28;1;2;3;2;1;RASTER;0;HORIZONTAL;512;384;60.096154;joystick (analog),dial;CRT 25kHz;DEC T11,MOS Technology M6502,Atari C012294 POKEY;maincpu DEC T11 @10 MHz, audiocpu MOS Technology M6502 @1.789772 MHz, pokey1 Atari C012294 POKEY @1.789772 MHz, pokey2 Atari C012294 POKEY @1.789772 MHz;Speaker,Yamaha YM2151 OPM,Atari C012294 POKEY,TMS5220C;lspeaker Speaker, rspeaker Speaker, ymsnd Yamaha YM2151 OPM @3.579545 MHz, pokey1 Atari C012294 POKEY @1.789772 MHz, pokey2 Atari C012294 POKEY @1.789772 MHz, tms TMS5220C @0.625 MHz;GOOD;GOOD;GOOD;GOOD;GOOD;UNKNOWN;GOOD;GOOD;-;Sports / Skateboarding;Sports;-;German;-;YES;YES;NO;YES;NO;YES;YES;NO;NO;NO;NO;NO;YES;2P alt;-;-;-;0;NO;NO;NO;NO;German;-;-;German;NO;
720g;720 Degrees (German, rev 2);1986;Atari Games;NO;720;YES;720;-;YES;NO;NO;-;NO;YES;NO;YES;atarisy2.cpp;Mame 0.76u1;2003-10-25;Mame 0.196;2018-03-28;1;2;3;2;1;RASTER;0;HORIZONTAL;512;384;60.096154;joystick (analog),dial;CRT 25kHz;DEC T11,MOS Technology M6502,Atari C012294 POKEY;maincpu DEC T11 @10 MHz, audiocpu MOS Technology M6502 @1.789772 MHz, pokey1 Atari C012294 POKEY @1.789772 MHz, pokey2 Atari C012294 POKEY @1.789772 MHz;Speaker,Yamaha YM2151 OPM,Atari C012294 POKEY,TMS5220C;lspeaker Speaker, rspeaker Speaker, ymsnd Yamaha YM2151 OPM @3.579545 MHz, pokey1 Atari C012294 POKEY @1.789772 MHz, pokey2 Atari C012294 POKEY @1.789772 MHz, tms TMS5220C @0.625 MHz;GOOD;GOOD;GOOD;GOOD;GOOD;UNKNOWN;GOOD;GOOD;-;Sports / Skateboarding;Sports;-;German;-;YES;YES;NO;YES;NO;YES;YES;NO;NO;NO;NO;NO;YES;2P alt;-;-;-;0;NO;NO;NO;NO;German;-;-;German;NO;
720r1;720 Degrees (rev 1);1986;Atari Games;NO;720;YES;720;-;YES;NO;NO;-;NO;YES;NO;YES;atarisy2.cpp;Mame 0.76u1;2003-10-25;Mame 0.196;2018-03-28;1;2;3;2;1;RASTER;0;HORIZONTAL;512;384;60.096154;joystick (analog),dial;CRT 25kHz;DEC T11,MOS Technology M6502,Atari C012294 POKEY;maincpu DEC T11 @10 MHz, audiocpu MOS Technology M6502 @1.789772 MHz, pokey1 Atari C012294 POKEY @1.789772 MHz, pokey2 Atari C012294 POKEY @1.789772 MHz;Speaker,Yamaha YM2151 OPM,Atari C012294 POKEY,TMS5220C;lspeaker Speaker, rspeaker Speaker, ymsnd Yamaha YM2151 OPM @3.579545 MHz, pokey1 Atari C012294 POKEY @1.789772 MHz, pokey2 Atari C012294 POKEY @1.789772 MHz, tms TMS5220C @0.625 MHz;GOOD;GOOD;GOOD;GOOD;GOOD;UNKNOWN;GOOD;GOOD;-;Sports / Skateboarding;Sports;-;English;-;YES;YES;NO;YES;NO;YES;YES;NO;NO;NO;NO;NO;YES;2P alt;-;https://www.youtube.com/watch?v=S7eD0ELeLo0;-;0;NO;NO;NO;NO;English;-;-;English;NO;
720r2;720 Degrees (rev 2);1986;Atari Games;NO;720;YES;720;-;YES;NO;NO;-;NO;YES;NO;YES;atarisy2.cpp;Mame 0.76u1;2003-10-25;Mame 0.196;2018-03-28;1;2;3;2;1;RASTER;0;HORIZONTAL;512;384;60.096154;joystick (analog),dial;CRT 25kHz;DEC T11,MOS Technology M6502,Atari C012294 POKEY;maincpu DEC T11 @10 MHz, audiocpu MOS Technology M6502 @1.789772 MHz, pokey1 Atari C012294 POKEY @1.789772 MHz, pokey2 Atari C012294 POKEY @1.789772 MHz;Speaker,Yamaha YM2151 OPM,Atari C012294 POKEY,TMS5220C;lspeaker Speaker, rspeaker Speaker, ymsnd Yamaha YM2151 OPM @3.579545 MHz, pokey1 Atari C012294 POKEY @1.789772 MHz, pokey2 Atari C012294 POKEY @1.789772 MHz, tms TMS5220C @0.625 MHz;GOOD;GOOD;GOOD;GOOD;GOOD;UNKNOWN;GOOD;GOOD;-;Sports / Skateboarding;Sports;-;English;-;YES;YES;NO;YES;NO;YES;YES;NO;NO;NO;NO;NO;YES;2P alt;-;-;-;0;NO;NO;NO;NO;English;-;-;English;NO;
720r3;720 Degrees (rev 3);1986;Atari Games;NO;720;YES;720;-;YES;NO;NO;-;NO;YES;NO;YES;atarisy2.cpp;Mame 0.76u1;2003-10-25;Mame 0.196;2018-03-28;1;2;3;2;1;RASTER;0;HORIZONTAL;512;384;60.096154;joystick (analog),dial;CRT 25kHz;DEC T11,MOS Technology M6502,Atari C012294 POKEY;maincpu DEC T11 @10 MHz, audiocpu MOS Technology M6502 @1.789772 MHz, pokey1 Atari C012294 POKEY @1.789772 MHz, pokey2 Atari C012294 POKEY @1.789772 MHz;Speaker,Yamaha YM2151 OPM,Atari C012294 POKEY,TMS5220C;lspeaker Speaker, rspeaker Speaker, ymsnd Yamaha YM2151 OPM @3.579545 MHz, pokey1 Atari C012294 POKEY @1.789772 MHz, pokey2 Atari C012294 POKEY @1.789772 MHz, tms TMS5220C @0.625 MHz;GOOD;GOOD;GOOD;GOOD;GOOD;UNKNOWN;GOOD;GOOD;-;Sports / Skateboarding;Sports;-;English;-;YES;YES;NO;YES;NO;YES;YES;NO;NO;NO;NO;NO;YES;2P alt;-;-;-;0;NO;NO;NO;NO;English;-;-;English;NO;
720;720 Degrees (rev 4);1986;Atari Games;YES;-;NO;-;-;YES;NO;NO;-;NO;YES;NO;YES;atarisy2.cpp;Mame 0.33b4;1998-05-31;Mame 0.196;2018-03-28;1;2;3;2;1;RASTER;0;HORIZONTAL;512;384;60.096154;joystick (analog),dial;CRT 25kHz;DEC T11,MOS Technology M6502,Atari C012294 POKEY;maincpu DEC T11 @10 MHz, audiocpu MOS Technology M6502 @1.789772 MHz, pokey1 Atari C012294 POKEY @1.789772 MHz, pokey2 Atari C012294 POKEY @1.789772 MHz;Speaker,Yamaha YM2151 OPM,Atari C012294 POKEY,TMS5220C;lspeaker Speaker, rspeaker Speaker, ymsnd Yamaha YM2151 OPM @3.579545 MHz, pokey1 Atari C012294 POKEY @1.789772 MHz, pokey2 Atari C012294 POKEY @1.789772 MHz, tms TMS5220C @0.625 MHz;GOOD;GOOD;GOOD;GOOD;GOOD;UNKNOWN;GOOD;GOOD;-;Sports / Skateboarding;Sports;-;English;-;YES;YES;NO;YES;NO;YES;YES;NO;NO;NO;NO;NO;YES;2P alt;https://archive.org/details/arcade_720;https://www.youtube.com/watch?v=bcK3U-oxAE0;-;60;NO;NO;NO;NO;English;70 to 80 (Good);1986;1986;NO;
