name;description;year;manufacturer;is_parent;romof;is_clone;cloneof;sasampleof;is_runnable;is_device;is_bios;biosof;is_mechanical;is_arcade;use_chds;savestate;source_file;first_emulator;first_emulator_date;last_emulator;last_emulator_date;players;buttons;coins;sound_channels;screens;display_type;display_rotate;screen_orientation;display_width;display_height;display_refresh;input_controls;monitor_type;chips_cpu;chips_cpu_details;chips_audio;chips_audio_details;driver_status;driver_emulation;driver_color;driver_sound;driver_graphic;driver_cocktail;driver_protection;dump_status;device_types;category;genre;serie;language;colors;has_device_refs;has_roms;has_disks;has_dip_switches;has_bios_sets;has_configs;has_ports;has_devices;has_slots;has_adjusters;has_soft_lists;has_ram_opts;has_cheats;nplayers;url_playonline;url_shortplays;url_shortplay_ms;game_rate;mature;on_top_score;on_bacheca_record;on_arcaworld;lang2;ranking;bestgame;alltime;cabinets;
ace;Ace;"1976";"Allied Leisure";YES;-;NO;-;-;YES;NO;NO;-;NO;YES;NO;YES;ace.cpp;"Mame 0.62";"2002-11-12";"Mame 0.196";"2018-03-28";2;1;1;0;1;RASTER;"0";HORIZONTAL;224;240;60.000000;"joystick (2-way)";"CRT 15kHz";"Intel 8080";"maincpu Intel 8080 @2 MHz";-;-;PRELIMINARY;GOOD;GOOD;PRELIMINARY;GOOD;UNKNOWN;GOOD;GOOD;-;"Shooter / Field";Shooter;-;English;Monochromatic;YES;YES;NO;NO;NO;NO;YES;NO;NO;NO;NO;NO;YES;"2P sim";-;"https://www.youtube.com/watch?v=sA0RpOJNBpw";-;0;NO;NO;NO;NO;Monochromatic;"10 to 20 (Horrible)";-;"10 to 20 (Horrible)";NO;
nss_actr;"Act Raiser (Nintendo Super System)";"1992";Enix;YES;nss;NO;-;-;YES;NO;NO;nss;NO;YES;NO;NO;nss.cpp;"Mame 0.71u2";"2003-07-12";"Mame 0.196";"2018-03-28";2;13;2;2;2;RASTER;"0";HORIZONTAL;288;216;60.000000;"joystick (8-way)";"CRT 15kHz";"Ricoh 5A22,Sony SPC700,Zilog Z80";"maincpu Ricoh 5A22 @21.477272 MHz, soundcpu Sony SPC700 @2.48 MHz, bios Zilog Z80 @4 MHz";"Speaker,SNES Custom DSP (SPC700)";"lspeaker Speaker, rspeaker Speaker, spc700 SNES Custom DSP (SPC700)";PRELIMINARY;PRELIMINARY;GOOD;IMPERFECT;GOOD;UNKNOWN;GOOD;GOOD;-;"Platform / Fighter Scrolling";Platform;-;English;-;YES;YES;NO;YES;YES;NO;YES;NO;NO;NO;NO;NO;YES;"1P";-;"https://www.youtube.com/watch?v=nvEJ7U-oOqA";"https://www.youtube.com/watch?v=T6UJxr0MqTA";0;NO;NO;NO;NO;English;-;-;English;NO;
mt_aftrb;"After Burner (Mega-Tech, SMS based)";"1987";Sega;YES;megatech;NO;-;-;YES;NO;NO;megatech;NO;YES;NO;NO;megatech.cpp;"Mame 0.74";"2003-09-14";"Mame 0.196";"2018-03-28";2;4;4;2;2;RASTER;"0";HORIZONTAL;256;224;59.922738;"joystick (8-way)";"CRT 15kHz";"Motorola MC68000,Zilog Z80";"maincpu Motorola MC68000 @7.670453 MHz, genesis_snd_z80 Zilog Z80 @3.579545 MHz, mtbios Zilog Z80 @3.57954 MHz";"Speaker,YM2612 OPN2,Sega VDP PSG,SN76496";"lspeaker Speaker, rspeaker Speaker, ymsnd YM2612 OPN2 @7.670453 MHz, snsnd Sega VDP PSG @3.579545 MHz, sn2 SN76496 @3.57954 MHz";PRELIMINARY;PRELIMINARY;GOOD;GOOD;GOOD;UNKNOWN;GOOD;GOOD;cartridge;"Shooter / Flying (chase view)";Shooter;-;English;-;YES;YES;NO;YES;YES;NO;YES;YES;YES;NO;NO;NO;YES;???;-;"https://www.youtube.com/watch?v=tLKoIpbPAIo";"https://www.youtube.com/watch?v=oRGXN_M-6PQ";0;NO;NO;NO;NO;English;-;-;English;NO;
superbon;"Agent Super Bond (Super Cobra conversion)";"1985";"Signatron USA";YES;-;NO;-;-;YES;NO;NO;-;NO;YES;NO;YES;galaxian.cpp;"Mame 0.33b6";"1998-06-16";"Mame 0.196";"2018-03-28";1;2;2;1;1;RASTER;"90";VERTICAL;768;224;60.606061;"joystick (8-way)";"CRT 15kHz";"Zilog Z80";"maincpu Zilog Z80 @3.72 MHz, audiocpu Zilog Z80 @1.789772 MHz";"Speaker,AY-3-8910A PSG,Discrete Sound";"speaker Speaker, 8910.0 AY-3-8910A PSG @1.789772 MHz, 8910.1 AY-3-8910A PSG @1.789772 MHz, konami Discrete Sound";PRELIMINARY;GOOD;PRELIMINARY;GOOD;GOOD;UNKNOWN;GOOD;BADDUMP;-;"Maze / Shooter Small";Maze;-;English;-;YES;YES;NO;YES;NO;NO;YES;NO;NO;NO;NO;NO;YES;"2P alt";https://archive.org/details/arcade_superbon;"https://www.youtube.com/watch?v=7YpzXfWdfCo";-;0;NO;NO;NO;NO;English;"50 to 60 (Not Good Enough)";-;"50 to 60 (Not Good Enough)";NO;
ainferno;"Air Inferno (US)";"1990";"Taito America Corporation";YES;-;NO;-;-;YES;NO;NO;-;NO;YES;NO;NO;taitoair.cpp;"Mame 0.74u2";"2003-10-06";"Mame 0.196";"2018-03-28";2;6;2;1;1;RASTER;"0";HORIZONTAL;512;400;54.112554;"only_buttons,joystick (analog)";"CRT 31kHz";"Motorola MC68000,Zilog Z80,Texas Instruments TMS32025";"maincpu Motorola MC68000 @12 MHz, audiocpu Zilog Z80 @4 MHz, dsp Texas Instruments TMS32025 @36 MHz";"Speaker,YM2610 OPNB";"mono Speaker, ymsnd YM2610 OPNB @8 MHz";PRELIMINARY;PRELIMINARY;GOOD;GOOD;GOOD;UNKNOWN;GOOD;GOOD;-;"Shooter / Flying 1st Person";Shooter;-;English;-;YES;YES;NO;YES;NO;NO;YES;NO;NO;NO;NO;NO;YES;"1P";-;-;-;0;NO;NO;NO;NO;English;-;-;English;NO;
airraid;"Air Raid (Single PCB)";"1987";"Seibu Kaihatsu";YES;cshooter;NO;cshooter;-;YES;NO;NO;-;NO;YES;NO;NO;airraid.cpp;"Mame 0.74u2";"2003-10-06";"Mame 0.196";"2018-03-28";2;2;2;1;1;RASTER;"270";VERTICAL;256;224;60.000000;"joystick (8-way)";"CRT 15kHz";"Zilog Z80";"maincpu Zilog Z80 @6 MHz, audiocpu Zilog Z80 @3.579545 MHz";"Speaker,Yamaha YM2151 OPM";"mono Speaker, ymsnd Yamaha YM2151 OPM @3.579545 MHz";PRELIMINARY;PRELIMINARY;GOOD;GOOD;IMPERFECT;UNKNOWN;GOOD;NODUMP;-;"Shooter / Flying Vertical";Shooter;-;English;-;YES;YES;NO;YES;NO;NO;YES;NO;NO;NO;NO;NO;YES;???;-;-;-;0;NO;NO;NO;NO;English;-;-;English;NO;
alibaba;"Ali Baba and 40 Thieves";"1982";Sega;YES;-;NO;-;-;YES;NO;NO;-;NO;YES;NO;YES;pacman.cpp;"Mame 0.35b12";"1999-05-01";"Mame 0.196";"2018-03-28";2;1;2;1;1;RASTER;"90";VERTICAL;288;224;60.606061;"joystick (4-way)";"CRT 15kHz";"Zilog Z80";"maincpu Zilog Z80 @3.72 MHz";"Speaker,Namco";"mono Speaker, namco Namco @0.96 MHz";PRELIMINARY;GOOD;GOOD;GOOD;GOOD;UNKNOWN;IMPERFECT;GOOD;-;"Maze / Collect";Maze;-;English;-;YES;YES;NO;YES;NO;NO;YES;NO;NO;NO;NO;NO;YES;"2P alt";https://archive.org/details/arcade_alibaba;"https://www.youtube.com/watch?v=X2ImQdpTuqE";-;0;NO;NO;NO;NO;English;"30 to 40 (Amendable)";-;"Cocktail, Upright";NO;
mt_astrm;"Alien Storm (Mega-Tech)";"1990";Sega;YES;megatech;NO;-;-;YES;NO;NO;megatech;NO;YES;NO;NO;megatech.cpp;"Mame 0.89u6";"2004-12-17";"Mame 0.196";"2018-03-28";2;4;4;2;2;RASTER;"0";HORIZONTAL;256;224;59.922738;"joystick (8-way)";"CRT 15kHz";"Motorola MC68000,Zilog Z80";"maincpu Motorola MC68000 @7.670453 MHz, genesis_snd_z80 Zilog Z80 @3.579545 MHz, mtbios Zilog Z80 @3.57954 MHz";"Speaker,YM2612 OPN2,Sega VDP PSG,SN76496";"lspeaker Speaker, rspeaker Speaker, ymsnd YM2612 OPN2 @7.670453 MHz, snsnd Sega VDP PSG @3.579545 MHz, sn2 SN76496 @3.57954 MHz";PRELIMINARY;PRELIMINARY;GOOD;GOOD;GOOD;UNKNOWN;GOOD;GOOD;cartridge;"Platform / Shooter Scrolling";Platform;-;English;-;YES;YES;NO;YES;YES;NO;YES;YES;YES;NO;NO;NO;YES;"2P sim";-;-;-;0;NO;NO;NO;NO;English;-;-;English;NO;
mt_asyn;"Alien Syndrome (Mega-Tech, SMS based)";"1987";Sega;YES;megatech;NO;-;-;YES;NO;NO;megatech;NO;YES;NO;NO;megatech.cpp;"Mame 0.95";"2005-03-27";"Mame 0.196";"2018-03-28";2;4;4;2;2;RASTER;"0";HORIZONTAL;256;224;59.922738;"joystick (8-way)";"CRT 15kHz";"Motorola MC68000,Zilog Z80";"maincpu Motorola MC68000 @7.670453 MHz, genesis_snd_z80 Zilog Z80 @3.579545 MHz, mtbios Zilog Z80 @3.57954 MHz";"Speaker,YM2612 OPN2,Sega VDP PSG,SN76496";"lspeaker Speaker, rspeaker Speaker, ymsnd YM2612 OPN2 @7.670453 MHz, snsnd Sega VDP PSG @3.579545 MHz, sn2 SN76496 @3.57954 MHz";PRELIMINARY;PRELIMINARY;GOOD;GOOD;GOOD;UNKNOWN;GOOD;GOOD;cartridge;"Maze / Shooter Large";Maze;-;English;-;YES;YES;NO;YES;YES;NO;YES;YES;YES;NO;NO;NO;YES;???;-;"https://www.youtube.com/watch?v=8DL3lAwav-s";"https://www.youtube.com/watch?v=o9n_OtFhsp8";0;NO;NO;NO;NO;English;-;-;English;NO;
aafbb;"All American Football (rev B)";"1989";"Leland Corporation";NO;aafb;YES;aafb;-;YES;NO;NO;-;NO;YES;NO;NO;leland.cpp;"Mame 0.37b3 (0.39)";"2000-05-27";"Mame 0.196";"2018-03-28";4;1;2;2;1;RASTER;"270";VERTICAL;320;240;60.000000;"joystick (8-way),joystick (analog)";"CRT 15kHz";"Zilog Z80,Intel I80186";"master Zilog Z80 @6 MHz, slave Zilog Z80 @6 MHz, audiocpu Intel I80186 @16 MHz";"Speaker,AY-3-8910A PSG,8-Bit Binary Weighted DAC,AD7524,AD7533";"speaker Speaker, ay8910 AY-3-8910A PSG @1.666666 MHz, dac0 8-Bit Binary Weighted DAC, dac1 8-Bit Binary Weighted DAC, custom:speaker Speaker, custom:dac1 AD7524, custom:dac2 AD7524, custom:dac3 AD7524, custom:dac4 AD7524, custom:dac5 AD7524, custom:dac6 AD7524, custom:dac9 AD7533, custom:dac1vol 8-Bit Binary Weighted DAC, custom:dac2vol 8-Bit Binary Weighted DAC, custom:dac3vol 8-Bit Binary Weighted DAC, custom:dac4vol 8-Bit Binary Weighted DAC, custom:dac5vol 8-Bit Binary Weighted DAC, custom:dac6vol 8-Bit Binary Weighted DAC";PRELIMINARY;PRELIMINARY;GOOD;GOOD;GOOD;UNKNOWN;GOOD;BADDUMP;-;"Sports / Football";Sports;Quarterback;English;-;YES;YES;NO;NO;NO;NO;YES;NO;NO;NO;NO;NO;YES;"4P sim";https://archive.org/details/arcade_aafbb;-;-;0;NO;NO;NO;NO;English;-;-;English;NO;
