name;description;year;manufacturer;is_parent;romof;is_clone;cloneof;sasampleof;is_runnable;is_device;is_bios;biosof;is_mechanical;is_arcade;use_chds;savestate;source_file;first_emulator;first_emulator_date;last_emulator;last_emulator_date;players;buttons;coins;sound_channels;screens;display_type;display_rotate;screen_orientation;display_width;display_height;display_refresh;input_controls;monitor_type;chips_cpu;chips_cpu_details;chips_audio;chips_audio_details;driver_status;driver_emulation;driver_color;driver_sound;driver_graphic;driver_cocktail;driver_protection;dump_status;device_types;category;genre;serie;language;colors;has_device_refs;has_roms;has_disks;has_dip_switches;has_bios_sets;has_configs;has_ports;has_devices;has_slots;has_adjusters;has_soft_lists;has_ram_opts;has_cheats;nplayers;url_playonline;url_shortplays;url_shortplay_ms;game_rate;mature;on_top_score;on_bacheca_record;on_arcaworld;lang2;ranking;bestgame;alltime;cabinets;
1941;1941: Counter Attack (World 900227);1990;Capcom;YES;-;NO;-;-;YES;NO;NO;-;NO;YES;NO;YES;cps1.cpp;Mame 0.33b5;1998-06-10;Mame 0.196;2018-03-28;2;2;2;1;1;RASTER;270;VERTICAL;384;224;59.637405;joystick (8-way);CRT 15kHz;Motorola MC68000,Zilog Z80;maincpu Motorola MC68000 @10 MHz, audiocpu Zilog Z80 @3.579545 MHz;Speaker,Yamaha YM2151 OPM,OKI MSM6295 ADPCM;mono Speaker, 2151 Yamaha YM2151 OPM @3.579545 MHz, oki OKI MSM6295 ADPCM @1 MHz;GOOD;GOOD;GOOD;GOOD;GOOD;UNKNOWN;GOOD;GOOD;-;Shooter / Flying Vertical;Shooter;194X;English;-;YES;YES;NO;YES;NO;NO;YES;NO;NO;NO;NO;NO;YES;2P sim;-;https://www.youtube.com/watch?v=EgyFNV11SQE;-;100;NO;NO;NO;NO;English;50 to 60 (Not Good Enough);1990;1990;YES;
1942;1942 (Revision B);1984;Capcom;YES;-;NO;-;-;YES;NO;NO;-;NO;YES;NO;YES;1942.cpp;Mame 0.19;1997-04-26;Mame 0.196;2018-03-28;2;2;2;1;1;RASTER;270;VERTICAL;256;224;60.000000;joystick (8-way);CRT 15kHz;Zilog Z80;maincpu Zilog Z80 @4 MHz, audiocpu Zilog Z80 @3 MHz;Speaker,AY-3-8910A PSG,Netlist Sound Device;mono Speaker, ay1 AY-3-8910A PSG @1.5 MHz, ay2 AY-3-8910A PSG @1.5 MHz, snd_nl Netlist Sound Device @0.9375 MHz;GOOD;GOOD;GOOD;GOOD;GOOD;UNKNOWN;GOOD;GOOD;-;Shooter / Flying Vertical;Shooter;194X;English;-;YES;YES;NO;YES;NO;NO;YES;NO;NO;NO;NO;NO;YES;2P alt;-;https://www.youtube.com/watch?v=QuoyjqxuyCA;-;100;NO;NO;YES;NO;English;90 to 100 (Best Games);1984;Cocktail, Upright;NO;
1943kai;1943 Kai: Midway Kaisen (Japan);1987;Capcom;YES;-;NO;-;-;YES;NO;NO;-;NO;YES;NO;YES;1943.cpp;Mame 0.30;1998-01-08;Mame 0.196;2018-03-28;2;2;2;1;1;RASTER;270;VERTICAL;256;224;60.000000;joystick (8-way);CRT 15kHz;Zilog Z80;maincpu Zilog Z80 @6 MHz, audiocpu Zilog Z80 @3 MHz;Speaker,YM2203 OPN;mono Speaker, ym1 YM2203 OPN @1.5 MHz, ym2 YM2203 OPN @1.5 MHz;GOOD;GOOD;GOOD;GOOD;GOOD;UNKNOWN;GOOD;NODUMP;-;Shooter / Flying Vertical;Shooter;194X;Japanese;-;YES;YES;NO;YES;NO;NO;YES;NO;NO;NO;NO;NO;YES;2P sim;-;https://www.youtube.com/watch?v=HgLcs5fVjgI;-;0;NO;NO;NO;YES;Japanese;70 to 80 (Good);-;Cocktail, Upright;NO;
1943;1943: The Battle of Midway (Euro);1987;Capcom;YES;-;NO;-;-;YES;NO;NO;-;NO;YES;NO;YES;1943.cpp;Mame 0.29;1997-10-20;Mame 0.196;2018-03-28;2;2;2;1;1;RASTER;270;VERTICAL;256;224;60.000000;joystick (8-way);CRT 15kHz;Zilog Z80;maincpu Zilog Z80 @6 MHz, audiocpu Zilog Z80 @3 MHz;Speaker,YM2203 OPN;mono Speaker, ym1 YM2203 OPN @1.5 MHz, ym2 YM2203 OPN @1.5 MHz;GOOD;GOOD;GOOD;GOOD;GOOD;UNKNOWN;GOOD;NODUMP;-;Shooter / Flying Vertical;Shooter;194X;English;-;YES;YES;NO;YES;NO;NO;YES;NO;NO;NO;NO;NO;YES;2P sim;-;https://www.youtube.com/watch?v=DX8wBb75jgM;-;100;NO;NO;NO;NO;English;50 to 60 (Not Good Enough);1987;Cocktail, Upright;NO;
1944;1944: The Loop Master (USA 000620);2000;Eighting / Raizing (Capcom license);YES;-;NO;-;-;YES;NO;NO;-;NO;YES;NO;YES;cps2.cpp;Mame 0.66;2003-03-10;Mame 0.196;2018-03-28;2;2;2;2;1;RASTER;0;HORIZONTAL;384;224;59.637405;joystick (8-way);CRT 15kHz;Motorola MC68000,Zilog Z80;maincpu Motorola MC68000 @16 MHz, audiocpu Zilog Z80 @8 MHz;Speaker,QSound (HLE);lspeaker Speaker, rspeaker Speaker, qsound QSound (HLE) @60 MHz;GOOD;GOOD;GOOD;GOOD;GOOD;UNKNOWN;GOOD;GOOD;-;Shooter / Flying Vertical;Shooter;194X;English;-;YES;YES;NO;NO;NO;NO;YES;NO;NO;NO;NO;NO;YES;2P sim;-;https://www.youtube.com/watch?v=G9zP1B4yqHQ;-;100;NO;NO;NO;NO;English;80 to 90 (Very Good);2000;2000;NO;
19xx;19XX: The War Against Destiny (USA 951207);1996;Capcom;YES;-;NO;-;-;YES;NO;NO;-;NO;YES;NO;YES;cps2.cpp;Mame 0.37b13 (0.49);2001-03-10;Mame 0.196;2018-03-28;2;2;2;2;1;RASTER;270;VERTICAL;384;224;59.637405;joystick (8-way);CRT 15kHz;Motorola MC68000,Zilog Z80;maincpu Motorola MC68000 @16 MHz, audiocpu Zilog Z80 @8 MHz;Speaker,QSound (HLE);lspeaker Speaker, rspeaker Speaker, qsound QSound (HLE) @60 MHz;GOOD;GOOD;GOOD;GOOD;GOOD;UNKNOWN;GOOD;GOOD;-;Shooter / Flying Vertical;Shooter;194X;English;-;YES;YES;NO;NO;NO;NO;YES;NO;NO;NO;NO;NO;YES;2P sim;-;https://www.youtube.com/watch?v=XZ-zoCbLUoA;-;100;NO;NO;YES;NO;English;80 to 90 (Very Good);1996;1996;NO;
agallet;Air Gallet (Europe);1996;Gazelle (Banpresto license);YES;-;NO;-;-;YES;NO;NO;-;NO;YES;NO;YES;cave.cpp;Mame 0.57;2002-01-01;Mame 0.196;2018-03-28;2;3;2;1;1;RASTER;270;VERTICAL;320;240;57.550645;joystick (8-way);CRT 15kHz;Motorola MC68000,Zilog Z80;maincpu Motorola MC68000 @16 MHz, audiocpu Zilog Z80 @8 MHz;Speaker,Yamaha YM2151 OPM,OKI MSM6295 ADPCM;mono Speaker, ymsnd Yamaha YM2151 OPM @4 MHz, oki1 OKI MSM6295 ADPCM @2.112 MHz, oki2 OKI MSM6295 ADPCM @2.112 MHz;GOOD;GOOD;GOOD;GOOD;GOOD;UNKNOWN;GOOD;GOOD;-;Shooter / Flying Vertical;Shooter;-;English;-;YES;YES;NO;NO;NO;NO;YES;NO;NO;NO;NO;NO;YES;2P sim;-;https://www.youtube.com/watch?v=fWoqAZaX6Y8;-;0;NO;NO;NO;NO;English;70 to 80 (Good);-;70 to 80 (Good);NO;
airwolf;Airwolf;1987;Kyugo;YES;-;NO;-;-;YES;NO;NO;-;NO;YES;NO;YES;kyugo.cpp;Mame 0.36b3;1999-08-22;Mame 0.196;2018-03-28;2;2;2;1;1;RASTER;0;HORIZONTAL;288;224;60.000000;joystick (8-way);CRT 15kHz;Zilog Z80;maincpu Zilog Z80 @3.72 MHz, sub Zilog Z80 @3.72 MHz;Speaker,AY-3-8910A PSG;mono Speaker, ay1 AY-3-8910A PSG @1.536 MHz, ay2 AY-3-8910A PSG @1.536 MHz;GOOD;GOOD;GOOD;GOOD;GOOD;UNKNOWN;GOOD;NODUMP;-;Shooter / Flying Horizontal;Shooter;-;English;-;YES;YES;NO;YES;NO;NO;YES;NO;NO;NO;NO;NO;YES;2P alt;https://archive.org/details/arcade_airwolf;https://www.youtube.com/watch?v=jZ3yoXq60PQ;-;0;NO;NO;NO;NO;English;30 to 40 (Amendable);1987;Cocktail, Upright;NO;
avsp;Alien vs. Predator (Euro 940520);1994;Capcom;YES;-;NO;-;-;YES;NO;NO;-;NO;YES;NO;YES;cps2.cpp;Mame 0.37b12 (0.48);2001-02-15;Mame 0.196;2018-03-28;3;3;3;2;1;RASTER;0;HORIZONTAL;384;224;59.637405;joystick (8-way);CRT 15kHz;Motorola MC68000,Zilog Z80;maincpu Motorola MC68000 @16 MHz, audiocpu Zilog Z80 @8 MHz;Speaker,QSound (HLE);lspeaker Speaker, rspeaker Speaker, qsound QSound (HLE) @60 MHz;GOOD;GOOD;GOOD;GOOD;GOOD;UNKNOWN;GOOD;GOOD;-;Fighter / 2.5D;Fighter;-;English;-;YES;YES;NO;NO;NO;NO;YES;NO;NO;NO;NO;NO;YES;3P sim;-;https://www.youtube.com/watch?v=N_JL-cJugQk;-;100;NO;NO;YES;NO;English;40 to 50 (Decent);-;40 to 50 (Decent);NO;
altbeast;Altered Beast (set 8) (8751 317-0078);1988;Sega;YES;-;NO;-;-;YES;NO;NO;-;NO;YES;NO;NO;segas16b.cpp;Mame 0.33b3;1998-05-17;Mame 0.196;2018-03-28;2;3;2;1;1;RASTER;0;HORIZONTAL;320;224;60.054389;joystick (8-way);CRT 15kHz;Motorola MC68000,Zilog Z80,Intel I8751;maincpu Motorola MC68000 @10 MHz, soundcpu Zilog Z80 @5 MHz, mcu Intel I8751 @8 MHz;Speaker,Yamaha YM2151 OPM,NEC uPD7759;mono Speaker, ym2151 Yamaha YM2151 OPM @4 MHz, upd NEC uPD7759 @0.64 MHz;GOOD;GOOD;GOOD;GOOD;GOOD;UNKNOWN;GOOD;GOOD;-;Platform / Fighter Scrolling;Platform;-;English;-;YES;YES;NO;YES;NO;NO;YES;NO;NO;NO;NO;NO;YES;2P sim;https://archive.org/details/arcade_altbeast;https://www.youtube.com/watch?v=4gLiyze0IRE;-;0;NO;NO;NO;NO;English;50 to 60 (Not Good Enough);1988;1988;NO;
