name;description;year;manufacturer;is_parent;romof;is_clone;cloneof;sampleof
puckman;"PuckMan (Japan set 1, Probably Bootleg)";1980;"Namco";YES;-;NO;-;-
puckmana;"PuckMan (Japan set 2)";1980;"Namco";NO;puckman;YES;puckman;-
puckmanf;"PuckMan (Japan set 1 with speedup hack)";1980;"Namco";NO;puckman;YES;puckman;-
puckmanh;"Puckman (Falcom?)";1980;"hack";NO;puckman;YES;puckman;-
pacman;"Pac-Man (Midway)";1980;"[Namco] (Midway license)";NO;puckman;YES;puckman;-
pacmanf;"Pac-Man (Midway, with speedup hack)";1980;"[Namco] (Midway license)";NO;puckman;YES;puckman;-
puckmod;"PuckMan (Japan set 3)";1981;"Namco";NO;puckman;YES;puckman;-
pacmod;"Pac-Man (Midway, harder)";1981;"[Namco] (Midway license)";NO;puckman;YES;puckman;-
newpuc2;"Newpuc2";1980;"hack";NO;puckman;YES;puckman;-
newpuc2b;"Newpuc2 (set 2)";1980;"hack";NO;puckman;YES;puckman;-
newpuckx;"New Puck-X";1980;"hack";NO;puckman;YES;puckman;-
pacheart;"Pac-Man (Hearts)";1981;"hack";NO;puckman;YES;puckman;-
hangly;"Hangly-Man (set 1)";1981;"hack";NO;puckman;YES;puckman;-
hangly2;"Hangly-Man (set 2)";1981;"hack";NO;puckman;YES;puckman;-
hangly3;"Hangly-Man (set 3)";1981;"hack";NO;puckman;YES;puckman;-
piranhah;"Piranha (hack)";1981;"hack";NO;puckman;YES;puckman;-
abscam;"Abscam";1981;"GL (US Billiards License)";NO;puckman;YES;puckman;-
crush;"Crush Roller (Kural Samno)";1981;"Kural Samno Electric";YES;-;NO;-;-
crush2;"Crush Roller (Kural Esco - bootleg?)";1981;"Kural Esco Electric";NO;crush;YES;crush;-
crush3;"Crush Roller (Kural - bootleg?)";1981;"Kural Electric";NO;crush;YES;crush;-
crush4;"Crush Roller (Kural TWT)";;"Kural TWT";NO;crush;YES;crush;-
maketrax;"Make Trax (set 1)";1981;"[Kural] (Williams license)";NO;crush;YES;crush;-
maketrxb;"Make Trax (set 2)";1981;"[Kural] (Williams license)";NO;crush;YES;crush;-
korosuke;"Korosuke Roller";1981;"Kural Electric";NO;crush;YES;crush;-
mbrush;"Magic Brush";1981;"bootleg";NO;crush;YES;crush;-
paintrlr;"Paint Roller";1981;"bootleg";NO;crush;YES;crush;-
pacplus;"Pac-Man Plus";1982;"[Namco] (Midway license)";YES;-;NO;-;-
joyman;"Joyman";1982;"hack";NO;puckman;YES;puckman;-
ctrpllrp;"Caterpillar Pacman Hack";1982;"hack";NO;puckman;YES;puckman;-
eyes;"Eyes (Digitrex Techstar)";1982;"Digitrex Techstar (Rock-ola license)";YES;-;NO;-;-
eyes2;"Eyes (Techstar)";1982;"Techstar (Rock-ola license)";NO;eyes;YES;eyes;-
eyeszac;"Eyes (Zaccaria)";1982;"Zaccaria / bootleg";NO;eyes;YES;eyes;-
mrtnt;"Mr. TNT";1983;"Telko";YES;-;NO;-;-
gorkans;"Gorkans";1983;"Techstar";NO;mrtnt;YES;mrtnt;-
eggor;"Eggor";1983;"Telko";YES;-;NO;-;-
jumpshot;"Jump Shot";1985;"Bally Midway";YES;-;NO;-;-
jumpshtp;"Jump Shot Engineering Sample";1985;"Bally Midway";NO;jumpshot;YES;jumpshot;-
shootbul;"Shoot the Bull";1985;"Bally Midway";YES;-;NO;-;-
piranha;"Piranha";1981;"GL (US Billiards License)";NO;puckman;YES;puckman;-
piranhao;"Piranha (older)";1981;"GL (US Billiards License)";NO;puckman;YES;puckman;-
nmouse;"Naughty Mouse (set 1)";1981;"Amenip (Palcom Queen River)";YES;-;NO;-;-
nmouseb;"Naughty Mouse (set 2)";1981;"Amenip Nova Games Ltd.";NO;nmouse;YES;nmouse;-
mspacman;"Ms. Pac-Man";1981;"Midway";YES;-;NO;-;-
mspacmnf;"Ms. Pac-Man (with speedup hack)";1981;"Midway";NO;mspacman;YES;mspacman;-
mspacmat;"Ms. Pac Attack";1981;"hack";NO;mspacman;YES;mspacman;-
woodpek;"Woodpecker (set 1)";1981;"Amenip (Palcom Queen River)";YES;-;NO;-;-
woodpeka;"Woodpecker (set 2)";1981;"Amenip";NO;woodpek;YES;woodpek;-
mspacmab;"Ms. Pac-Man (bootleg)";1981;"bootleg";NO;mspacman;YES;mspacman;-
mspacmbe;"Ms. Pac-Man (bootleg, (encrypted))";1981;"bootleg";NO;mspacman;YES;mspacman;-
pacgal;"Pac-Gal";1981;"hack";NO;mspacman;YES;mspacman;-
mspacpls;"Ms. Pac-Man Plus";1981;"hack";NO;mspacman;YES;mspacman;-
ponpoko;"Ponpoko";1982;"Sigma Enterprises Inc.";YES;-;NO;-;-
ponpokov;"Ponpoko (Venture Line)";1982;"Sigma Enterprises Inc. (Venture Line license)";NO;ponpoko;YES;ponpoko;-
lizwiz;"Lizard Wizard";1985;"Techstar (Sunn license)";YES;-;NO;-;-
alibaba;"Ali Baba and 40 Thieves";1982;"Sega";YES;-;NO;-;-
dremshpr;"Dream Shopper";1982;"Sanritsu";YES;-;NO;-;-
vanvan;"Van-Van Car";1983;"Sanritsu";YES;-;NO;-;-
vanvank;"Van-Van Car (Karateco)";1983;"Karateco";NO;vanvan;YES;vanvan;-
vanvanb;"Van-Van Car (set 3)";1983;"Karateco";NO;vanvan;YES;vanvan;-
bwcasino;"Boardwalk Casino";1983;"Epos Corporation";YES;-;NO;-;-
acitya;"Atlantic City Action";1983;"Epos Corporation";NO;bwcasino;YES;bwcasino;-
theglobp;"The Glob (Pac-Man hardware)";1983;"Epos Corporation";NO;suprglob;YES;suprglob;-
sprglobp;"Super Glob (Pac-Man hardware)";1983;"Epos Corporation";NO;suprglob;YES;suprglob;-
sprglbpg;"Super Glob (Pac-Man hardware) German";1983;"Bootleg";NO;suprglob;YES;suprglob;-
beastf;"Beastie Feastie";1984;"Epos Corporation";NO;suprglob;YES;suprglob;-
rocktrv2;"MTV Rock-N-Roll Trivia (Part 2)";1986;"Triumph Software Inc.";YES;-;NO;-;-
bigbucks;"Big Bucks";1986;"Dynasoft Inc.";YES;-;NO;-;-
mschamp;"Ms. Pacman Champion Edition / Super Zola Pac Gal";1995;"hack";NO;mspacman;YES;mspacman;-
drivfrcp;"Driving Force (Pac-Man conversion)";1984;"Shinkai Inc. (Magic Eletronics Inc. licence)";YES;-;NO;-;-
8bpm;"Eight Ball Action (Pac-Man conversion)";1985;"Seatongrove Ltd (Magic Eletronics USA licence)";NO;8ballact;YES;8ballact;-
porky;"Porky";1985;"Shinkai Inc. (Magic Eletronics Inc. licence)";YES;-;NO;-;-
pengo;"Pengo (set 1 rev c)";1982;"Sega";YES;-;NO;-;-
pengo2;"Pengo (set 2)";1982;"Sega";NO;pengo;YES;pengo;-
pengo2u;"Pengo (set 2 not encrypted)";1982;"Sega";NO;pengo;YES;pengo;-
pengo3u;"Pengo (set 3 not encrypted)";1982;"Sega";NO;pengo;YES;pengo;-
pengo4;"Pengo (set 4)";1982;"Sega";NO;pengo;YES;pengo;-
pengob;"Pengo (bootleg)";1982;"bootleg";NO;pengo;YES;pengo;-
penta;"Penta";1982;"bootleg";NO;pengo;YES;pengo;-
jrpacmbl;"Jr. Pac-Man (Pengo hardware)";1983;"bootleg";NO;jrpacman;YES;jrpacman;-
jrpacman;"Jr. Pac-Man";1983;"Bally Midway";YES;-;NO;-;-
megadon;"Megadon";1982;"Epos Corporation (Photar Industries license)";YES;-;NO;-;-
catapult;"Catapult";1982;"Epos Corporation";YES;-;NO;-;-
suprglob;"Super Glob";1983;"Epos Corporation";YES;-;NO;-;-
theglob;"The Glob";1983;"Epos Corporation";NO;suprglob;YES;suprglob;-
theglob2;"The Glob (earlier)";1983;"Epos Corporation";NO;suprglob;YES;suprglob;-
theglob3;"The Glob (set 3)";1983;"Epos Corporation";NO;suprglob;YES;suprglob;-
igmo;"IGMO";1984;"Epos Corporation";YES;-;NO;-;-
dealer;"The Dealer";;"Epos Corporation";YES;-;NO;-;-
revenger;"Revenger";1984;"Epos Corporation";YES;-;NO;-;-
galaxian;"Galaxian (Namco set 1)";1979;"Namco";YES;-;NO;-;-
galaxiaj;"Galaxian (Namco set 2)";1979;"Namco";NO;galaxian;YES;galaxian;-
galmidw;"Galaxian (Midway)";1979;"[Namco] (Midway license)";NO;galaxian;YES;galaxian;-
galmidwo;"Galaxian (Midway, old rev)";1979;"[Namco] (Midway license)";NO;galaxian;YES;galaxian;-
superg;"Super Galaxians";1979;"hack";NO;galaxian;YES;galaxian;-
galapx;"Galaxian Part X";1979;"hack";NO;galaxian;YES;galaxian;-
moonaln;"Moon Alien";;"[Nichibutsu] (Karateco license)";NO;galaxian;YES;galaxian;-
galap1;"Space Invaders Galactica";1979;"hack";NO;galaxian;YES;galaxian;-
galap4;"Galaxian Part 4";1979;"hack";NO;galaxian;YES;galaxian;-
galturbo;"Galaxian Turbo";1979;"hack";NO;galaxian;YES;galaxian;-
swarm;"Swarm";1979;"hack";NO;galaxian;YES;galaxian;-
zerotime;"Zero Time";1979;"Petaco S.A.";NO;galaxian;YES;galaxian;-
starfght;"Star Fighter";1979;"Jeutel";NO;galaxian;YES;galaxian;-
tst_galx;"Galaxian Test ROM";;"Test ROM";NO;galaxian;YES;galaxian;-
gmgalax;"Ghostmuncher Galaxian (bootleg)";1981;"bootleg";YES;-;NO;-;-
pisces;"Pisces";;"Subelectro";YES;-;NO;-;-
piscesb;"Pisces (bootleg)";;"bootleg";NO;pisces;YES;pisces;-
omni;"Omni";;"bootleg";NO;pisces;YES;pisces;-
uniwars;"UniWar S";1980;"Irem";YES;-;NO;-;-
gteikoku;"Gingateikoku No Gyakushu";1980;"Irem";NO;uniwars;YES;uniwars;-
gteikokb;"Gingateikoku No Gyakushu (bootleg set 1)";1980;"bootleg";NO;uniwars;YES;uniwars;-
gteikob2;"Gingateikoku No Gyakushu (bootleg set 2)";1980;"bootleg";NO;uniwars;YES;uniwars;-
spacbatt;"Space Battle";1980;"bootleg";NO;uniwars;YES;uniwars;-
skyraidr;"Sky Raiders";1980;"bootleg";NO;uniwars;YES;uniwars;-
batman2;"Batman Part 2";1981;"bootleg";NO;phoenix;YES;phoenix;-
warofbug;"War of the Bugs or Monsterous Manouvers in a Mushroom Maze";1981;"Armenia";YES;-;NO;-;-
redufo;"Defend the Terra Attack on the Red UFO";;"bootleg";YES;-;NO;-;-
exodus;"Exodus (bootleg?)";;"Subelectro";NO;redufo;YES;redufo;-
streakng;"Streaking";1981;"Shoei";YES;-;NO;-;-
pacmanbl;"Pac-Man (Galaxian hardware)";1981;"bootleg";NO;puckman;YES;puckman;-
devilfsg;"Devil Fish (Galaxian hardware, bootleg?)";1984;"Vision / Artic";NO;devilfsh;YES;devilfsh;-
zigzag;"Zig Zag (Galaxian hardware, set 1)";1982;"LAX";YES;-;NO;-;-
zigzag2;"Zig Zag (Galaxian hardware, set 2)";1982;"LAX";NO;zigzag;YES;zigzag;-
jumpbug;"Jump Bug";1981;"Rock-ola";YES;-;NO;-;-
jumpbugb;"Jump Bug (bootleg)";1981;"bootleg";NO;jumpbug;YES;jumpbug;-
levers;"Levers";1983;"Rock-ola";YES;-;NO;-;-
azurian;"Azurian Attack";1982;"Rait Electronics Ltd";YES;-;NO;-;-
orbitron;"Orbitron";;"Signatron USA";YES;-;NO;-;-
mooncrgx;"Moon Cresta (Galaxian hardware)";1980;"bootleg";NO;mooncrst;YES;mooncrst;-
mooncrst;"Moon Cresta (Nichibutsu)";1980;"Nichibutsu";YES;-;NO;-;-
mooncrsu;"Moon Cresta (Nichibutsu, unencrypted)";1980;"Nichibutsu USA";NO;mooncrst;YES;mooncrst;-
mooncrsa;"Moon Cresta (Nichibutsu, old rev)";1980;"Nichibutsu";NO;mooncrst;YES;mooncrst;-
mooncrsg;"Moon Cresta (Gremlin)";1980;"Gremlin";NO;mooncrst;YES;mooncrst;-
smooncrs;"Super Moon Cresta";;"Gremlin";NO;mooncrst;YES;mooncrst;-
mooncrsb;"Moon Cresta (bootleg set 1)";1980;"bootleg";NO;mooncrst;YES;mooncrst;-
