name;description;year;manufacturer;is_parent;romof;is_clone;cloneof;sasampleof;is_runnable;is_device;is_bios;biosof;is_mechanical;is_arcade;use_chds;savestate;source_file;first_emulator;first_emulator_date;last_emulator;last_emulator_date;players;buttons;coins;sound_channels;screens;display_type;display_rotate;screen_orientation;display_width;display_height;display_refresh;input_controls;monitor_type;chips_cpu;chips_cpu_details;chips_audio;chips_audio_details;driver_status;driver_emulation;driver_color;driver_sound;driver_graphic;driver_cocktail;driver_protection;dump_status;device_types;category;genre;serie;language;colors;has_device_refs;has_roms;has_disks;has_dip_switches;has_bios_sets;has_configs;has_ports;has_devices;has_slots;has_adjusters;has_soft_lists;has_ram_opts;has_cheats;nplayers;url_playonline;url_shortplays;url_shortplay_ms;game_rate;mature;on_top_score;on_bacheca_record;on_arcaworld;lang2;ranking;bestgame;alltime;cabinets;
armora;Armor Attack;1980;Cinematronics;YES;-;NO;-;armora;YES;NO;NO;-;NO;YES;NO;YES;cinemat.cpp;Mame 0.35b6;1999-03-15;Mame 0.196;2018-03-28;2;2;1;1;1;VECTOR;180;-;0;0;38.000107;joystick (2-way);-;Cinematronics CPU;maincpu Cinematronics CPU @4.98075 MHz;Speaker,Samples;mono Speaker, samples Samples;IMPERFECT;GOOD;GOOD;IMPERFECT;GOOD;UNKNOWN;GOOD;GOOD;-;Maze / Shooter Small;Maze;-;English;Black & White Vectorial;YES;YES;NO;YES;NO;NO;YES;NO;NO;NO;NO;NO;YES;2P sim;-;https://www.youtube.com/watch?v=cKzTCaI_uxU;-;0;NO;NO;NO;NO;Black & White Vectorial;70 to 80 (Good);1980;1980;NO;
asteroid;Asteroids (rev 4);1979;Atari;YES;-;NO;-;-;YES;NO;NO;-;NO;YES;NO;YES;asteroid.cpp;Mame 0.26;1997-07-14;Mame 0.196;2018-03-28;1;5;3;1;1;VECTOR;0;-;0;0;61.523438;only_buttons;-;MOS Technology M6502;maincpu MOS Technology M6502 @1.512 MHz;Speaker,Discrete Sound;mono Speaker, discrete Discrete Sound;GOOD;GOOD;GOOD;GOOD;GOOD;UNKNOWN;GOOD;GOOD;-;Shooter / Field;Shooter;Asteroids;English;Black & White Vectorial;YES;YES;NO;YES;NO;NO;YES;NO;NO;NO;NO;NO;YES;2P alt;-;https://www.youtube.com/watch?v=MsWWn7M4GXc;-;100;NO;NO;NO;NO;Black & White Vectorial;70 to 80 (Good);197x;197x;NO;
astdelux;Asteroids Deluxe (rev 3);1980;Atari;YES;-;NO;-;-;YES;NO;NO;-;NO;YES;NO;YES;asteroid.cpp;Mame 0.26;1997-07-14;Mame 0.196;2018-03-28;1;5;3;1;1;VECTOR;0;-;0;0;61.523438;only_buttons;-;MOS Technology M6502,Atari C012294 POKEY;maincpu MOS Technology M6502 @1.512 MHz, pokey Atari C012294 POKEY @1.512 MHz;Speaker,Discrete Sound,Atari C012294 POKEY;mono Speaker, discrete Discrete Sound, pokey Atari C012294 POKEY @1.512 MHz;GOOD;GOOD;GOOD;GOOD;GOOD;UNKNOWN;GOOD;GOOD;-;Shooter / Field;Shooter;Asteroids;English;Black & White Vectorial;YES;YES;NO;YES;NO;NO;YES;NO;NO;NO;NO;NO;YES;2P alt;-;https://www.youtube.com/watch?v=8Ycg94kO7XM;-;0;NO;NO;NO;NO;Black & White Vectorial;80 to 90 (Very Good);1980;1980;NO;
aztarac;Aztarac;1983;Centuri;YES;-;NO;-;-;YES;NO;NO;-;NO;YES;NO;YES;aztarac.cpp;Mame 0.36b2;1999-08-08;Mame 0.196;2018-03-28;1;2;1;1;1;VECTOR;0;-;0;0;40.000000;joystick (analog),dial;-;Motorola MC68000,Zilog Z80;maincpu Motorola MC68000 @8 MHz, audiocpu Zilog Z80 @2 MHz;Speaker,AY-3-8910A PSG;mono Speaker, ay1 AY-3-8910A PSG @2 MHz, ay2 AY-3-8910A PSG @2 MHz, ay3 AY-3-8910A PSG @2 MHz, ay4 AY-3-8910A PSG @2 MHz;GOOD;GOOD;GOOD;GOOD;GOOD;UNKNOWN;GOOD;GOOD;-;Shooter / Field;Shooter;-;English;-;YES;YES;NO;NO;NO;NO;YES;NO;NO;NO;NO;NO;YES;2P alt;https://archive.org/details/arcade_aztarac;https://www.youtube.com/watch?v=laxywaGC7nI;-;0;NO;NO;NO;NO;English;70 to 80 (Good);-;70 to 80 (Good);NO;
barrier;Barrier;1979;Cinematronics (Vectorbeam license);YES;-;NO;-;barrier;YES;NO;NO;-;NO;YES;NO;YES;cinemat.cpp;Mame 0.35b6;1999-03-15;Mame 0.196;2018-03-28;2;0;1;1;1;VECTOR;270;-;0;0;38.000107;joystick (4-way);-;Cinematronics CPU;maincpu Cinematronics CPU @4.98075 MHz;Speaker,Samples;mono Speaker, samples Samples;IMPERFECT;GOOD;GOOD;IMPERFECT;GOOD;UNKNOWN;GOOD;GOOD;-;Puzzle / Misc.;Puzzle;-;English;Black & White Vectorial;YES;YES;NO;YES;NO;NO;YES;NO;NO;NO;NO;NO;YES;2P alt;-;https://www.youtube.com/watch?v=ZP2p6uVKNBU;-;0;NO;NO;NO;NO;Black & White Vectorial;30 to 40 (Amendable);197x;197x;NO;
bzone;Battle Zone (rev 2);1980;Atari;YES;-;NO;-;-;YES;NO;NO;-;NO;YES;NO;YES;bzone.cpp;Mame 0.26;1997-07-14;Mame 0.196;2018-03-28;1;1;2;1;1;VECTOR;0;-;0;0;41.015625;vertical double joystick (2-way);-;MOS Technology M6502,Atari C012294 POKEY;maincpu MOS Technology M6502 @1.512 MHz, pokey Atari C012294 POKEY @1.512 MHz;Speaker,Atari C012294 POKEY,Discrete Sound;mono Speaker, pokey Atari C012294 POKEY @1.512 MHz, discrete Discrete Sound;GOOD;GOOD;GOOD;GOOD;GOOD;UNKNOWN;GOOD;GOOD;-;Shooter / Driving 1st Person;Shooter;-;English;Black & White Vectorial;YES;YES;NO;YES;NO;NO;YES;NO;NO;YES;NO;NO;YES;1P;-;https://www.youtube.com/watch?v=uribcxt4wMY;-;0;NO;NO;NO;NO;Black & White Vectorial;60 to 70 (Passable);1980;1980;NO;
bwidow;Black Widow;1982;Atari;YES;-;NO;-;-;YES;NO;NO;-;NO;YES;NO;YES;bwidow.cpp;Mame 0.26;1997-07-14;Mame 0.196;2018-03-28;1;0;2;1;1;VECTOR;0;-;0;0;61.523438;double joystick (8-way);-;MOS Technology M6502,Atari C012294 POKEY;maincpu MOS Technology M6502 @1.512 MHz, pokey1 Atari C012294 POKEY @1.512 MHz, pokey2 Atari C012294 POKEY @1.512 MHz;Speaker,Atari C012294 POKEY,Discrete Sound;mono Speaker, pokey1 Atari C012294 POKEY @1.512 MHz, pokey2 Atari C012294 POKEY @1.512 MHz, discrete Discrete Sound;GOOD;GOOD;GOOD;GOOD;GOOD;UNKNOWN;GOOD;GOOD;-;Shooter / Field;Shooter;-;English;-;YES;YES;NO;YES;NO;NO;YES;NO;NO;NO;NO;NO;YES;2P alt;-;https://www.youtube.com/watch?v=0_w6_Zl-7Vk;-;0;NO;NO;NO;NO;English;70 to 80 (Good);1982;1982;NO;
bnzabros;Bonanza Bros (US, Floppy DS3-5000-07d? Based);1990;Sega;YES;-;NO;-;-;YES;NO;NO;-;NO;YES;NO;NO;segas24.cpp;Mame 0.74u2;2003-10-06;Mame 0.196;2018-03-28;2;3;4;2;1;RASTER;0;HORIZONTAL;496;384;57.524160;joystick (8-way);CRT 25kHz;Motorola MC68000;maincpu Motorola MC68000 @10 MHz, subcpu Motorola MC68000 @10 MHz;Speaker,Yamaha YM2151 OPM,8-Bit R-2R DAC;lspeaker Speaker, rspeaker Speaker, ymsnd Yamaha YM2151 OPM @4 MHz, dac 8-Bit R-2R DAC;GOOD;GOOD;GOOD;GOOD;GOOD;UNKNOWN;GOOD;GOOD;-;Platform / Shooter;Platform;-;English;-;YES;YES;NO;YES;NO;NO;YES;NO;NO;NO;NO;NO;YES;2P sim;-;https://www.youtube.com/watch?v=n87J66NEWTE;-;0;NO;NO;NO;NO;English;70 to 80 (Good);-;70 to 80 (Good);NO;
cchasm;Cosmic Chasm (set 1);1983;Cinematronics / GCE;YES;-;NO;-;-;YES;NO;NO;-;NO;YES;NO;YES;cchasm.cpp;Mame 0.36b1;1999-07-19;Mame 0.196;2018-03-28;1;3;3;1;1;VECTOR;270;-;0;0;40.000000;dial;-;Motorola MC68000,Zilog Z80;maincpu Motorola MC68000 @8 MHz, audiocpu Zilog Z80 @3.584229 MHz;Speaker,AY-3-8910A PSG,1-Bit DAC;speaker Speaker, ay1 AY-3-8910A PSG @1.818182 MHz, ay2 AY-3-8910A PSG @1.818182 MHz, dac1 1-Bit DAC, dac2 1-Bit DAC;GOOD;GOOD;GOOD;GOOD;GOOD;UNKNOWN;GOOD;GOOD;-;Shooter / Field;Shooter;-;English;-;YES;YES;NO;YES;NO;NO;YES;NO;NO;NO;NO;NO;YES;2P alt;https://archive.org/details/arcade_cchasm;https://www.youtube.com/watch?v=G53HM3GpqXE;-;0;NO;NO;NO;NO;English;70 to 80 (Good);1983;1983;NO;
crkdown;Crack Down (World, Floppy Based, FD1094 317-0058-04c);1989;Sega;YES;-;NO;-;-;YES;NO;NO;-;NO;YES;NO;NO;segas24.cpp;Mame 0.78;2003-12-25;Mame 0.196;2018-03-28;2;3;4;2;1;RASTER;0;HORIZONTAL;496;384;57.524160;joystick (8-way);CRT 25kHz;Motorola MC68000,Hitachi FD1094 Encrypted CPU;maincpu Motorola MC68000 @10 MHz, subcpu Hitachi FD1094 Encrypted CPU @10 MHz;Speaker,Yamaha YM2151 OPM,8-Bit R-2R DAC;lspeaker Speaker, rspeaker Speaker, ymsnd Yamaha YM2151 OPM @4 MHz, dac 8-Bit R-2R DAC;IMPERFECT;GOOD;GOOD;GOOD;IMPERFECT;UNKNOWN;GOOD;GOOD;-;Maze / Shooter Large;Maze;-;English;-;YES;YES;NO;YES;NO;NO;YES;NO;NO;NO;NO;NO;YES;2P sim;-;https://www.youtube.com/watch?v=gveAVl8SqeE;-;0;NO;NO;NO;NO;English;50 to 60 (Not Good Enough);-;50 to 60 (Not Good Enough);NO;
