name;description;year;manufacturer;is_parent;romof;is_clone;cloneof;sampleof
720;720 Degrees (rev 4);1986;Atari Games;YES;-;NO;-;
1941;1941 - Counter Attack (900227 World);1990;Capcom;YES;-;NO;-;
1942;1942 (Revision B);1984;Capcom;YES;-;NO;-;
1943;1943: The Battle of Midway (Euro);1987;Capcom;YES;-;NO;-;
1944;1944 - the loop master (000620 USA);2000;Capcom / 8ing / Raizing;YES;-;NO;-;
1943kai;1943 Kai: Midway Kaisen (Japan);1987;Capcom;YES;-;NO;-;
19xx;19XX - the war against destiny (951207 USA);1995;Capcom;YES;-;NO;-;
3wonders;Three Wonders (wonder 3 910520 etc);1991;Capcom;YES;-;NO;-;
abcop;A.B. Cop (World, FD1094 317-0169b);1990;Sega;YES;-;NO;-;
aburner2;After Burner II;1987;Sega;YES;-;NO;-;
agallet;Air Gallet (Europe);1996;BanPresto / Gazelle;YES;-;NO;-;
airwolf;Airwolf;1987;Kyugo;YES;-;NO;-;
altbeast;Altered Beast (set 8, 8751 317-0078);1988;Sega;YES;-;NO;-;
aof;Art of Fighting / Ryuuko no Ken (NGM-044)(NGH-044);1992;SNK;YES;neogeo;NO;-;
aof2;Art of Fighting 2 / Ryuuko no Ken 2 (NGM-056);1994;SNK;YES;neogeo;NO;-;
aof3;Art of Fighting 3 - The Path of the Warrior / Art of Fighting - Ryuuko no Ken Gaiden;1996;SNK;YES;neogeo;NO;-;
arkanoid;Arkanoid (World, older);1986;Taito Corporation Japan;YES;-;NO;-;
arknoid2;Arkanoid - Revenge of DOH (World);1987;Taito Corporation Japan;YES;-;NO;-;
astdelux;Asteroids Deluxe (rev 2);1980;Atari;YES;-;NO;-;-
asterix;Asterix (ver EAD);1992;Konami;YES;-;NO;-;
asteroid;Asteroids (rev 2);1979;Atari;YES;-;NO;-;-
atetris;Tetris (set 1) [No sound];1988;Atari Games;YES;-;NO;-;
avsp;Alien vs Predator (940520 Euro);1994;Capcom;YES;-;NO;-;
aztarac;Aztarac;1983;Centuri;YES;-;NO;-;-
baddudes;Bad Dudes vs. Dragonninja (US);1988;Data East USA;YES;-;NO;-;
bankp;Bank Panic;1984;[Sanritsu] Sega;YES;-;NO;-;
batsugun;Batsugun (set 1);1993;Toaplan;YES;-;NO;-;
bbmanw;Bomber Man World / New Dyna Blaster - Global Quest;1992;Irem;YES;-;NO;-;
berzerk;Berzerk (set 1);1980;Stern Electronics;YES;-;NO;-;
bionicc;Bionic Commando (Euro);1987;Capcom;YES;-;NO;-;
blktiger;Black Tiger;1987;Capcom;YES;-;NO;-;
blswhstl;Bells & Whistles (World, version L);1991;Konami;YES;-;NO;-;
bombjack;Bomb Jack (set 1);1984;Tehkan;YES;-;NO;-;
bouldash;Boulder Dash / Boulder Dash Part 2 (World);1990;Data East Corporation (licensed from First Star);YES;-;NO;-;
brubber;Burnin' Rubber;1982;Data East;YES;-;NO;-;
btime;Burger Time (Data East set 1);1982;Data East Corporation;YES;-;NO;-;
btoads;Battletoads;1994;Rare / Electronic Arts;YES;-;NO;-;
bublbobl;Bubble Bobble (Japan, Ver 0.1);1986;Taito Corporation;YES;-;NO;-;
bzone;Battle Zone (set 1);1980;Atari;YES;-;NO;-;-
cairblad;Change Air Blade (Japan);1999;Sammy;YES;-;NO;-;
captaven;Captain America and The Avengers (Asia Rev 1.4);1991;Data East Corporation;YES;-;NO;-;
captcomm;Captain Commando (911202 other country);1991;Capcom;YES;-;NO;-;
centiped;Centipede (revision 4);1980;Atari;YES;-;NO;-;
chasehq;Chase H.Q. (World);1988;Taito Corporation Japan;YES;-;NO;-;
choplift;Choplifter (8751 315-5151);1985;Sega (licensed from Dan Gorlin);YES;-;NO;-;
cninja;Caveman Ninja (World ver 4);1991;Data East Corporation;YES;-;NO;-;
columns;Columns (World);1990;Sega;YES;-;NO;-;
commando;Commando (World);1985;Capcom;YES;-;NO;-;
congo;Congo Bongo;1983;Sega;YES;-;NO;-;
contra;Contra (US / Asia, set 1);1987;Konami;YES;-;NO;-;
darius;Darius (World);1986;Taito Corporation Japan;YES;-;NO;-;
dariusg;Darius Gaiden - Silver Hawk (Ver 2.5O 1994/09/19);1994;Taito Corporation Japan;YES;-;NO;-;
dariusgx;Darius Gaiden - Silver Hawk Extra Version (Ver 2.7J 1995/03/06) (Official Hack);1994;Taito Corporation;YES;-;NO;-;
dbz;Dragonball Z (rev B);1993;Banpresto;YES;-;NO;-;
ddragon;Double Dragon (Japan);1987;Technos;YES;-;NO;-;
ddragon2;Double Dragon II - The Revenge (World);1988;Technos;YES;-;NO;-;
ddragon3;Double Dragon 3 - The Rosetta Stone (US);1990;Technos Japan;YES;-;NO;-;
ddsom;Dungeons & Dragons - shadow over mystara (960619 Euro);1996;Capcom;YES;-;NO;-;
