name;description;year;manufacturer;is_parent;romof;is_clone;cloneof;sasampleof
1941;1941 - Counter Attack (900227 World);1990;Capcom;YES;-;NO;-;-
1942;1942 (Revision B);1984;Capcom;YES;-;NO;-;-
1943;1943: The Battle of Midway (Euro);1987;Capcom;YES;-;NO;-;-
1944;1944 - the loop master (000620 USA);2000;Capcom / 8ing / Raizing;YES;-;NO;-;-
1943kai;1943 Kai: Midway Kaisen (Japan);1987;Capcom;YES;-;NO;-;-
19xx;19XX - the war against destiny (951207 USA);1995;Capcom;YES;-;NO;-;-
abcop;A.B. Cop (World, FD1094 317-0169b);1990;Sega;YES;-;NO;-;-
aburner2;After Burner II;1987;Sega;YES;-;NO;-;-
airwolf;Airwolf;1987;Kyugo;YES;-;NO;-;-
altbeast;Altered Beast (set 8, 8751 317-0078);1988;Sega;YES;-;NO;-;-
aof;Art of Fighting / Ryuuko no Ken (NGM-044)(NGH-044);1992;SNK;YES;neogeo;NO;-;-
aof2;Art of Fighting 2 / Ryuuko no Ken 2 (NGM-056);1994;SNK;YES;neogeo;NO;-;-
aof3;Art of Fighting 3 - The Path of the Warrior / Art of Fighting - Ryuuko no Ken Gaiden;1996;SNK;YES;neogeo;NO;-;-
arknoid2;Arkanoid - Revenge of DOH (World);1987;Taito Corporation Japan;YES;-;NO;-;-
atetris;Tetris (set 1) [No sound];1988;Atari Games;YES;-;NO;-;-
avsp;Alien vs Predator (940520 Euro);1994;Capcom;YES;-;NO;-;-
bionicc;Bionic Commando (Euro);1987;Capcom;YES;-;NO;-;-
blktiger;Black Tiger;1987;Capcom;YES;-;NO;-;-
bombjack;Bomb Jack (set 1);1984;Tehkan;YES;-;NO;-;-
bouldash;Boulder Dash / Boulder Dash Part 2 (World);1990;Data East Corporation (licensed from First Star);YES;-;NO;-;-
bublbobl;Bubble Bobble (Japan, Ver 0.1);1986;Taito Corporation;YES;-;NO;-;-
captcomm;Captain Commando (911202 other country);1991;Capcom;YES;-;NO;-;-
centiped;Centipede (revision 4);1980;Atari;YES;-;NO;-;-
chasehq;Chase H.Q. (World);1988;Taito Corporation Japan;YES;-;NO;-;-
commando;Commando (World);1985;Capcom;YES;-;NO;-;-
congo;Congo Bongo;1983;Sega;YES;-;NO;-;-
contra;Contra (US / Asia, set 1);1987;Konami;YES;-;NO;-;-
darius;Darius (World);1986;Taito Corporation Japan;YES;-;NO;-;-
dariusg;Darius Gaiden - Silver Hawk (Ver 2.5O 1994/09/19);1994;Taito Corporation Japan;YES;-;NO;-;-
dariusgx;Darius Gaiden - Silver Hawk Extra Version (Ver 2.7J 1995/03/06) (Official Hack);1994;Taito Corporation;YES;-;NO;-;-
ddragon;Double Dragon (Japan);1987;Technos;YES;-;NO;-;-
ddragon2;Double Dragon II - The Revenge (World);1988;Technos;YES;-;NO;-;-
ddragon3;Double Dragon 3 - The Rosetta Stone (US);1990;Technos Japan;YES;-;NO;-;-
ddsom;Dungeons & Dragons - shadow over mystara (960619 Euro);1996;Capcom;YES;-;NO;-;-
ddtod;Dungeons & Dragons - tower of doom (940412 Euro);1994;Capcom;YES;-;NO;-;-
digdug;Dig Dug (rev 2);1982;Namco;YES;-;NO;-;-
digdug2;Dig Dug II (New Ver.);1985;Namco;YES;-;NO;-;-
dino;Cadillacs & Dinosaurs (930201 etc);1993;Capcom;YES;-;NO;-;-
dkong3;Donkey Kong 3 (US);1983;Nintendo of America;YES;-;NO;-;-
docastle;Mr. Do's Castle (set 1);1983;Universal;YES;-;NO;-;-
donpachi;DonPachi (USA, ver. 1.12, 95/05/2x);1995;Atlus / Cave;YES;-;NO;-;-
dstlk;Darkstalkers - the night warriors (940705 Euro);1994;Capcom;YES;-;NO;-;-
elvactr;Elevator Action Returns (Ver 2.2O 1995/02/20);1994;Taito Corporation Japan;YES;-;NO;-;-
fantzone;Fantasy Zone (Rev A, unprotected);1986;Sega;YES;-;NO;-;-
fatfursp;Fatal Fury Special / Garou Densetsu Special (set 1)(NGM-058)(NGH-058);1993;SNK;YES;neogeo;NO;-;-
fatfury1;Fatal Fury - King of Fighters / Garou Densetsu - shukumei no tatakai (NGM-033)(NGH-033);1992;SNK;YES;neogeo;NO;-;-
fatfury2;Fatal Fury 2 / Garou Densetsu 2 - arata-naru tatakai (NGM-047)(NGH-047);1992;SNK;YES;neogeo;NO;-;-
fatfury3;Fatal Fury 3 - Road to the Final Victory / Garou Densetsu 3 - haruka-naru tatakai (NGM-069)(NGH-069);1995;SNK;YES;neogeo;NO;-;-
