name;description;year;manufacturer;is_parent;romof;is_clone;cloneof;sasampleof;
jojoba;JoJo's Bizarre Adventure: Heritage for the Future / JoJo no Kimyou na Bouken: Mirai e no Isan (Japan 990927);1999;Capcom;YES;-;NO;-;-;
jojo;JoJo's Venture / JoJo no Kimyou na Bouken (USA 990128);1998;Capcom;YES;-;NO;-;-;
kinst;Killer Instinct (ver. 1.5);1994/1995;Rare/Nintendo;YES;-;NO;-;-;
kinst2;Killer Instinct II (ver. 1.4);1994/1995;Rare/Nintendo;YES;-;NO;-;-;
redearth;Red Earth / War-Zard (Euro 961121);1996;Capcom;YES;-;NO;-;-;
sfiii2j;Street Fighter III 2nd Impact: Giant Attack (Japan 970930);1997;Capcom;NO;sfiii2;YES;sfiii2;-;
sfiii2;Street Fighter III 2nd Impact: Giant Attack (USA 970930);1997;Capcom;YES;-;NO;-;-;
sfiii3;Street Fighter III 3rd Strike: Fight for the Future (Euro 990608);1999;Capcom;YES;-;NO;-;-;
sfiii;Street Fighter III: New Generation (Euro 970204);1997;Capcom;YES;-;NO;-;-;
sfiiij;Street Fighter III: New Generation (Japan 970204);1997;Capcom;NO;sfiii;YES;sfiii;-;
warzard;War-Zard / Red Earth (Japan 961121);1996;Capcom;NO;redearth;YES;redearth;-;
