name;description;year;manufacturer;is_parent;romof;is_clone;cloneof;sasampleof;
cybertnk;Cyber Tank (v1.4);1988;Coreland;YES;-;NO;-;-;
drgw2;Dragon World II (V110X, World);1997;IGS;YES;pgm;NO;-;-;
hvyunit;Heavy Unit (World);1988;Kaneko / Taito;YES;-;NO;-;-;
racingb;Racing Beat (World);1991;Taito Corporation Japan;YES;-;NO;-;-;
rpatrol;River Patrol (Orca);1981;Orca;YES;-;NO;-;-;
scorpion;Scorpion (set 1) [Incomplete Sound];1982;Zaccaria;YES;-;NO;-;-;
skyrobo;Sky Robo;1989;Nichibutsu;YES;-;NO;-;-;
spec2k;Spectrum 2000 (vertical);2000;Yona Tech;YES;-;NO;-;-;
suratk;Surprise Attack (World ver. K);1990;Konami;YES;-;NO;-;-;
tnextspc;The Next Space (set 1);1989;SNK;YES;-;NO;-;-;
unclepoo;Uncle Poo;1983;Diatec;YES;-;NO;-;-;
woodpeck;Woodpecker (set 1);1981;Amenip (Palcom Queen River);YES;-;NO;-;-;
