name;description;year;manufacturer;is_parent;romof;is_clone;cloneof;sasampleof
1941r1;1941 - Counter Attack (World);1990;Capcom;NO;1941;YES;1941;-
1941u;1941 - Counter Attack (900227 USA);1990;Capcom;NO;1941;YES;1941;-
1942abl;1942 (Revision A, bootleg) [Bootleg];1984;Capcom;NO;1942;YES;1942;-
1942c64;1942 (C64 Music);2015;hack by Minwah;NO;1942;YES;1942;-
1942h;Supercharger 1942;1991;hack (Two Bit Score);NO;1942;YES;1942;-
1942w;1942 (Williams Electronics license);1985;Capcom (Williams Electronics license);NO;1942;YES;1942;-
1943b;1943: The Battle of Midway (bootleg set 1, hack of Japan set) [Bootleg];1987;bootleg;NO;1943;YES;1943;-
1943b2;1943: The Battle of Midway (bootleg set 2, hack of Japan set) [Bootleg];1987;bootleg;NO;1943;YES;1943;-
1943bj;1943: Midway Kaisen (bootleg) [Bootleg];1987;bootleg;NO;1943;YES;1943;-
1943ja;1943: Midway Kaisen (Japan);1987;Capcom;NO;1943;YES;1943;-
1943ja2;1943: The Battle of Midway (hack of Japan set);1987;Capcom;NO;1943;YES;1943;-
1943mii;1943: The Battle of Midway Mark II (US);1988;Capcom;YES;-;NO;-;-
1943u;1943: The Battle of Midway (US, Rev C);1987;Capcom;NO;1943;YES;1943;-
1943ua;1943: The Battle of Midway (US);1987;Capcom;NO;1943;YES;1943;-
1944ad;1944 - the loop master (000620 USA Phoenix Edition, alt) [Bootleg];2000;bootleg;NO;1944;YES;1944;-
1944d;1944 - the loop master (000620 USA Phoenix Edition) [Bootleg];2000;bootleg;NO;1944;YES;1944;-
1945kiii;1945k III (newer, OPCX2 PCB);2000;Oriental Soft;YES;-;NO;-;-
1945kiiin;1945k III (newer, OPCX1 PCB);2000;Oriental Soft;NO;1945kiii;YES;1945kiii;-
1945kiiio;1945k III (older, OPCX1 PCB);1999;Oriental Soft;NO;1945kiii;YES;1945kiii;-
19xxar1;19XX - the war against destiny (951207 Asia);1995;Capcom;NO;19xx;YES;19xx;-
19xxb;19XX - the war against destiny (951218 Brazil);1995;Capcom;NO;19xx;YES;19xx;-
19xxd;19XX - the war against destiny (951207 USA Phoenix Edition) [Bootleg];1995;bootleg;NO;19xx;YES;19xx;-
19xxjr2;19XX - the war against destiny (951207 Japan);1995;Capcom;NO;19xx;YES;19xx;-
2020bba;2020 Super Baseball (set 2);1991;SNK / Pallas;NO;2020bb;YES;2020bb;-
3countba;3 Count Bout / Fire Suplex (NGM-043);1993;SNK;NO;3countb;YES;3countb;-
3kokushi;Sankokushi (Japan) [Graphics corruption on score/bonus screen is normal];1996;Mitchell;YES;-;NO;-;-
