name;description;year;manufacturer;is_parent;romof;is_clone;cloneof;sasampleof
grasspin;Grasspin;1983;[Zilec Electronics] Jaleco;YES;-;NO;-;-
saturnzi;Saturn;1983;[Zilec Electronics] Jaleco;YES;-;NO;-;-
watrball;Water Balls;1996;ABM;YES;-;NO;-;-
pgalvip;Pocket Gals V.I.P (set 1);1996;ACE International / Afega;YES;-;NO;-;-
dolmen;Dolmen;1995;Afega;YES;-;NO;-;-
mangchi;Mang-Chi;2000;Afega;YES;-;NO;-;-
popspops;Pop's Pop's;1999;Afega;YES;-;NO;-;-
twinactn;Twin Action;1995;Afega;YES;-;NO;-;-
bubl2000;Bubble 2000;1998;Afega (Tuning license);YES;-;NO;-;-
blandia;Blandia;1992;Allumer;YES;-;NO;-;-
sstingry;Super Stingray (Japan);1986;Alpha Denshi Co.;YES;-;NO;-;-
sbasebal;Super Champion Baseball (US);1989;Alpha Denshi Co. (SNK of America license);YES;-;NO;-;-
woodpeck;Woodpecker (set 1);1981;Amenip (Palcom Queen River);YES;-;NO;-;-
keroppi;Kero Kero Keroppi's Let's Play Together (USA, Version 2.0);1995;American Sammy;YES;-;NO;-;-
orbs;Orbs (10/7/94 prototype?);1994;American Sammy;YES;-;NO;-;-
livequiz;Live Quiz Show;1999;Andamiro Entertainment Co. Ltd.;YES;-;NO;-;-
tgm2;Tetris the Absolute The Grand Master 2;2000;Arika;YES;-;NO;-;-
atehate;Athena no Hatena ?;1993;Athena;YES;-;NO;-;-
pairlove;Pairs Love;1991;Athena;YES;-;NO;-;-
wingforc;Wing Force (Japan, prototype);1993;Atlus;YES;-;NO;-;-
plegends;Gouketsuji Gaiden Legends (USA, ver. 95/06/20);1995;Atlus / KM International;YES;-;NO;-;-
onetwo;One + Two;1997;Barko;YES;-;NO;-;-
honeydol;Honey Dolls;1995;Barko Corp;YES;-;NO;-;-
twinadv;Twin Adventure (World);1995;Barko Corp;YES;-;NO;-;-
zipzap;Zip & Zap [Imperfect GFXs, No Sound];1995;Barko Corp;YES;-;NO;-;-
1943mii;1943: The Battle of Midway Mark II (US);1988;Capcom;YES;-;NO;-;-
hatena;Adventure Quiz 2 - Hatena? no Daibouken (Japan 900228);1990;Capcom;YES;-;NO;-;-
cworld2j;Adventure Quiz Capcom World 2 (920611 Japan);1992;Capcom;YES;-;NO;-;-
cworld;Capcom World (Japan);1990;Capcom;YES;-;NO;-;-
dynwar;Dynasty Wars (US set 1);1989;Capcom;YES;-;NO;-;-
ganbare;Ganbare! Marine Kun (Marine 2K0411 JPN);2000;Capcom;YES;-;NO;-;-
hsf2;Hyper Street Fighter II: The Anniversary Edition (040202 USA);2004;Capcom;YES;-;NO;-;-
jojoba;JoJo's Bizarre Adventure: Heritage for the Future / JoJo no Kimyou na Bouken: Mirai e no Isan (Japan 990927);1999;Capcom;YES;-;NO;-;-
jojo;JoJo's Venture / JoJo no Kimyou na Bouken (USA 990128);1998;Capcom;YES;-;NO;-;-
leds2011;Led Storm Rally 2011 (World);1988;Capcom;YES;-;NO;-;-
pokonyan;Pokonyan (Japan 940322);1994;Capcom;YES;-;NO;-;-
qad;Quiz & Dragons (capcom quiz game 920701 USA);1992;Capcom;YES;-;NO;-;-
qndream;Quiz Nanairo Dreams - nijiirochou no kiseki (nanairo dreams 960826 Japan);1996;Capcom;YES;-;NO;-;-
qsangoku;Quiz Sangokushi (Japan);1991;Capcom;YES;-;NO;-;-
qtono1;Quiz Tonosama no Yabou (Japan);1991;Capcom;YES;-;NO;-;-
qtono2j;Quiz Tonosama no Yabou 2 Zenkoku-ban (tonosama 2 950123 Japan);1995;Capcom;YES;-;NO;-;-
redearth;Red Earth / War-Zard (Euro 961121);1996;Capcom;YES;-;NO;-;-
sf;Street Fighter (US, set 1);1987;Capcom;YES;-;NO;-;-
