"name";"description";"year";"manufacturer";"is_parent";"romof";"is_clone";"cloneof";"sampleof"
"88games";"'88 Games";1988;"Konami";"YES";"-";"NO";"-";"-"
"flagrall";"'96 Flag Rally";1996;"unknown";"YES";"-";"NO";"-";"-"
"10yard";"10-Yard Fight (World, set 1)";1983;"Irem";"YES";"-";"NO";"-";"-"
"gtmr";"1000 Miglia: Great 1000 Miles Rally (Taiwan 94/07/18)";1994;"Kaneko";"YES";"-";"NO";"-";"-"
"progolf";"18 Holes Pro Golf (set 1)";1981;"Data East Corporation";"YES";"-";"NO";"-";"-"
1941;"1941 - Counter Attack (900227 World)";1990;"Capcom";"YES";"-";"NO";"-";"-"
1942;"1942 (Revision B)";1984;"Capcom";"YES";"-";"NO";"-";"-"
"1943kai";"1943 Kai: Midway Kaisen (Japan)";1987;"Capcom";"YES";"-";"NO";"-";"-"
1943;"1943: The Battle of Midway (Euro)";1987;"Capcom";"YES";"-";"NO";"-";"-"
"1943mii";"1943: The Battle of Midway Mark II (US)";1988;"Capcom";"YES";"-";"NO";"-";"-"
1944;"1944 - the loop master (000620 USA)";2000;"Capcom / 8ing / Raizing";"YES";"-";"NO";"-";"-"
"1945kiii";"1945k III (newer, OPCX2 PCB)";2000;"Oriental Soft";"YES";"-";"NO";"-";"-"
"19xx";"19XX - the war against destiny (960104 Euro)";1995;"Capcom";"YES";"-";"NO";"-";"-"
"2020bb";"2020 Super Baseball (set 1)";1991;"SNK / Pallas";"YES";"neogeo";"NO";"-";"-"
"3countb";"3 Count Bout / Fire Suplex (NGM-043)(NGH-043)";1993;"SNK";"YES";"neogeo";"NO";"-";"-"
"3on3dunk";"3 On 3 Dunk Madness (US, prototype? 1997/02/04) [Prototype]";1996;"Video System Co.";"YES";"-";"NO";"-";"-"
"3x3puzzl";"3X3 Puzzle (Enterprise)";1998;"Ace Enterprise";"YES";"-";"NO";"-";"-"
"4enraya";"4 En Raya (set 1)";1990;"IDSA";"YES";"-";"NO";"-";"-"
"4in1";"4 Fun in 1 [Bootleg]";1981;"Armenia / Food and Fun";"YES";"-";"NO";"-";"-"
"4play";"4 player input test [Demo, 4 player  input test cartridge]";"???";"SNK";"YES";"neogeo";"NO";"-";"-"
"4dwarrio";"4-D Warriors (315-5162)";1985;"Coreland / Sega";"YES";"-";"NO";"-";"-"
"64street";"64th. Street - A Detective Story (World)";1991;"Jaleco";"YES";"-";"NO";"-";"-"
"7ordi";"7 Ordi (Korea)";2002;"Yun Sung";"YES";"-";"NO";"-";"-"
"abcop";"A.B. Cop (World, FD1094 317-0169b)";1990;"Sega";"YES";"-";"NO";"-";"-"
"ad2083";"A.D. 2083 [Incomplete Sound]";1983;"Midcoin";"YES";"-";"NO";"-";"-"
