name;description;year;manufacturer;is_parent;romof;is_clone;cloneof;sampleof
2020bb;2020 Super Baseball (set 1);1991;SNK / Pallas;YES;neogeo;NO;-;-
3countb;3 Count Bout / Fire Suplex (NGM-043)(NGH-043);1993;SNK;YES;neogeo;NO;-;-
sonicwi2;Aero Fighters 2 / Sonic Wings 2;1994;Video System Co.;YES;neogeo;NO;-;-
sonicwi3;Aero Fighters 3 / Sonic Wings 3;1995;Video System Co.;YES;neogeo;NO;-;-
aodk;Aggressors of Dark Kombat / Tsuukai GANGAN Koushinkyoku (ADM-008)(ADH-008);1994;ADK / SNK;YES;neogeo;NO;-;-
alpham2;Alpha Mission II / ASO II - Last Guardian (NGM-007)(NGH-007);1991;SNK;YES;neogeo;NO;-;-
androdun;Andro Dunos (NGM-049)(NGH-049);1992;Visco;YES;neogeo;NO;-;-
aof;Art of Fighting / Ryuuko no Ken (NGM-044)(NGH-044);1992;SNK;YES;neogeo;NO;-;-
aof2;Art of Fighting 2 / Ryuuko no Ken 2 (NGM-056);1994;SNK;YES;neogeo;NO;-;-
aof3;Art of Fighting 3 - The Path of the Warrior / Art of Fighting - Ryuuko no Ken Gaiden;1996;SNK;YES;neogeo;NO;-;-
bakatono;Bakatonosama Mahjong Manyuuki (MOM-002)(MOH-002);1991;Monolith Corp.;YES;neogeo;NO;-;-
bstars2;Baseball Stars 2;1992;SNK;YES;neogeo;NO;-;-
bstars;Baseball Stars Professional (NGM-002);1990;SNK;YES;neogeo;NO;-;-
blazstar;Blazing Star;1998;Yumekobo;YES;neogeo;NO;-;-
bjourney;Blue's Journey / Raguy (ALM-001)(ALH-001);1990;Alpha Denshi Co.;YES;neogeo;NO;-;-
breakers;Breakers;1996;Visco;YES;neogeo;NO;-;-
burningf;Burning Fight (NGM-018)(NGH-018);1991;SNK;YES;neogeo;NO;-;-
marukodq;Chibi Marukochan Deluxe Quiz;1995;Takara;YES;neogeo;NO;-;-
crsword;Crossed Swords (ALM-002)(ALH-002);1991;Alpha Denshi Co.;YES;neogeo;NO;-;-
cyberlip;Cyber-Lip (NGM-010);1990;SNK;YES;neogeo;NO;-;-
doubledr;Double Dragon (Neo-Geo);1995;Technos;YES;neogeo;NO;-;-
eightman;Eight Man (NGM-025)(NGH-025);1991;SNK / Pallas;YES;neogeo;NO;-;-
kabukikl;Far East of Eden - Kabuki Klash / Tengai Makyou - Shin Den;1995;Hudson;YES;neogeo;NO;-;-
fatfury1;Fatal Fury - King of Fighters / Garou Densetsu - shukumei no tatakai (NGM-033)(NGH-033);1992;SNK;YES;neogeo;NO;-;-
fatfury2;Fatal Fury 2 / Garou Densetsu 2 - arata-naru tatakai (NGM-047)(NGH-047);1992;SNK;YES;neogeo;NO;-;-
fatfury3;Fatal Fury 3 - Road to the Final Victory / Garou Densetsu 3 - haruka-naru tatakai (NGM-069)(NGH-069);1995;SNK;YES;neogeo;NO;-;-
fatfursp;Fatal Fury Special / Garou Densetsu Special (set 1)(NGM-058)(NGH-058);1993;SNK;YES;neogeo;NO;-;-
fbfrenzy;Football Frenzy (NGM-034)(NGH-034);1992;SNK;YES;neogeo;NO;-;-
galaxyfg;Galaxy Fight - Universal Warriors;1995;Sunsoft;YES;neogeo;NO;-;-
garou;Garou - Mark of the Wolves (NGM-2530);1999;SNK;YES;neogeo;NO;-;-
gpilots;Ghost Pilots (NGM-020)(NGH-020);1991;SNK;YES;neogeo;NO;-;-
karnovr;Karnov's Revenge / Fighter's History Dynamite;1994;Data East Corporation;YES;neogeo;NO;-;-
kotm;King of the Monsters (set 1);1991;SNK;YES;neogeo;NO;-;-
kotm2;King of the Monsters 2 - The Next Thing (NGM-039)(NGH-039);1992;SNK;YES;neogeo;NO;-;-
kizuna;Kizuna Encounter - Super Tag Battle / Fu'un Super Tag Battle;1996;SNK;YES;neogeo;NO;-;-
lresort;Last Resort;1992;SNK;YES;neogeo;NO;-;-
lbowling;League Bowling (NGM-019)(NGH-019);1990;SNK;YES;neogeo;NO;-;-
legendos;Legend of Success Joe / Ashitano Joe Densetsu;1991;SNK / WAVE;YES;neogeo;NO;-;-
magdrop2;Magical Drop II;1996;Data East Corporation;YES;neogeo;NO;-;-
magdrop3;Magical Drop III;1997;Data East Corporation;YES;neogeo;NO;-;-
maglord;Magician Lord (NGM-005);1990;Alpha Denshi Co.;YES;neogeo;NO;-;-
mahretsu;Mahjong Kyo Retsuden (NGM-004)(NGH-004);1990;SNK;YES;neogeo;NO;-;-
matrim;Matrimelee / Shin Gouketsuji Ichizoku Toukon (NGM-2660) (NGH-2660);2002;Noise Factory / Atlus;YES;neogeo;NO;-;-
mslug;Metal Slug - Super Vehicle-001;1996;Nazca;YES;neogeo;NO;-;-
mslug2;Metal Slug 2 - Super Vehicle-001/II (NGM-2410) (NGH-2410);1998;SNK;YES;neogeo;NO;-;-
mslug3;Metal Slug 3 (NGM-2560);2000;SNK;YES;neogeo;NO;-;-
mslug4;Metal Slug 4 (NGM-2630);2002;Mega;YES;neogeo;NO;-;-
mslug5;Metal Slug 5 (NGM-2680);2003;SNK Playmore;YES;neogeo;NO;-;-
mslugx;Metal Slug X - Super Vehicle-001 (NGM-2500)(NGH-2500);1999;SNK;YES;neogeo;NO;-;-
minasan;Minasanno Okagesamadesu! Daisugorokutaikai (MOM-001)(MOH-001);1990;Monolith Corp.;YES;neogeo;NO;-;-
mutnat;Mutation Nation (NGM-014)(NGH-014);1992;SNK;YES;neogeo;NO;-;-
nam1975;NAM-1975 (NGM-001)(NGH-001);1990;SNK;YES;neogeo;NO;-;-
turfmast;Neo Turf Masters / Big Tournament Golf;1996;Nazca;YES;neogeo;NO;-;-
neocup98;Neo-Geo Cup '98 - The Road to the Victory;1998;SNK;YES;neogeo;NO;-;-
ncombat;Ninja Combat (NGM-009);1990;Alpha Denshi Co.;YES;neogeo;NO;-;-
ncommand;Ninja Commando;1992;Alpha Denshi Co.;YES;neogeo;NO;-;-
ninjamas;Ninja Master's - haoh-ninpo-cho;1996;ADK / SNK;YES;neogeo;NO;-;-
overtop;Over Top;1996;ADK;YES;neogeo;NO;-;-
pulstar;Pulstar;1995;Aicom;YES;neogeo;NO;-;-
joyjoy;Puzzled / Joy Joy Kid (NGM-021)(NGH-021);1990;SNK;YES;neogeo;NO;-;-
quizdais;Quiz Daisousa Sen - The Last Count Down (NGM-023)(NGH-023);1991;SNK;YES;neogeo;NO;-;-
quizkof;Quiz King of Fighters (SAM-080)(SAH-080);1995;Saurus;YES;neogeo;NO;-;-
quizdai2;Quiz Meitantei Neo & Geo - Quiz Daisousa Sen part 2 (NGM-042)(NGH-042);1992;SNK;YES;neogeo;NO;-;-
rotd;Rage of the Dragons (NGM-264?);2002;Evoga / Playmore;YES;neogeo;NO;-;-
ragnagrd;Ragnagard / Shin-Oh-Ken;1996;Saurus;YES;neogeo;NO;-;-
rbff1;Real Bout Fatal Fury / Real Bout Garou Densetsu (NGM-095)(NGH-095);1995;SNK;YES;neogeo;NO;-;-
