name;description;year;manufacturer;is_parent;romof;is_clone;cloneof;sampleof
88games;'88 Games;1988;Konami;NO;-;YES;-;-;
flagrall;'96 Flag Rally;1996;unknown;NO;-;YES;-;-;
99lstwarb;'99: The Last War (bootleg);1985;bootleg;YES;repulse;NO;repulse;-;
99lstwark;'99: The Last War (Kyugo);1985;Crux / Kyugo;YES;repulse;NO;repulse;-;
99lstwar;'99: The Last War (set 1);1985;Crux / Proma;YES;repulse;NO;repulse;-;
99lstwara;'99: The Last War (set 2);1985;Crux / Proma;YES;repulse;NO;repulse;-;
10yard85;10-Yard Fight '85 (US, Taito license);1985;Irem (Taito license);YES;10yard;NO;10yard;-;
10yardj;10-Yard Fight (Japan);1983;Irem;YES;10yard;NO;10yard;-;
10yard;10-Yard Fight (World, set 1);1983;Irem;NO;-;YES;-;-;
gtmro;1000 Miglia: Great 1000 Miles Rally (94/05/10);1994;Kaneko;YES;gtmr;NO;gtmr;-;
gtmrb;1000 Miglia: Great 1000 Miles Rally (94/05/26);1994;Kaneko;YES;gtmr;NO;gtmr;-;
gtmra;1000 Miglia: Great 1000 Miles Rally (94/06/13);1994;Kaneko;YES;gtmr;NO;gtmr;-;
gtmr;1000 Miglia: Great 1000 Miles Rally (Taiwan 94/07/18);1994;Kaneko;NO;-;YES;-;-;
cprogolf18;18 Challenge Pro Golf (DECO Cassette) (Japan);1982;Data East Corporation;YES;cprogolf;NO;cprogolf;-;
progolf;18 Holes Pro Golf (set 1);1981;Data East Corporation;NO;-;YES;-;-;
1941u;1941 - Counter Attack (900227 USA);1990;Capcom;YES;1941;NO;1941;-;
1941;1941 - Counter Attack (900227 World);1990;Capcom;NO;-;YES;-;-;
1941j;1941 - Counter Attack (Japan);1990;Capcom;YES;1941;NO;1941;-;
1941r1;1941 - Counter Attack (World);1990;Capcom;YES;1941;NO;1941;-;
1942c64;1942 (C64 Music);2015;hack by Minwah;YES;1942;NO;1942;-;
1942b;1942 (First Version);1984;Capcom;YES;1942;NO;1942;-;
1942a;1942 (Revision A);1984;Capcom;YES;1942;NO;1942;-;
1942abl;1942 (Revision A, bootleg);1984;Capcom;YES;1942;NO;1942;-;
1942;1942 (Revision B);1984;Capcom;NO;-;YES;-;-;
1942w;1942 (Williams Electronics license);1985;Capcom (Williams Electronics license);YES;1942;NO;1942;-;
1943kai;1943 Kai: Midway Kaisen (Japan);1987;Capcom;NO;-;YES;-;-;
1943bj;1943: Midway Kaisen (bootleg);1987;bootleg;YES;1943;NO;1943;-;
1943ja;1943: Midway Kaisen (Japan);1987;Capcom;YES;1943;NO;1943;-;
1943jah;1943: Midway Kaisen (Japan, no protection hack);1987;Capcom;YES;1943;NO;1943;-;
1943jaha;1943: Midway Kaisen (Japan, no protection hack, alt);1987;Capcom;YES;1943;NO;1943;-;
1943j;1943: Midway Kaisen (Japan, Rev B);1987;Capcom;YES;1943;NO;1943;-;
1943b;1943: The Battle of Midway (bootleg set 1, hack of Japan set);1987;bootleg;YES;1943;NO;1943;-;
1943b2;1943: The Battle of Midway (bootleg set 2, hack of Japan set);1987;bootleg;YES;1943;NO;1943;-;
1943;1943: The Battle of Midway (Euro);1987;Capcom;NO;-;YES;-;-;
1943ua;1943: The Battle of Midway (US);1987;Capcom;YES;1943;NO;1943;-;
1943u;1943: The Battle of Midway (US, Rev C);1987;Capcom;YES;1943;NO;1943;-;
1943mii;1943: The Battle of Midway Mark II (US);1988;Capcom;NO;-;YES;-;-;
1944;1944 - the loop master (000620 Euro);2000;Eighting / Raizing (Capcom license);NO;-;YES;-;-;
1944j;1944 - the loop master (000620 Japan);2000;Eighting / Raizing (Capcom license);YES;1944;NO;1944;-;
1944d;1944 - the loop master (000620 USA Phoenix Edition);2000;bootleg;YES;1944;NO;1944;-;
1944ad;1944 - the loop master (000620 USA Phoenix Edition, alt);2000;bootleg;YES;1944;NO;1944;-;
1944u;1944 - the loop master (000620 USA);2000;Eighting / Raizing (Capcom license);YES;1944;NO;1944;-;
bgareggabl;1945 Part 2 (Chinese hack of Battle Garegga);1996;bootleg;YES;bgaregga;NO;bgaregga;-;
1945kiiin;1945k III (newer, OPCX1 PCB);2000;Oriental Soft;YES;1945kiii;NO;1945kiii;-;
1945kiii;1945k III (newer, OPCX2 PCB);2000;Oriental Soft;NO;-;YES;-;-;
1945kiiio;1945k III (older, OPCX1 PCB);1999;Oriental Soft;YES;1945kiii;NO;1945kiii;-;
19xxar1;19XX - the war against destiny (951207 Asia);1995;Capcom;YES;19xx;NO;19xx;-;
19xxjr2;19XX - the war against destiny (951207 Japan);1995;Capcom;YES;19xx;NO;19xx;-;
19xxd;19XX - the war against destiny (951207 USA Phoenix Edition);1995;bootleg;YES;19xx;NO;19xx;-;
19xxu;19XX - the war against destiny (951207 USA);1995;Capcom;YES;19xx;NO;19xx;-;
19xxb;19XX - the war against destiny (951218 Brazil);1995;Capcom;YES;19xx;NO;19xx;-;
19xxh;19XX - the war against destiny (951218 Hispanic);1995;Capcom;YES;19xx;NO;19xx;-;
19xxjr1;19XX - the war against destiny (951225 Japan);1995;Capcom;YES;19xx;NO;19xx;-;
19xxa;19XX - the war against destiny (960104 Asia);1995;Capcom;YES;19xx;NO;19xx;-;
19xx;19XX - the war against destiny (960104 Euro);1995;Capcom;NO;-;YES;-;-;
19xxj;19XX - the war against destiny (960104 Japan, yellow case);1996;Capcom;YES;19xx;NO;19xx;-;
19yyo;19YY (Neo CD conversion, ADK World)(Original release);2022;hack;YES;19yy;NO;19yy;-;
19yy;19YY (Neo CD conversion, ADK World);2022;hack;NO;neogeo;YES;-;-;
openice;2 On 2 Open Ice Challenge (rev 1.21);1995;Midway;NO;-;YES;-;-;
openicea;2 On 2 Open Ice Challenge (rev 1.2A);1995;Midway;YES;openice;NO;openice;-;
2020bb;2020 Super Baseball (set 1);1991;SNK / Pallas;NO;neogeo;YES;-;-;
2020bba;2020 Super Baseball (set 2);1991;SNK / Pallas;YES;2020bb;NO;2020bb;-;
2020bbh;2020 Super Baseball (set 3);1991;SNK / Pallas;YES;2020bb;NO;2020bb;-;
3countb;3 Count Bout / Fire Suplex (NGM-043)(NGH-043);1993;SNK;NO;neogeo;YES;-;-;
3countba;3 Count Bout / Fire Suplex (NGM-043);1993;SNK;YES;3countb;NO;3countb;-;
3on3dunk;3 On 3 Dunk Madness (US, prototype? 1997/02/04);1996;Video System Co.;NO;-;YES;-;-;
3x3puzzl;3X3 Puzzle (Enterprise);1998;Ace Enterprise;NO;-;YES;-;-;
3x3puzzla;3X3 Puzzle (Normal);1998;Ace Enterprise;YES;3x3puzzl;NO;3x3puzzl;-;
4enraya;4 En Raya (set 1);1990;IDSA;NO;-;YES;-;-;
4enrayaa;4 En Raya (set 2);1990;IDSA;YES;4enraya;NO;4enraya;-;
4in1;4 Fun in 1;1981;Armenia / Food and Fun;NO;-;YES;-;-;
4play;4 player input test;???;SNK;NO;neogeo;YES;-;-;
