name;description;year;manufacturer;is_parent;romof;is_clone;cloneof;sampleof
bjourney;Blue's Journey / Raguy (ALM-001)(ALH-001);1990;Alpha Denshi Co.;NO;neogeo;YES;-;-
maglord;Magician Lord (NGM-005);1990;Alpha Denshi Co.;NO;neogeo;YES;-;-
ncombat;Ninja Combat (NGM-009);1990;Alpha Denshi Co.;NO;neogeo;YES;-;-
minasan;Minasanno Okagesamadesu! Daisugorokutaikai (MOM-001)(MOH-001);1990;Monolith Corp.;NO;neogeo;YES;-;-
bstars;Baseball Stars Professional (NGM-002);1990;SNK;NO;neogeo;YES;-;-
cyberlip;Cyber-Lip (NGM-010);1990;SNK;NO;neogeo;YES;-;-
lbowling;League Bowling (NGM-019)(NGH-019);1990;SNK;NO;neogeo;YES;-;-
mahretsu;Mahjong Kyo Retsuden (NGM-004)(NGH-004);1990;SNK;NO;neogeo;YES;-;-
nam1975;NAM-1975 (NGM-001)(NGH-001);1990;SNK;NO;neogeo;YES;-;-
neogeo;Neo Geo;1990;SNK;NO;-;YES;-;-
joyjoy;Puzzled / Joy Joy Kid (NGM-021)(NGH-021);1990;SNK;NO;neogeo;YES;-;-
ridhero;Riding Hero (NGM-006)(NGH-006);1990;SNK;NO;neogeo;YES;-;-
superspy;The Super Spy (NGM-011)(NGH-011);1990;SNK;NO;neogeo;YES;-;-
tpgolf;Top Player's Golf (NGM-003)(NGH-003);1990;SNK;NO;neogeo;YES;-;-
crsword;Crossed Swords (ALM-002)(ALH-002);1991;Alpha Denshi Co.;NO;neogeo;YES;-;-
trally;Thrash Rally (ALM-003)(ALH-003);1991;Alpha Denshi Co.;NO;neogeo;YES;-;-
bakatono;Bakatonosama Mahjong Manyuuki (MOM-002)(MOH-002);1991;Monolith Corp.;NO;neogeo;YES;-;-
alpham2;Alpha Mission II / ASO II - Last Guardian (NGM-007)(NGH-007);1991;SNK;NO;neogeo;YES;-;-
burningf;Burning Fight (NGM-018)(NGH-018);1991;SNK;NO;neogeo;YES;-;-
gpilots;Ghost Pilots (NGM-020)(NGH-020);1991;SNK;NO;neogeo;YES;-;-
kotm;King of the Monsters (set 1);1991;SNK;NO;neogeo;YES;-;-
quizdais;Quiz Daisousa Sen - The Last Count Down (NGM-023)(NGH-023);1991;SNK;NO;neogeo;YES;-;-
roboarmy;Robo Army (set 1);1991;SNK;NO;neogeo;YES;-;-
sengoku;Sengoku / Sengoku Denshou (NGM-017)(NGH-017);1991;SNK;NO;neogeo;YES;-;-
