name;description;year;manufacturer;is_parent;romof;is_clone;cloneof;sampleof
19yyo;19YY (Neo CD conversion, ADK World)(Original release);2022;hack;YES;19yy;NO;19yy;-;
19yy;19YY (Neo CD conversion, ADK World);2022;hack;NO;neogeo;YES;-;-;
2020bb;2020 Super Baseball (set 1);1991;SNK / Pallas;NO;neogeo;YES;-;-;
2020bba;2020 Super Baseball (set 2);1991;SNK / Pallas;YES;2020bb;NO;2020bb;-;
2020bbh;2020 Super Baseball (set 3);1991;SNK / Pallas;YES;2020bb;NO;2020bb;-;
3countb;3 Count Bout / Fire Suplex (NGM-043)(NGH-043);1993;SNK;NO;neogeo;YES;-;-;
3countba;3 Count Bout / Fire Suplex (NGM-043);1993;SNK;YES;3countb;NO;3countb;-;
4play;4 player input test;???;SNK;NO;neogeo;YES;-;-;
sonicwi2;Aero Fighters 2 / Sonic Wings 2;1994;Video System Co.;NO;neogeo;YES;-;-;
sonicwi3;Aero Fighters 3 / Sonic Wings 3;1995;Video System Co.;NO;neogeo;YES;-;-;
aodk;Aggressors of Dark Kombat / Tsuukai GANGAN Koushinkyoku (ADM-008)(ADH-008);1994;ADK / SNK;NO;neogeo;YES;-;-;
alpham2;Alpha Mission II / ASO II - Last Guardian (NGM-007)(NGH-007);1991;SNK;NO;neogeo;YES;-;-;
alpham2p;Alpha Mission II / ASO II - Last Guardian (prototype);1991;SNK;YES;alpham2;NO;alpham2;-;
androdun;Andro Dunos (NGM-049)(NGH-049);1992;Visco;NO;neogeo;YES;-;-;
aof;Art of Fighting / Ryuuko no Ken (NGM-044)(NGH-044);1992;SNK;NO;neogeo;YES;-;-;
aof2bh;Art of Fighting 2 / Ryuuko no Ken 2 (Enable hidden characters V2);1994;Yumeji;YES;aof2;NO;aof2;-;
aof2a;Art of Fighting 2 / Ryuuko no Ken 2 (NGH-056);1994;SNK;YES;aof2;NO;aof2;-;
aof2;Art of Fighting 2 / Ryuuko no Ken 2 (NGM-056);1994;SNK;NO;neogeo;YES;-;-;
aof3k;Art of Fighting 3 - The Path of the Warrior (Korean release);1996;SNK;YES;aof3;NO;aof3;-;
aof3bh;Art of Fighting 3 - The Path of the Warrior / Art of Fighting - Ryuuko no Ken Gaiden (Enable Hidden Characters V2);1996;Yumeji;YES;aof3;NO;aof3;-;
aof3;Art of Fighting 3 - The Path of the Warrior / Art of Fighting - Ryuuko no Ken Gaiden;1996;SNK;NO;neogeo;YES;-;-;
badapple;Bad Apple (Tech-Demo);2017;Hpman;NO;neogeo;YES;-;-;
