name;description;year;manufacturer;is_parent;bios;sample
1941;1941 - Counter Attack (900227 World);1990;Capcom;NO;-;-
1942;1942 (Revision B);1984;Capcom;NO;-;-
1943;1943: The Battle of Midway (Euro);1987;Capcom;NO;-;-
1944;1944 - the loop master (000620 Euro);2000;Eighting / Raizing (Capcom license);NO;-;-
10yard;10-Yard Fight (World, set 1);1983;Irem;NO;-;-
1943kai;1943 Kai: Midway Kaisen (Japan);1987;Capcom;NO;-;-
1943mii;1943: The Battle of Midway Mark II (US);1988;Capcom;NO;-;-
1945kiii;1945k III (newer, OPCX2 PCB);2000;Oriental Soft;NO;-;-
19xx;19XX - the war against destiny (960104 Euro);1995;Capcom;NO;-;-
2020bb;2020 Super Baseball (set 1);1991;SNK / Pallas;NO;neogeo;-
20pacgal;Ms. Pac-Man/Galaga - 20th Anniversary Class of 1981 Reunion (V1.08);2000;Namco / Cosmodog;NO;-;-
25pacman;Pac-Man - 25th Anniversary Edition (Rev 3.00);2006;Namco / Cosmodog;NO;-;-
3countb;3 Count Bout / Fire Suplex (NGM-043)(NGH-043);1993;SNK;NO;neogeo;-
3in1semi;New HyperMan (3-in-1 with Cookie & Bibi & HyperMan) (set 1);1997;SemiCom / XESS;NO;-;-
3kokushi;Sankokushi (Japan);1996;Mitchell;NO;-;-
3on3dunk;3 On 3 Dunk Madness (US, prototype? 1997/02/04);1996;Video System Co.;NO;-;-
3stooges;The Three Stooges In Brides Is Brides (set 1);1984;Mylstar;NO;-;-
3wonders;Three Wonders (wonder 3 910520 etc);1991;Capcom;NO;-;-
3x3puzzl;3X3 Puzzle (Enterprise);1998;Ace Enterprise;NO;-;-
4dwarrio;4-D Warriors (315-5162);1985;Coreland / Sega;NO;-;-
4in1boot;Puzzle King;2002;K1 Soft;NO;-;-
64street;64th. Street - A Detective Story (World);1991;Jaleco;NO;-;-
7ordi;7 Ordi (Korea);2002;Yun Sung;NO;-;-
88games;'88 Games;1988;Konami;NO;-;-
8ballact;Eight Ball Action (DK conversion);1984;Seatongrove Ltd (Magic Eletronics USA licence);NO;-;-
aa;Alien Armada;2003;David Widel;NO;-;-
abcop;A.B. Cop (World, FD1094 317-0169b);1990;Sega;NO;-;-
aburner2;After Burner II;1987;Sega;NO;-;-
aceattac;Ace Attacker (FD1094 317-0059);1988;Sega;NO;-;-
acrobatm;Acrobat Mission;1991;UPL (Taito license);NO;nmk004;-
actfancr;Act-Fancer Cybernetick Hyper Weapon (World revision 3);1989;Data East Corporation;NO;-;-
actionhw;Action Hollywood;1995;TCH;NO;-;-
ad2083;A.D. 2083;1983;Midcoin;NO;-;-
aerofgt;Aero Fighters;1992;Video System Co.;NO;-;-
afighter;Action Fighter, FD1089A 317-0018;1986;Sega;NO;-;-
agallet;Air Gallet (Europe);1996;BanPresto / Gazelle;NO;-;-
agress;Agress;1991;Palco;NO;-;-
airass;Air Assault (World);1993;Irem;NO;-;-
airattck;Air Attack (set 1);1996;Comad;NO;-;-
airbustr;Air Buster: Trouble Specialty Raid Unit (World);1990;Kaneko (Namco license);NO;-;-
airduel;Air Duel (World, M82 hardware);1990;Irem;NO;-;-
airwolf;Airwolf;1987;Kyugo;NO;-;-
ajax;Ajax;1987;Konami;NO;-;-
akatana;Akai Katana (2010/ 8/13 MASTER VER.);2010;Cave;NO;-;-
akiss;Mahjong Angel Kiss (ver 1.0);1995;Jaleco;NO;-;-
akkaarrh;Akka Arrh (prototype);1982;Atari;NO;-;-
alcon;Alcon (US);1986;Toaplan / Taito America Corp.;NO;-;-
alexkidd;Alex Kidd: The Lost Stars (set 2, unprotected);1986;Sega;NO;-;-
alibaba;Ali Baba and 40 Thieves;1982;Sega;NO;-;-
alien3;Alien3: The Gun (World);1993;Sega;NO;-;-
alienar;Alien Arena;1985;Duncan Brown;NO;-;-
aliencha;Alien Challenge (World);1994;IGS;NO;-;-
aliens;Aliens (World set 1);1990;Konami;NO;-;-
aliensec;Alien Sector;1985;Namco;NO;-;-
aliensyn;Alien Syndrome (set 4, System 16B, unprotected);1987;Sega;NO;-;-
aligator;Alligator Hunt (World, protected);1994;Gaelco;NO;-;-
alinvade;Alien Invaders;198?;Forbes?;NO;-;-
alpha1v;Alpha One (Vision Electronics);1988;Vision Electronics;NO;-;-
alpham2;Alpha Mission II / ASO II - Last Guardian (NGM-007)(NGH-007);1991;SNK;NO;neogeo;-
alpine;Alpine Ski (set 1);1982;Taito Corporation;NO;-;-
altbeast;Altered Beast (set 8, 8751 317-0078);1988;Sega;NO;-;-
amazon;Soldier Girl Amazon;1986;Nichibutsu;NO;-;-
ambush;Ambush;1983;Tecfri;NO;-;-
amidar;Amidar;1981;Konami;NO;-;-
amspdwy;American Speedway (set 1);1987;Enerdyne Technologies Inc.;NO;-;-
androdun;Andro Dunos (NGM-049)(NGH-049);1992;Visco;NO;neogeo;-
angelkds;Angel Kids (Japan);1988;Sega / Nasco?;NO;-;-
anteater;Anteater;1982;Stern (Tago license);NO;-;-
aodk;Aggressors of Dark Kombat / Tsuukai GANGAN Koushinkyoku (ADM-008)(ADH-008);1994;ADK / SNK;NO;neogeo;-
aof;Art of Fighting / Ryuuko no Ken (NGM-044)(NGH-044);1992;SNK;NO;neogeo;-
aof2;Art of Fighting 2 / Ryuuko no Ken 2 (NGM-056);1994;SNK;NO;neogeo;-
aof3;Art of Fighting 3 - The Path of the Warrior / Art of Fighting - Ryuuko no Ken Gaiden;1996;SNK;NO;neogeo;-
aoh;Age Of Heroes - Silkroad 2 (v0.63 - 2001/02/07);2001;Unico;NO;-;-
appoooh;Appoooh;1984;Sanritsu / Sega;NO;-;-
aquajack;Aquajack (World);1990;Taito Corporation Japan;NO;-;-
aquarium;Aquarium (US);1996;Excellent System;NO;-;-
arabfgt;Arabian Fight (World);1991;Sega;NO;-;-
arabian;Arabian;1983;Sun Electronics;NO;-;-
arabianm;Arabian Magic (Ver 1.0O 1992/07/06);1992;Taito Corporation Japan;NO;-;-
arbalest;Arbalester;1989;Seta;NO;-;-
arcadecl;Arcade Classics (prototype);1992;Atari Games;NO;-;-
arcadian;Arcadia (NMK);1994;NMK;NO;-;-
archrivl;Arch Rivals (rev 4.0 6/29/89);1989;Bally Midway;NO;-;-
arescue;Air Rescue (World);1992;Sega;NO;-;-
argus;Argus;1986;NMK (Jaleco license);NO;-;-
argusg;Argus (Gottlieb, prototype);1984;Gottlieb;NO;-;-
arkanoid;Arkanoid (World, oldest rev);1986;Taito Corporation Japan;NO;-;-
arkarea;Ark Area;1988;UPL;NO;-;-
arkatour;Tournament Arkanoid (US, older);1987;Taito America Corporation (Romstar license);NO;-;-
arknoid2;Arkanoid - Revenge of DOH (World);1987;Taito Corporation Japan;NO;-;-
arkretrn;Arkanoid Returns (Ver 2.02O 1997/02/10);1997;Taito Corporation;NO;-;-
armchmp2;Arm Champs II v2.7;1992;Jaleco;NO;-;-
armedf;Armed Formation;1988;Nichibutsu;NO;-;-
armorcar;Armored Car (set 1);1981;Stern;NO;-;-
armwar;Armored Warriors (941024 Europe);1994;Capcom;NO;-;-
armwrest;Arm Wrestling;1985;Nintendo;NO;-;-
ashura;Ashura Blaster (World);1990;Taito Corporation Japan;NO;-;-
aso;ASO - Armored Scrum Object;1985;SNK;NO;-;-
assault;Assault (Rev B);1988;Namco;NO;-;-
astdelux;Asteroids Deluxe (rev 3);1980;Atari;NO;-;-
asterix;Asterix (ver EAD);1992;Konami;NO;-;-
asteroid;Asteroids (rev 4);1979;Atari;NO;-;-
astorm;Alien Storm (set 4, World, 2 Players, FD1094 317-0154);1990;Sega;NO;-;-
astyanax;The Astyanax (EPROM version);1989;Jaleco;NO;-;-
asuka;Asuka & Asuka (World);1988;Taito Corporation;NO;-;-
asurabld;Asura Blade - Sword of Dynasty (Japan);1998;Fuuki;NO;-;-
asurabus;Asura Buster - Eternal Warriors (USA);2000;Fuuki;NO;-;-
atehate;Athena no Hatena ?;1993;Athena;NO;-;-
atetris;Tetris (set 1);1988;Atari Games;NO;-;-
athena;Athena;1986;SNK;NO;-;-
atlantis;Battle of Atlantis (set 1);1981;Comsoft;NO;-;-
atomicp;Atomic Point (Korea);1990;Philco;NO;-;-
aurail;Aurail (set 3, US, unprotected);1990;Sega / Westone;NO;-;-
avengers;Avengers (US, revision C);1987;Capcom;NO;-;-
avengrgs;Avengers In Galactic Storm (US);1995;Data East Corporation;NO;-;-
avsp;Alien vs Predator (940520 Euro);1994;Capcom;NO;-;-
avspirit;Avenging Spirit;1991;Jaleco;NO;-;-
aztarac;Aztarac;1983;Centuri;NO;-;-
azurian;Azurian Attack;1982;Rait Electronics Ltd;NO;-;-
b2b;Bang Bang Busters (2010 NCI release);2000;Visco;NO;neogeo;-
bace;Balloon Ace;2003;David Widel;NO;-;-
backfire;Backfire! (set 1);1995;Data East Corporation;NO;-;-
baddudes;Bad Dudes vs. Dragonninja (US);1988;Data East USA;NO;-;-
badlands;Bad Lands;1989;Atari Games;NO;-;-
bagman;Bagman;1982;Valadon Automation;NO;-;-
bakatono;Bakatonosama Mahjong Manyuuki (MOM-002)(MOH-002);1991;Monolith Corp.;NO;neogeo;-
bakutotu;Bakutotsu Kijuutei;1988;Namco;NO;-;-
balcube;Bal Cube;1996;Metro;NO;-;-
ballbros;Balloon Brothers;1992;East Technology;NO;-;-
baluba;Baluba-louk no Densetsu (Japan);1986;Able Corp, Ltd.;NO;-;-
banbam;BanBam;1984;Sun Electronics;NO;-;-
bang;Bang!;1998;Gaelco;NO;-;-
bangball;Bang Bang Ball (v1.05);1996;Banpresto / Kunihiko Tashiro+Goodhouse;NO;-;-
bangbead;Bang Bead;2000;Visco;NO;neogeo;-
bankp;Bank Panic;1984;[Sanritsu] Sega;NO;-;-
baryon;Baryon - Future Assault (set 1);1997;SemiCom;NO;-;-
batcir;Battle Circuit (970319 Euro);1997;Capcom;NO;-;-
batman;Batman;1991;Atari Games;NO;-;-
batrider;Armed Police Batrider (Europe) (Fri Feb 13 1998);1998;Raizing / 8ing;NO;-;-
batsugun;Batsugun;1993;Toaplan;NO;-;-
battlane;Battle Lane! Vol. 5 (set 1);1986;Technos Japan (Taito license);NO;-;-
battlex;Battle Cross;1982;Omori Electric Co., Ltd.;NO;-;-
battlnts;Battlantis (program code G);1987;Konami;NO;-;-
battroad;The Battle-Road;1984;Irem;NO;-;tr606drumkit
bayroute;Bay Route (set 3, World, FD1094 317-0116);1989;Sunsoft / Sega;NO;-;-
bbakraid;Battle Bakraid - Unlimited Version (U.S.A.) (Tue Jun 8 1999);1999;Eighting;NO;-;-
bballs;Bouncing Balls;1991;Comad;NO;-;-
bbbxing;Best Bout Boxing (ver 1.3);1994;Jaleco;NO;-;-
bbmanw;Bomber Man World / New Dyna Blaster - Global Quest;1992;Irem;NO;-;-
bbusters;Beast Busters (World);1989;SNK;NO;-;-
bchopper;Battle Chopper (World);1987;Irem;NO;-;-
bcruzm12;Battle Cruiser M-12;1983;Sigma Enterprises Inc.;NO;-;-
bcstry;B.C. Story (set 1);1997;SemiCom;NO;-;-
benberob;Ben Bero Beh (Japan);1984;Taito;NO;-;-
berabohm;Chou Zetsurinjin Berabowman (Japan, Rev C);1988;Namco;NO;-;-
berlwall;The Berlin Wall;1991;Kaneko;NO;-;-
bermudat;Bermuda Triangle (World?);1987;SNK;NO;-;-
berzerk;Berzerk (revision RC31A);1980;Stern Electronics;NO;-;-
bestbest;Best Of Best;1994;SunA;NO;-;-
bestri;Bestri (Korea, set 1);1998;F2 System;NO;-;-
bgaregga;Battle Garegga (Europe / USA / Japan / Asia) (Sat Feb 3 1996);1996;Raizing / Eighting;NO;-;-
bigbucks;Big Bucks;1986;Dynasoft Inc.;NO;-;-
bigkarnk;Big Karnak (ver. 1.0, checksum 1e38c94);1991;Gaelco;NO;-;-
bigprowr;The Big Pro Wrestling!;1983;Technos Japan;NO;-;-
bigrun;Big Run (11th Rallye version);1989;Jaleco;NO;-;-
bigstrik;Big Striker;1992;Jaleco;NO;-;-
bigtwin;Big Twin;1995;Playmark;NO;-;-
bikkuric;Bikkuri Card (Japan);1987;Peni Soft;NO;-;-
bioatack;Bio Attack;1983;Taito Corporation (Fox Video Games license);NO;-;-
biomtoy;Biomechanical Toy (ver. 1.0.1885, checksum 69f5e032);1995;Gaelco / Zeus;NO;-;-
bionicc;Bionic Commando (Euro);1987;Capcom;NO;-;-
bioship;Bio-ship Paladin;1990;UPL (American Sammy license);NO;nmk004;-
birdiy;Birdiy;1982;Mama Top;NO;-;-
birdtry;Birdie Try (Japan revision 2, revision 1 MCU);1988;Data East Corporation;NO;-;-
bishi;Bishi Bashi Championship Mini Game Senshuken (ver JAA, 3 Players);1996;Konami;NO;-;-
bjourney;Blue's Journey / Raguy (ALM-001)(ALH-001);1990;Alpha Denshi Co.;NO;neogeo;-
bjtwin;Bombjack Twin (set 1);1993;NMK;NO;-;-
bkrtmaq;Bakuretsu Quiz Ma-Q Dai Bouken (Japan);1992;Namco;NO;namcoc69;-
blackt96;Black Touch '96;1996;D.G.R.M.;NO;-;-
bladestl;Blades of Steel (version T, Joystick);1987;Konami;NO;-;-
blandia;Blandia;1992;Allumer;NO;-;-
blasted;Blasted;1988;Bally Midway;NO;-;-
blaster;Blaster;1983;Williams / Vid Kidz;NO;-;-
blasto;Blasto;1978;Gremlin;NO;-;blockade
blastoff;Blast Off (Japan);1989;Namco;NO;-;-
blazeon;Blaze On (World);1992;A.I (Atlus license);NO;-;-
blazer;Blazer (Japan);1987;Namco;NO;-;-
blazstar;Blazing Star;1998;Yumekobo;NO;neogeo;-
blkheart;Black Heart;1991;UPL;NO;nmk004;-
blkhole;Black Hole;1981;TDS;NO;-;-
blkpnthr;Black Panther;1987;Konami;NO;-;-
