name;cloneof;description;is_clone;is_parent;manufacturer;romof;sampleof;year
99lstwarb;repulse;'99: The Last War (bootleg);NO;YES;bootleg;repulse;-;1985;
99lstwark;repulse;'99: The Last War (Kyugo);NO;YES;Crux / Kyugo;repulse;-;1985;
99lstwara;repulse;'99: The Last War (set 2);NO;YES;Crux / Proma;repulse;-;1985;
10yard85;10yard;10-Yard Fight '85 (US, Taito license);NO;YES;Irem (Taito license);10yard;-;1985;
10yardj;10yard;10-Yard Fight (Japan);NO;YES;Irem;10yard;-;1983;
10yard;-;10-Yard Fight (World, set 1);YES;NO;Irem;-;-;1983;
gtmro;gtmr;1000 Miglia: Great 1000 Miles Rally (94/05/10);NO;YES;Kaneko;gtmr;-;1994;
gtmrb;gtmr;1000 Miglia: Great 1000 Miles Rally (94/05/26);NO;YES;Kaneko;gtmr;-;1994;
gtmra;gtmr;1000 Miglia: Great 1000 Miles Rally (94/06/13);NO;YES;Kaneko;gtmr;-;1994;
cprogolf18;cprogolf;18 Challenge Pro Golf (DECO Cassette) (Japan);NO;YES;Data East Corporation;cprogolf;-;1982;
progolf;-;18 Holes Pro Golf (set 1);YES;NO;Data East Corporation;-;-;1981;
1941u;1941;1941 - Counter Attack (900227 USA);NO;YES;Capcom;1941;-;1990;
1941r1;1941;1941 - Counter Attack (World);NO;YES;Capcom;1941;-;1990;
1942c64;1942;1942 (C64 Music);NO;YES;hack by Minwah;1942;-;2015;
1942abl;1942;1942 (Revision A, bootleg);NO;YES;Capcom;1942;-;1984;
1942w;1942;1942 (Williams Electronics license);NO;YES;Capcom (Williams Electronics license);1942;-;1985;
1943bj;1943;1943: Midway Kaisen (bootleg);NO;YES;bootleg;1943;-;1987;
1943ja;1943;1943: Midway Kaisen (Japan);NO;YES;Capcom;1943;-;1987;
1943jah;1943;1943: Midway Kaisen (Japan, no protection hack);NO;YES;Capcom;1943;-;1987;
1943jaha;1943;1943: Midway Kaisen (Japan, no protection hack, alt);NO;YES;Capcom;1943;-;1987;
1943b;1943;1943: The Battle of Midway (bootleg set 1, hack of Japan set);NO;YES;bootleg;1943;-;1987;
1943b2;1943;1943: The Battle of Midway (bootleg set 2, hack of Japan set);NO;YES;bootleg;1943;-;1987;
1943ua;1943;1943: The Battle of Midway (US);NO;YES;Capcom;1943;-;1987;
1943u;1943;1943: The Battle of Midway (US, Rev C);NO;YES;Capcom;1943;-;1987;
1944d;1944;1944 - the loop master (000620 USA Phoenix Edition);NO;YES;bootleg;1944;-;2000;
1944ad;1944;1944 - the loop master (000620 USA Phoenix Edition, alt);NO;YES;bootleg;1944;-;2000;
1944u;1944;1944 - the loop master (000620 USA);NO;YES;Eighting / Raizing (Capcom license);1944;-;2000;
bgareggabl;bgaregga;1945 Part 2 (Chinese hack of Battle Garegga);NO;YES;bootleg;bgaregga;-;1996;
1945kiiin;1945kiii;1945k III (newer, OPCX1 PCB);NO;YES;Oriental Soft;1945kiii;-;2000;
1945kiiio;1945kiii;1945k III (older, OPCX1 PCB);NO;YES;Oriental Soft;1945kiii;-;1999;
19xxd;19xx;19XX - the war against destiny (951207 USA Phoenix Edition);NO;YES;bootleg;19xx;-;1995;
19yyo;19yy;19YY (Neo CD conversion, ADK World)(Original release);NO;YES;hack;19yy;-;2022;
19yy;-;19YY (Neo CD conversion, ADK World);YES;NO;hack;neogeo;-;2022;
openicea;openice;2 On 2 Open Ice Challenge (rev 1.2A);NO;YES;Midway;openice;-;1995;
2020bba;2020bb;2020 Super Baseball (set 2);NO;YES;SNK / Pallas;2020bb;-;1991;
3countba;3countb;3 Count Bout / Fire Suplex (NGM-043);NO;YES;SNK;3countb;-;1993;
3on3dunk;-;3 On 3 Dunk Madness (US, prototype? 1997/02/04);YES;NO;Video System Co.;-;-;1996;
3x3puzzl;-;3X3 Puzzle (Enterprise);YES;NO;Ace Enterprise;-;-;1998;
3x3puzzla;3x3puzzl;3X3 Puzzle (Normal);NO;YES;Ace Enterprise;3x3puzzl;-;1998;
4enrayaa;4enraya;4 En Raya (set 2);NO;YES;IDSA;4enraya;-;1990;
4play;-;4 player input test;YES;NO;SNK;neogeo;-;???;
64streetja;64street;64th. Street - A Detective Story (Japan, alt);NO;YES;Jaleco;64street;-;1991;
64streetj;64street;64th. Street - A Detective Story (Japan, set 1);NO;YES;Jaleco;64street;-;1991;
7ordi;-;7 Ordi (Korea);YES;NO;Yun Sung;-;-;2002;
800fatha;mariner;800 Fathoms (older);NO;YES;Amenip (US Billiards Inc. license);mariner;-;1981;
ablast;penbros;A-Blast (Japan);NO;YES;Subsino;penbros;-;2000;
abcopjd;abcop;A.B. Cop (Japan, FD1094 317-0169b decrypted);NO;YES;Sega;abcop;-;1990;
abcopj;abcop;A.B. Cop (Japan, FD1094 317-0169b);NO;YES;Sega;abcop;-;1990;
abcopd;abcop;A.B. Cop (World, FD1094 317-0169b decrypted);NO;YES;Sega;abcop;-;1990;
abcop;-;A.B. Cop (World, FD1094 317-0169b);YES;NO;Sega;-;-;1990;
ad2083;-;A.D. 2083;YES;NO;Midcoin;-;-;1983;
abscam;puckman;Abscam;NO;YES;GL (US Billiards License);puckman;-;1981;
aceattaca;aceattac;Ace Attacker (Japan, System 16A, FD1094 317-0060);NO;YES;Sega;aceattac;-;1986;
dogfgtu;dogfgt;Acrobatic Dog-Fight (USA);NO;YES;Technos Japan (Data East USA, Inc. license);dogfgt;-;1985;
actfancrj;actfancr;Act-Fancer Cybernetick Hyper Weapon (Japan revision 1);NO;YES;Data East Corporation;actfancr;-;1989;
