name;bios;description;is_parent;manufacturer;sample;year
10yard;-;10-Yard Fight (World, set 1);NO;Irem;-;1983;
20pacgal;-;Ms. Pac-Man/Galaga - 20th Anniversary Class of 1981 Reunion (V1.08);NO;Namco / Cosmodog;-;2000;
25pacman;-;Pac-Man - 25th Anniversary Edition (Rev 3.00);NO;Namco / Cosmodog;-;2006;
3on3dunk;-;3 On 3 Dunk Madness (US, prototype? 1997/02/04);NO;Video System Co.;-;1996;
3x3puzzl;-;3X3 Puzzle (Enterprise);NO;Ace Enterprise;-;1998;
7ordi;-;7 Ordi (Korea);NO;Yun Sung;-;2002;
aa;-;Alien Armada;NO;David Widel;-;2003;
abcop;-;A.B. Cop (World, FD1094 317-0169b);NO;Sega;-;1990;
ad2083;-;A.D. 2083;NO;Midcoin;-;1983;
agress;-;Agress;NO;Palco;-;1991;
airass;-;Air Assault (World);NO;Irem;-;1993;
akatana;-;Akai Katana (2010/ 8/13 MASTER VER.);NO;Cave;-;2010;
akkaarrh;-;Akka Arrh (prototype);NO;Atari;-;1982;
aliencha;-;Alien Challenge (World);NO;IGS;-;1994;
aliensec;-;Alien Sector;NO;Namco;-;1985;
alinvade;-;Alien Invaders;NO;Forbes?;-;198?;
alpha1v;-;Alpha One (Vision Electronics);NO;Vision Electronics;-;1988;
aoh;-;Age Of Heroes - Silkroad 2 (v0.63 - 2001/02/07);NO;Unico;-;2001;
arcadian;-;Arcadia (NMK);NO;NMK;-;1994;
armchmp2;-;Arm Champs II v2.7;NO;Jaleco;-;1992;
bace;-;Balloon Ace;NO;David Widel;-;2003;
banbam;-;BanBam;NO;Sun Electronics;-;1984;
bestbest;-;Best Of Best;NO;SunA;-;1994;
bestri;-;Bestri (Korea, set 1);NO;F2 System;-;1998;
bgaregga;-;Battle Garegga (Europe / USA / Japan / Asia) (Sat Feb 3 1996);NO;Raizing / Eighting;-;1996;
bikkuric;-;Bikkuri Card (Japan);NO;Peni Soft;-;1987;
birdiy;-;Birdiy;NO;Mama Top;-;1982;
blackt96;-;Black Touch '96;NO;D.G.R.M.;-;1996;
bnstars1;-;Vs. Janshi Brandnew Stars;NO;Jaleco;-;1997;
bongo;-;Bongo;NO;Jetsoft;-;1983;
boonggab;-;Boong-Ga Boong-Ga (Spank'em!);NO;Taff System;-;2001;
bubbletr;-;Bubble Trouble - Golly! Ghost! 2 (World, Rev B);NO;Namco;-;1992;
bublbust;-;Bubble Buster (USA, B-System);NO;Taito America Corporation;-;1994;
bubsys;-;Bubble System BIOS;NO;Konami;-;1985;
buccanrs;-;Buccaneers (set 1);NO;Duintronic;-;1989;
bullet;-;Bullet (FD1094 317-0041);NO;Sega;-;1987;
bygone;-;Bygone;NO;Taito Corporation;-;1985;
candy;-;Candy Candy;NO;Eolith;-;1999;
cannonbp;-;Cannon Ball (Pacman Hardware);NO;Novomatic;-;1985;
canvas;-;Canvas Croquis;NO;SNK;-;1985;
carket;-;Carket Ball;NO;SemiCom;-;1996;
casanova;-;Casanova;NO;Promat;-;199?;
cashquiz;-;Cash Quiz (Type B, Version 5);NO;Zilec-Zenitone;-;1986;
catacomb;-;Catacomb;NO;MTM Games;-;1982;
