name;description;year;manufacturer;is_parent;romof;is_clone;cloneof;sampleof
puckman;PuckMan (Japan set 1);1980;Namco;NO;-;YES;-;-;
puckmana;PuckMan (Japan set 2);1980;Namco;YES;puckman;NO;puckman;-;
pacman;Pac-Man (Midway);1980;[Namco] (Midway license);YES;puckman;NO;puckman;-;
pacmanf;Pac-Man (speedup hack);1980;hack;YES;puckman;NO;puckman;-;
puckmod;PuckMan (harder[Q]);1981;Namco;YES;puckman;NO;puckman;-;
pacmod;Pac-Man (Midway, harder);1981;[Namco] (Midway license);YES;puckman;NO;puckman;-;
hangly;Hangly-Man (set 1);1981;hack;YES;puckman;NO;puckman;-;
hangly2;Hangly-Man (set 2);1981;hack;YES;puckman;NO;puckman;-;
hangly3;Hangly-Man (set 3);1981;hack;YES;puckman;NO;puckman;-;
newpuckx;New Puck-X;1980;hack;YES;puckman;NO;puckman;-;
pacheart;Pac-Man (Hearts);1981;hack;YES;puckman;NO;puckman;-;
joyman;Joyman;1982;hack;YES;puckman;NO;puckman;-;
newpuc2;Newpuc2;1980;hack;YES;puckman;NO;puckman;-;
newpuc2b;Newpuc2 (set 2);1980;hack;YES;puckman;NO;puckman;-;
piranha;Piranha;1981;GL (US Billiards License);YES;puckman;NO;puckman;-;
piranhao;Piranha (older);1981;GL (US Billiards License);YES;puckman;NO;puckman;-;
piranhah;Piranha (hack);1981;hack;YES;puckman;NO;puckman;-;
nmouse;Naughty Mouse (set 1);1981;Amenip (Palcom Queen River);NO;-;YES;-;-;
nmouseb;Naughty Mouse (set 2);1981;Amenip Nova Games Ltd.;YES;nmouse;NO;nmouse;-;
pacplus;Pac-Man Plus;1982;[Namco] (Midway license);NO;-;YES;-;-;
mspacman;Ms. Pac-Man;1981;Midway;NO;-;YES;-;-;
mspacmnf;Ms. Pac-Man (speedup hack);1981;hack;YES;mspacman;NO;mspacman;-;
mspacmab;Ms. Pac-Man (bootleg);1981;bootleg;YES;mspacman;NO;mspacman;-;
mspacmat;Ms. Pac Attack;1981;hack;YES;mspacman;NO;mspacman;-;
mspacpls;Ms. Pac-Man Plus;1981;hack;YES;mspacman;NO;mspacman;-;
pacgal;Pac-Gal;1981;hack;YES;mspacman;NO;mspacman;-;
mschamp;Ms. Pacman Champion Edition - Super Zola Pac Gal;1995;hack;YES;mspacman;NO;mspacman;-;
mspactwin;Ms. Pac-Man Twin (Argentina);1992;SUSILU;NO;-;YES;-;-;
maketrax;Make Trax (set 1);1981;[Kural] (Williams license);YES;crush;NO;crush;-;
maketrxb;Make Trax (set 2);1981;[Kural] (Williams license);YES;crush;NO;crush;-;
korosuke;Korosuke Roller;1981;Kural Electric;YES;crush;NO;crush;-;
crush;Crush Roller (Kural Samno);1981;Kural Samno Electric;NO;-;YES;-;-;
crush2;Crush Roller (Kural Esco - bootleg[Q]);1981;Kural Esco Electric;YES;crush;NO;crush;-;
crush3;Crush Roller (Kural - bootleg[Q]);1981;Kural Electric;YES;crush;NO;crush;-;
mbrush;Magic Brush;1981;bootleg;YES;crush;NO;crush;-;
paintrlr;Paint Roller;1981;bootleg;YES;crush;NO;crush;-;
eyes;Eyes (Digitrex Techstar);1982;Digitrex Techstar (Rock-ola license);NO;-;YES;-;-;
eyes2;Eyes (Techstar);1982;Techstar (Rock-ola license);YES;eyes;NO;eyes;-;
mrtnt;Mr. TNT;1983;Telko;NO;-;YES;-;-;
gorkans;Gorkans;1983;Techstar;YES;mrtnt;NO;mrtnt;-;
eggor;Eggor;1983;Telko;NO;-;YES;-;-;
ponpoko;Ponpoko;1982;Sigma Enterprises Inc.;NO;-;YES;-;-;
ponpokov;Ponpoko (Venture Line);1982;Sigma Enterprises Inc. (Venture Line license);YES;ponpoko;NO;ponpoko;-;
lizwiz;Lizard Wizard;1985;Techstar (Sunn license);NO;-;YES;-;-;
theglobp;The Glob (Pac-Man hardware);1983;Epos Corporation;YES;suprglob;NO;suprglob;-;
beastf;Beastie Feastie;1984;Epos Corporation;YES;suprglob;NO;suprglob;-;
acitya;Atlantic City Action;1983;Epos Corporation;YES;bwcasino;NO;bwcasino;-;
bwcasino;Boardwalk Casino;1983;Epos Corporation;NO;-;YES;-;-;
dremshpr;Dream Shopper;1982;Sanritsu;NO;-;YES;-;-;
vanvan;Van-Van Car;1983;Sanritsu;NO;-;YES;-;-;
vanvank;Van-Van Car (Karateco);1983;Karateco;YES;vanvan;NO;vanvan;-;
alibaba;Ali Baba and 40 Thieves;1982;Sega;NO;-;YES;-;-;
alibabab;Mustafa and 40 Thieves (bootleg);1982;bootleg;YES;alibaba;NO;alibaba;-;
pengo;Pengo (set 1 rev c);1982;Sega;NO;-;YES;-;-;
pengo2;Pengo (set 2);1982;Sega;YES;pengo;NO;pengo;-;
pengo2u;Pengo (set 2 not encrypted);1982;Sega;YES;pengo;NO;pengo;-;
pengo3u;Pengo (set 3 not encrypted);1982;Sega;YES;pengo;NO;pengo;-;
pengob;Pengo (bootleg);1982;bootleg;YES;pengo;NO;pengo;-;
penta;Penta;1982;bootleg;YES;pengo;NO;pengo;-;
jrpacman;Jr. Pac-Man;1983;Bally Midway;NO;-;YES;-;-;
jrpacmnf;Jr. Pac-Man (speedup hack);1983;hack;YES;jrpacman;NO;jrpacman;-;
jumpshot;Jump Shot;1985;Bally Midway;NO;-;YES;-;-;
shootbul;Shoot the Bull;1985;Bally Midway;NO;-;YES;-;-;
bigbucks;Big Bucks;1986;Dynasoft Inc.;NO;-;YES;-;-;
drivfrcp;Driving Force (Pac-Man conversion);1984;Shinkai Inc. (Magic Eletronics Inc. licence);NO;-;YES;-;-;
8bpm;Eight Ball Action (Pac-Man conversion);1985;Seatongrove Ltd (Magic Eletronics USA licence);YES;8ballact;NO;8ballact;-;
porky;Porky;1985;Shinkai Inc. (Magic Eletronics Inc. licence);NO;-;YES;-;-;
megadon;Megadon;1982;Epos Corporation (Photar Industries license);NO;-;YES;-;-;
catapult;Catapult;1982;Epos Corporation;NO;-;YES;-;-;
eeekk;Eeekk!;1983;Epos Corporation;NO;-;YES;-;-;
suprglob;Super Glob;1983;Epos Corporation;NO;-;YES;-;-;
theglob;The Glob;1983;Epos Corporation;YES;suprglob;NO;suprglob;-;
theglob2;The Glob (earlier);1983;Epos Corporation;YES;suprglob;NO;suprglob;-;
theglob3;The Glob (set 3);1983;Epos Corporation;YES;suprglob;NO;suprglob;-;
igmo;IGMO;1984;Epos Corporation;NO;-;YES;-;-;
dealer;The Dealer;19??;Epos Corporation;NO;-;YES;-;-;
galaxian;Galaxian (Namco set 1);1979;Namco;NO;-;YES;-;-;
galaxiaj;Galaxian (Namco set 2);1979;Namco;YES;galaxian;NO;galaxian;-;
galmidw;Galaxian (Midway);1979;[Namco] (Midway license);YES;galaxian;NO;galaxian;-;
galmidwo;Galaxian (Midway, old rev);1979;[Namco] (Midway license);YES;galaxian;NO;galaxian;-;
