name;cloneof;description;is_clone;is_parent;manufacturer;romof;sampleof;year
puckmana;puckman;PuckMan (Japan set 2);NO;YES;Namco;puckman;-;1980;
beastf;suprglob;Beastie Feastie;NO;YES;Epos Corporation;suprglob;-;1984;
jrpacmnf;jrpacman;Jr. Pac-Man (speedup hack);NO;YES;hack;jrpacman;-;1983;
shootbul;-;Shoot the Bull;YES;NO;Bally Midway;-;-;1985;
catapult;-;Catapult;YES;NO;Epos Corporation;-;-;1982;
galaxiaj;galaxian;Galaxian (Namco set 2);NO;YES;Namco;galaxian;-;1979;
galmidw;galaxian;Galaxian (Midway);NO;YES;[Namco] (Midway license);galaxian;-;1979;
galmidwo;galaxian;Galaxian (Midway, old rev);NO;YES;[Namco] (Midway license);galaxian;-;1979;
gteikokb;uniwars;Gingateikoku No Gyakushu (bootleg set 1);NO;YES;bootleg;uniwars;-;1980;
gteikob2;uniwars;Gingateikoku No Gyakushu (bootleg set 2);NO;YES;bootleg;uniwars;-;1980;
devilfsg;devilfsh;Devil Fish (Galaxian hardware, bootleg[Q]);NO;YES;Vision / Artic;devilfsh;-;1984;
zigzag;-;Zig Zag (Galaxian hardware, set 1);YES;NO;LAX;-;-;1982;
zigzag2;zigzag;Zig Zag (Galaxian hardware, set 2);NO;YES;LAX;zigzag;-;1982;
mooncrsu;mooncrst;Moon Cresta (Nichibutsu, unencrypted);NO;YES;Nichibutsu USA;mooncrst;-;1980;
mooncrsa;mooncrst;Moon Cresta (Nichibutsu, old rev);NO;YES;Nichibutsu;mooncrst;-;1980;
mooncrsg;mooncrst;Moon Cresta (Gremlin);NO;YES;Gremlin;mooncrst;-;1980;
mshuttlj;mshuttle;Moon Shuttle (Japan);NO;YES;Nichibutsu;mshuttle;-;1981;
checkmaj;checkman;Check Man (Japan);NO;YES;Jaleco;checkman;-;1982;
kingbalj;kingball;King and Balloon (Japan);NO;YES;Namco;kingball;-;1980;
scorpnmc;-;Scorpion (Moon Cresta hardware);YES;NO;Dorneer;-;-;19??;
bagmanmc;bagman;Bagman (Moon Cresta hardware);NO;YES;bootleg;bagman;-;1982;
scrambls;scramble;Scramble (Stern);NO;YES;[Konami] (Stern license);scramble;-;1981;
atlants2;atlantis;Battle of Atlantis (set 2);NO;YES;Comsoft;atlantis;-;1981;
mrkougr2;mrkougar;Mr. Kougar (earlier);NO;YES;ATW;mrkougar;-;1983;
armorca2;armorcar;Armored Car (set 2);NO;YES;Stern;armorcar;-;1981;
losttmbh;losttomb;Lost Tomb (hard);NO;YES;Stern;losttomb;-;1982;
frogseg1;frogger;Frogger (Sega set 1);NO;YES;[Konami] (Sega license);frogger;-;1981;
frogseg2;frogger;Frogger (Sega set 2);NO;YES;[Konami] (Sega license);frogger;-;1981;
froggrmc;frogger;Frogger (Moon Cresta hardware);NO;YES;bootleg?;frogger;-;1981;
cclimbrj;cclimber;Crazy Climber (Japan);NO;YES;Nichibutsu;cclimber;-;1980;
ccboot;cclimber;Crazy Climber (bootleg set 1);NO;YES;bootleg;cclimber;-;1980;
ccboot2;cclimber;Crazy Climber (bootleg set 2);NO;YES;bootleg;cclimber;-;1980;
ckonga;ckong;Crazy Kong (set 2);NO;YES;Falcon;ckong;-;1981;
ckongjeu;ckong;Crazy Kong (Jeutel bootleg);NO;YES;bootleg;ckong;-;1981;
ckongo;ckong;Crazy Kong (Orca bootleg);NO;YES;bootleg;ckong;-;1981;
ckongalc;ckong;Crazy Kong (Alca bootleg);NO;YES;bootleg;ckong;-;1981;
monkeyd;ckong;Monkey Donkey;NO;YES;bootleg;ckong;-;1981;
swimmera;swimmer;Swimmer (set 2);NO;YES;Tehkan;swimmer;-;1982;
swimmerb;swimmer;Swimmer (set 3);NO;YES;Tehkan;swimmer;-;1982;
cannonb;-;Cannon Ball (Crazy Climber hardware);YES;NO;Soft;-;-;1985;
gomoku;-;Gomoku Narabe Renju;YES;NO;Nichibutsu;-;-;1981;
terracrb;terracre;Terra Cresta (YM3526 set 2);NO;YES;Nichibutsu;terracre;-;1985;
terracra;terracre;Terra Cresta (YM2203);NO;YES;Nichibutsu;terracre;-;1985;
dangar2;dangar;Dangar - Ufo Robo (9-26-1986);NO;YES;Nichibutsu;dangar;-;1986;
legiono;legion;Chouji Meikyuu Legion (Japan bootleg ver 1.05);NO;YES;Nichibutsu;legion;-;1987;
kodure;-;Kodure Ookami (Japan);YES;NO;Nichibutsu;-;-;1987;
hyhoo;-;Taisen Quiz HYHOO (Japan);YES;NO;Nichibutsu;-;-;1987;
hyhoo2;-;Taisen Quiz HYHOO 2 (Japan);YES;NO;Nichibutsu;-;-;1987;
pastelgl;-;Pastel Gal (Japan 851224);YES;NO;Nichibutsu;-;-;1985;
crystalg;-;Crystal Gal (Japan 860512);YES;NO;Nichibutsu;-;-;1986;
crystal2;-;Crystal Gal 2 (Japan 860620);YES;NO;Nichibutsu;-;-;1986;
citylove;-;City Love (Japan 860908);YES;NO;Nichibutsu;-;-;1986;
apparel;-;Apparel Night (Japan 860929);YES;NO;Central Denshi;-;-;1986;
secolove;-;Second Love (Japan 861201);YES;NO;Nichibutsu;-;-;1986;
housemnq;-;House Mannequin (Japan 870217);YES;NO;Nichibutsu;-;-;1987;
housemn2;-;House Mannequin Roppongi Live hen (Japan 870418);YES;NO;Nichibutsu;-;-;1987;
seiha;-;Seiha (Japan 870725);YES;NO;Nichibutsu;-;-;1987;
seiham;seiha;Seiha [BET] (Japan 870723);NO;YES;Nichibutsu;seiha;-;1987;
bijokkoy;-;Bijokko Yume Monogatari (Japan 870925);YES;NO;Nichibutsu;-;-;1987;
iemoto;-;Iemoto (Japan 871020);YES;NO;Nichibutsu;-;-;1987;
ojousan;-;Ojousan (Japan 871204);YES;NO;Nichibutsu;-;-;1987;
bijokkog;-;Bijokko Gakuen (Japan 880116);YES;NO;Nichibutsu;-;-;1988;
orangec;-;Orange Club - Maruhi Kagai Jugyou (Japan 880213);YES;NO;Daiichi Denshi;-;-;1988;
vipclub;orangec;Vip Club [BET] (Japan 880310);NO;YES;Daiichi Denshi;orangec;-;1988;
korinai;-;Mahjong-zukino Korinai Menmen (Japan 880425);YES;NO;Nichibutsu;-;-;1988;
kaguya;-;Mahjong Kaguyahime [BET] (Japan 880521);YES;NO;MIKI SYOUJI;-;-;1988;
otonano;-;Otona no Mahjong (Japan 880628);YES;NO;Apple;-;-;1988;
kanatuen;-;Kanatsuen no Onna [BET] (Japan 880905);YES;NO;Panac;-;-;1988;
mjsikaku;-;Mahjong Shikaku (Japan 880908);YES;NO;Nichibutsu;-;-;1988;
mjsikakb;mjsikaku;Mahjong Shikaku (Japan 880722);NO;YES;Nichibutsu;mjsikaku;-;1988;
mjcamera;-;Mahjong Camera Kozou (Japan 881109);YES;NO;MIKI SYOUJI;-;-;1988;
mmcamera;mjcamera;Mahjong Camera Kozou [BET] (Japan 890509);NO;YES;Miki Syouji;mjcamera;-;1989;
