name;cloneof;description;is_clone;is_parent;manufacturer;romof;sampleof;year
005;-;005;YES;NO;Sega;-;-;1981;
720;-;720 Degrees (rev 4);YES;NO;Atari Games;-;-;1986;
280zzzap;-;Datsun 280 Zzzap;YES;NO;Midway;-;-;1976;
40love;-;Forty-Love;YES;NO;Taito Corporation;-;-;1984;
47pie2;-;Idol Janshi Su-Chi-Pie 2 (v1.1);YES;NO;Jaleco;-;-;1994;
7jigen;-;7jigen no Youseitachi - Mahjong 7 Dimensions (Japan);YES;NO;Dynax;-;-;1990;
8ball;-;Video Eight Ball;YES;NO;Century Electronics;cvs;-;1982;
aafb;-;All American Football (rev E);YES;NO;Leland Corp.;-;-;1989;
abaseb;-;Atari Baseball (set 1);YES;NO;Atari;-;-;1979;
ace;-;Ace;YES;NO;Allied Leisure;-;-;1976;
acedrvrw;-;Ace Driver (Rev. AD2, World);YES;NO;Namco;-;-;1994;
acpsx;-;Acclaim PSX;YES;NO;Acclaim;-;-;1996;
ainferno;-;Air Inferno (US);YES;NO;Taito America Corporation;-;-;1990;
airco22b;-;Air Combat 22 (Rev. ACS1 Ver.B);YES;NO;Namco;-;-;1995;
aircombj;-;Air Combat (Japan);YES;NO;Namco;-;-;1992;
alleymas;-;Alley Master;YES;NO;Cinematronics;-;-;1986;
alphaho;-;Alpha Fighter - Head On;YES;NO;Data East Corporation;-;invinco;19??;
alpinerd;-;Alpine Racer (Rev. AR2 Ver.D);YES;NO;Namco;-;-;1995;
amerdart;-;AmeriDarts;YES;NO;Ameri;-;-;1989;
andromed;-;Andromeda (Japan[Q]);YES;NO;Irem;-;-;1979;
apb;-;APB - All Points Bulletin (rev 7);YES;NO;Atari Games;-;-;1987;
apparel;-;Apparel Night (Japan 860929);YES;NO;Central Denshi;-;-;1986;
aquarush;-;Aqua Rush (AQ1-VER.A);YES;NO;Namco;-;-;1999;
area51;-;Area 51;YES;NO;Atari Games;-;-;1995;
area51mx;-;Area 51 - Maximum Force Duo v2.0;YES;NO;Atari Games;-;-;1998;
arlingtn;-;Arlington Horse Racing (v1.21-D);YES;NO;Strata/Incredible Technologies;-;-;1991;
armora;-;Armor Attack;YES;NO;Cinematronics;-;-;1980;
astinvad;-;Astro Invader;YES;NO;Stern;-;invaders;1980;
astrass;-;Astra SuperStars;YES;NO;Sunsoft;stvbios;-;1998;
astrob;-;Astro Blaster (version 3);YES;NO;Sega;-;-;1981;
astrof;-;Astro Fighter (set 1);YES;NO;Data East;-;-;1979;
astropal;-;Astropal;YES;NO;Sidam;-;invaders;1980;
asylum;-;Asylum (prototype);YES;NO;Leland Corp.;-;-;1991;
atarifb;-;Atari Football (revision 2);YES;NO;Atari;-;-;1978;
ataxx;-;Ataxx (set 1);YES;NO;Leland Corp.;-;-;1990;
av2mj1bb;-;AV2Mahjong No.1 Bay Bridge no Seijo (Japan);YES;NO;MIKI SYOUJI/AV JAPAN;-;-;1991;
av2mj2rg;-;AV2Mahjong No.2 Rouge no Kaori (Japan);YES;NO;MIKI SYOUJI/AV JAPAN;-;-;1991;
avalnche;-;Avalanche;YES;NO;Atari;-;-;1978;
bakubaku;-;Baku Baku Animal;YES;NO;Sega;stvbios;-;1996;
ballbomb;-;Balloon Bomber;YES;NO;Taito;-;invaders;1980;
balonfgt;-;Vs. Balloon Fight;YES;NO;Nintendo;-;-;1984;
bananadr;-;Mahjong Banana Dream [BET] (Japan 891124);YES;NO;Digital Soft;-;-;1989;
barricad;-;Barricade;YES;NO;RamTek;-;-;1976;
barrier;-;Barrier;YES;NO;Vectorbeam;-;-;1979;
basebal2;-;Baseball The Season II;YES;NO;Cinematronics;-;-;1987;
batmanfr;-;Batman Forever;YES;NO;Acclaim;stvbios;-;1996;
battlcry;-;Battlecry;YES;NO;Home Data;-;-;1991;
battleg;-;Battle Garegga - Type 2 (Denmark - China) (Tue Apr 2 1996);YES;NO;Raizing / Eighting;-;-;1996;
battlera;-;Battle Rangers (World);YES;NO;Data East Corporation;-;-;1988;
bbonk;-;Bigfoot Bonkers;YES;NO;Meadows Games, Inc.;-;-;1976;
bbprot;-;Untitled Fighter 'BB' (prototype);YES;NO;<unknown>;-;-;199?;
beaminv;-;Beam Invader;YES;NO;Tekunon Kougyou;-;-;19??;
beastrzr;-;Beastorizer;YES;NO;Eighting/Raizing;psarc95;-;1997;
beathead;-;BeatHead (prototype);YES;NO;Atari Games;-;-;1993;
beezer;-;Beezer (set 1);YES;NO;Tong Electronic;-;-;1982;
bigevglf;-;Big Event Golf;YES;NO;Taito America Corporation;-;-;1986;
bijokkog;-;Bijokko Gakuen (Japan 880116);YES;NO;Nichibutsu;-;-;1988;
bijokkoy;-;Bijokko Yume Monogatari (Japan 870925);YES;NO;Nichibutsu;-;-;1987;
biofreak;-;BioFreaks (prototype);YES;NO;Midway Games;-;-;1997;
bking;-;Birdie King;YES;NO;Taito Corporation;-;-;1982;
bking2;-;Birdie King 2;YES;NO;Taito Corporation;-;-;1983;
bking3;-;Birdie King 3;YES;NO;Taito Corporation;-;-;1984;
blitz;-;NFL Blitz;YES;NO;Midway Games;-;-;1997;
blitz2k;-;NFL Blitz 2000;YES;NO;Midway Games;-;-;1999;
blitz99;-;NFL Blitz '99;YES;NO;Midway Games;-;-;1998;
blueshrk;-;Blue Shark;YES;NO;Midway;-;-;1978;
bm1stmix;-;beatmania (ver JA-B);YES;NO;Konami;-;-;1997;
bm2ndmix;-;beatmania 2nd MIX (ver JA-B);YES;NO;Konami;-;-;1998;
bm4thmix;-;beatmania 4th MIX (ver JA-A);YES;NO;Konami;-;-;1999;
bmcompmx;-;beatmania complete MIX (ver JA-B);YES;NO;Konami;-;-;1999;
