name;description;year;manufacturer;is_parent;romof;is_clone;cloneof;sampleof
005;005;1981;Sega;NO;-;YES;-;-
720;720 Degrees (rev 4);1986;Atari Games;NO;-;YES;-;-
1941;1941 - Counter Attack (World);1990;Capcom;NO;-;YES;-;-
1942;1942 (set 1);1984;Capcom;NO;-;YES;-;-
1943;1943 - The Battle of Midway (US);1987;Capcom;NO;-;YES;-;-
1944;1944: The Loop Master (USA 000620);2000;Capcom, supported by Eighting/Raizing;NO;-;YES;-;-
1943kai;1943 Kai - Midway Kaisen;1987;Capcom;NO;-;YES;-;-
1943mii;1943 - The Battle of Midway Mark II (US);1987;Capcom;NO;-;YES;-;-
1945kiii;1945k III;2000;Oriental;NO;-;YES;-;-
19xx;19XX: The War Against Destiny (Euro 960104);1996;Capcom;NO;-;YES;-;-
2020bb;2020 Super Baseball (set 1);1991;SNK / Pallas;NO;neogeo;YES;-;-
280zzzap;Datsun 280 Zzzap;1976;Midway;NO;-;YES;-;-
3countb;3 Count Bout / Fire Suplex (NGM-043 ~ NGH-043);1993;SNK;NO;neogeo;YES;-;-
3in1semi;New HyperMan (3-in-1 with Cookie & Bibi & HyperMan);1998;SemiCom / XESS;NO;-;YES;-;-
3kokushi;Sankokushi (Japan);1996;Mitchell;NO;-;YES;-;-
3stooges;The Three Stooges In Brides Is Brides;1984;Mylstar;NO;-;YES;-;-
3wonders;Three Wonders (World 910520);1991;Capcom;NO;-;YES;-;-
40love;Forty-Love;1984;Taito Corporation;NO;-;YES;-;-
47pie2;Idol Janshi Su-Chi-Pie 2 (v1.1);1994;Jaleco;NO;-;YES;-;-
4dwarrio;4-D Warriors;1985;Coreland / Sega;NO;-;YES;-;-
4enraya;4 En Raya;1990;IDSA;NO;-;YES;-;-
4in1;4 Fun in 1;1981;Armenia / Food and Fun;NO;-;YES;-;-
4in1boot;Puzzle King (PacMan 2 with Tetris & HyperMan 2 & Snow Bros;1999;K1 Soft;NO;-;YES;-;-
64street;64th. Street - A Detective Story (World);1991;Jaleco;NO;-;YES;-;-
7jigen;7jigen no Youseitachi - Mahjong 7 Dimensions (Japan);1990;Dynax;NO;-;YES;-;-
88games;'88 Games;1988;Konami;NO;-;YES;-;-
8ball;Video Eight Ball;1982;Century Electronics;NO;cvs;YES;-;-
8ballact;Eight Ball Action (DK conversion);1984;Seatongrove Ltd (Magic Eletronics USA licence);NO;-;YES;-;-
aafb;All American Football (rev E);1989;Leland Corp.;NO;-;YES;-;-
abaseb;Atari Baseball (set 1);1979;Atari;NO;-;YES;-;-
aburner2;After Burner II;1987;Sega;NO;-;YES;-;-
ace;Ace;1976;Allied Leisure;NO;-;YES;-;-
aceattac;Ace Attacker;19??;Sega;NO;-;YES;-;-
acedrvrw;Ace Driver (Rev. AD2, World);1994;Namco;NO;-;YES;-;-
acpsx;Acclaim PSX;1996;Acclaim;NO;-;YES;-;-
acrobatm;Acrobat Mission;1991;UPL (Taito license);NO;-;YES;-;-
actfancr;Act-Fancer Cybernetick Hyper Weapon (World revision 2);1989;Data East Corporation;NO;-;YES;-;-
actionhw;Action Hollywood;1995;TCH;NO;-;YES;-;-
aerofgt;Aero Fighters;1992;Video System Co.;NO;-;YES;-;-
afighter;Action Fighter (FD1089A 317-0018);1986;Sega;NO;-;YES;-;-
agallet;Air Gallet;1996;Banpresto / Gazelle;NO;-;YES;-;-
ainferno;Air Inferno (US);1990;Taito America Corporation;NO;-;YES;-;-
airattck;Air Attack (set 1);1996;Comad;NO;-;YES;-;-
airbustr;Air Buster;1990;Kaneko (Namco license);NO;-;YES;-;-
airco22b;Air Combat 22 (Rev. ACS1 Ver.B);1995;Namco;NO;-;YES;-;-
aircombj;Air Combat (Japan);1992;Namco;NO;-;YES;-;-
airduel;Air Duel (Japan);1990;Irem;NO;-;YES;-;-
airwolf;Airwolf;1987;Kyugo;NO;-;YES;-;-
ajax;Ajax;1987;Konami;NO;-;YES;-;-
akiss;Mahjong Angel Kiss;1995;Jaleco;NO;-;YES;-;-
alexkidd;Alex Kidd: The Lost Stars (set 1);1986;Sega;NO;-;YES;-;-
alibaba;Ali Baba and 40 Thieves;1982;Sega;NO;-;YES;-;-
alien3;Alien3: The Gun;1993;Sega;NO;-;YES;-;-
alienar;Alien Arena;1985;Duncan Brown;NO;-;YES;-;-
alienaru;Alien Arena (Stargate upgrade);1985;Duncan Brown;NO;-;YES;-;-
aliens;Aliens (World set 1);1990;Konami;NO;-;YES;-;-
aliensyn;Alien Syndrome (set 1);1987;Sega;NO;-;YES;-;-
aligator;Alligator Hunt;1994;Gaelco;NO;-;YES;-;-
alleymas;Alley Master;1986;Cinematronics;NO;-;YES;-;-
alphaho;Alpha Fighter - Head On;19??;Data East Corporation;NO;-;YES;-;invinco
alpham2;Alpha Mission II / ASO II - Last Guardian;1991;SNK;NO;neogeo;YES;-;-
alpine;Alpine Ski (set 1);1982;Taito Corporation;NO;-;YES;-;-
alpinerd;Alpine Racer (Rev. AR2 Ver.D);1995;Namco;NO;-;YES;-;-
altbeast;Altered Beast (Version 1);1988;Sega;NO;-;YES;-;-
amazon;Soldier Girl Amazon;1986;Nichibutsu;NO;-;YES;-;-
ambush;Ambush;1983;Nippon Amuse Co-Ltd;NO;-;YES;-;-
amerdart;AmeriDarts;1989;Ameri;NO;-;YES;-;-
amidar;Amidar;1981;Konami;NO;-;YES;-;-
amspdwy;American Speedway (set 1);1987;Enerdyne Technologies, Inc.;NO;-;YES;-;-
androdun;Andro Dunos;1992;Visco;NO;neogeo;YES;-;-
