name;description;year;manufacturer;is_parent;romof;is_clone;cloneof;sasampleof;is_runnable;is_device;is_bios;biosof;is_mechanical;is_arcade;use_chds;savestate;source_file;first_emulator;first_emulator_date;last_emulator;last_emulator_date;players;buttons;coins;sound_channels;screens;display_type;display_rotate;screen_orientation;display_width;display_height;display_refresh;input_controls;monitor_type;chips_cpu;chips_cpu_details;chips_audio;chips_audio_details;driver_status;driver_emulation;driver_color;driver_sound;driver_graphic;driver_cocktail;driver_protection;dump_status;device_types;category;genre;serie;language;colors;has_device_refs;has_roms;has_disks;has_dip_switches;has_bios_sets;has_configs;has_ports;has_devices;has_slots;has_adjusters;has_soft_lists;has_ram_opts;has_cheats;nplayers;url_playonline;url_shortplays;url_shortplay_ms;game_rate;mature;on_top_score;on_bacheca_record;on_arcaworld;lang2;ranking;bestgame;alltime;cabinets
area51a;Area 51 (Atari Games license, Oct 25, 1995);1995;Atari Games;NO;area51;YES;area51;-;YES;NO;NO;-;NO;YES;YES;NO;jaguar.cpp;Mame 0.79u2;21/02/2004;Mame 0.195;28/02/2018;0;1;4;2;1;RASTER;0;HORIZONTAL;360;240;59.922743;lightgun;CRT 15kHz;M68EC020,Jaguar GPU,Jaguar DSP;maincpu M68EC020 @25 MHz, gpu Jaguar GPU @26 MHz, dsp Jaguar DSP @26 MHz;Speaker,16-Bit R-2R Twos Complement DAC;lspeaker Speaker, rspeaker Speaker, ldac 16-Bit R-2R Twos Complement DAC, rdac 16-Bit R-2R Twos Complement DAC;GOOD;GOOD;GOOD;GOOD;GOOD;UNKNOWN;GOOD;GOOD;harddisk;Shooter / Gun;Shooter;Area 51;English;-;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;2P sim;-;https://www.youtube.com/watch?v=JhfsRQZeKg4;-;0;NO;NO;NO;NO;English;-;-;English;NO
area51;Area 51 (R3000);1996;Atari Games;YES;-;NO;-;-;YES;NO;NO;-;NO;YES;YES;NO;jaguar.cpp;Mame 0.62;12/11/2002;Mame 0.195;28/02/2018;0;1;4;2;1;RASTER;0;HORIZONTAL;360;240;59.922743;lightgun;CRT 15kHz;R3041,Jaguar GPU,Jaguar DSP;maincpu R3041 @40 MHz, gpu Jaguar GPU @26 MHz, dsp Jaguar DSP @26 MHz;Speaker,16-Bit R-2R Twos Complement DAC;lspeaker Speaker, rspeaker Speaker, ldac 16-Bit R-2R Twos Complement DAC, rdac 16-Bit R-2R Twos Complement DAC;GOOD;GOOD;GOOD;GOOD;GOOD;UNKNOWN;GOOD;GOOD;harddisk;Shooter / Gun;Shooter;Area 51;English;-;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;2P sim;-;https://www.youtube.com/watch?v=YH_n9aUTXBc;-;70;NO;NO;NO;NO;English;70 to 80 (Good);1996;1996;NO
area51t;Area 51 (Time Warner license, Oct 17, 1996);1995;Atari Games (Time Warner license);NO;area51;YES;area51;-;YES;NO;NO;-;NO;YES;YES;NO;jaguar.cpp;Mame 0.82u1;13/05/2004;Mame 0.195;28/02/2018;0;1;4;2;1;RASTER;0;HORIZONTAL;360;240;59.922743;lightgun;CRT 15kHz;M68EC020,Jaguar GPU,Jaguar DSP;maincpu M68EC020 @25 MHz, gpu Jaguar GPU @26 MHz, dsp Jaguar DSP @26 MHz;Speaker,16-Bit R-2R Twos Complement DAC;lspeaker Speaker, rspeaker Speaker, ldac 16-Bit R-2R Twos Complement DAC, rdac 16-Bit R-2R Twos Complement DAC;GOOD;GOOD;GOOD;GOOD;GOOD;UNKNOWN;GOOD;GOOD;harddisk;Shooter / Gun;Shooter;Area 51;English;-;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;2P sim;-;https://www.youtube.com/watch?v=qKCnsNMtY7Q;-;0;NO;NO;NO;NO;English;-;-;English;NO
a51mxr3k;Area 51 / Maximum Force Duo (R3000, 2/10/98);1998;Atari Games;NO;area51mx;YES;area51mx;-;YES;NO;NO;-;NO;YES;YES;NO;jaguar.cpp;Mame 0.71u2;12/07/2003;Mame 0.195;28/02/2018;0;1;4;2;1;RASTER;0;HORIZONTAL;360;240;59.922743;lightgun;CRT 15kHz;R3041,Jaguar GPU,Jaguar DSP;maincpu R3041 @40 MHz, gpu Jaguar GPU @26 MHz, dsp Jaguar DSP @26 MHz;Speaker,16-Bit R-2R Twos Complement DAC;lspeaker Speaker, rspeaker Speaker, ldac 16-Bit R-2R Twos Complement DAC, rdac 16-Bit R-2R Twos Complement DAC;GOOD;GOOD;GOOD;GOOD;GOOD;UNKNOWN;GOOD;GOOD;harddisk;Shooter / Gun;Shooter;Area 51;English;-;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;2P sim;-;https://www.youtube.com/watch?v=XtRgZBmvp78;-;0;NO;NO;NO;NO;English;-;-;English;NO
area51mx;Area 51 / Maximum Force Duo v2.0;1998;Atari Games;YES;-;NO;-;-;YES;NO;NO;-;NO;YES;YES;NO;jaguar.cpp;Mame 0.68;15/05/2003;Mame 0.195;28/02/2018;0;1;4;2;1;RASTER;0;HORIZONTAL;360;240;59.922743;lightgun;CRT 15kHz;M68EC020,Jaguar GPU,Jaguar DSP;maincpu M68EC020 @25 MHz, gpu Jaguar GPU @26 MHz, dsp Jaguar DSP @26 MHz;Speaker,16-Bit R-2R Twos Complement DAC;lspeaker Speaker, rspeaker Speaker, ldac 16-Bit R-2R Twos Complement DAC, rdac 16-Bit R-2R Twos Complement DAC;GOOD;GOOD;GOOD;GOOD;GOOD;UNKNOWN;GOOD;GOOD;harddisk;Shooter / Gun;Shooter;Area 51;English;-;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;2P sim;-;https://www.youtube.com/watch?v=dFcBwAN5b7A;-;80;NO;NO;NO;NO;English;70 to 80 (Good);1998;1998;NO
a51site4;Area 51: Site 4 (HD Rev 2.01, September 7, 1998);1998;Atari Games;YES;-;NO;-;-;YES;NO;NO;-;NO;YES;YES;NO;mediagx.cpp;Mame 0.101u2;17/10/2005;Mame 0.195;28/02/2018;0;9;4;2;1;RASTER;0;HORIZONTAL;640;240;60.000000;joystick (5-way);CRT 15kHz;Cyrix MediaGX,AM9517A;maincpu Cyrix MediaGX @166 MHz, dma8237_1 AM9517A @4.772727 MHz, dma8237_2 AM9517A @4.772727 MHz;Speaker,DMA-driven DAC;lspeaker Speaker, rspeaker Speaker, dac1 DMA-driven DAC, dac2 DMA-driven DAC;PRELIMINARY;PRELIMINARY;GOOD;GOOD;GOOD;UNKNOWN;GOOD;GOOD;harddisk;Shooter / Gun;Shooter;Area 51;English;-;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;2P sim;-;-;-;0;NO;NO;NO;NO;English;-;-;English;NO
azumanga;Azumanga Daioh Puzzle Bobble (GDL-0018);2002;MOSS (Taito license);YES;naomigd;NO;-;-;YES;NO;NO;naomigd;NO;YES;YES;NO;naomi.cpp;Mame 0.136u4;04/03/2010;Mame 0.195;28/02/2018;0;6;2;2;1;RASTER;0;HORIZONTAL;640;480;61.702586;joystick (8-way);CRT 31kHz;SH-4 (little),ARM7 (little),Z80,TMP90PH44,M68000;maincpu SH-4 (little) @200 MHz, soundcpu ARM7 (little) @2.8224 MHz, mie_maple:mie Z80 @16 MHz, 837_13551:iomcu TMP90PH44 @10 MHz, comm_board:m3commcpu M68000 @10 MHz;Speaker,AICA;lspeaker Speaker, rspeaker Speaker, aica AICA;PRELIMINARY;PRELIMINARY;GOOD;IMPERFECT;IMPERFECT;UNKNOWN;GOOD;GOOD;-;Puzzle / Toss;Puzzle;Puzzle Bobble;English;-;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;2P sim;-;-;-;0;NO;NO;NO;YES;English;-;-;English;NO
bassangl;Bass Angler (GE765 VER. JAA);1998;Konami;NO;fbaitbc;YES;fbaitbc;-;YES;NO;NO;sys573;NO;YES;YES;NO;ksys573.cpp;Mame 0.110u2;16/11/2006;Mame 0.195;28/02/2018;0;7;2;2;1;RASTER;0;HORIZONTAL;640;480;60.000000;joystick (8-way),mouse;CRT 31kHz;CXD8530CQ;maincpu CXD8530CQ @67.7376 MHz;CD/DA,Speaker,PlayStation SPU;ata:0:cr589:cdda CD/DA, lspeaker Speaker, rspeaker Speaker, spu PlayStation SPU @33.8688 MHz;IMPERFECT;GOOD;GOOD;IMPERFECT;IMPERFECT;UNKNOWN;GOOD;NODUMP;cdrom;Sports / Fishing;Sports;Fisherman's Bait;English;-;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;1P;-;-;-;0;NO;NO;NO;NO;English;-;-;English;NO
bassang2;Bass Angler 2 (GE865 VER. JAA);1998;Konami;NO;fbait2bc;YES;fbait2bc;-;YES;NO;NO;sys573;NO;YES;YES;NO;ksys573.cpp;Mame 0.132u3;02/07/2009;Mame 0.195;28/02/2018;0;7;2;2;1;RASTER;0;HORIZONTAL;640;480;60.000000;joystick (8-way),mouse;CRT 31kHz;CXD8530CQ;maincpu CXD8530CQ @67.7376 MHz;CD/DA,Speaker,PlayStation SPU;ata:0:cr589:cdda CD/DA, lspeaker Speaker, rspeaker Speaker, spu PlayStation SPU @33.8688 MHz;IMPERFECT;GOOD;GOOD;IMPERFECT;IMPERFECT;UNKNOWN;GOOD;NODUMP;cdrom;Sports / Fishing;Sports;Fisherman's Bait;English;-;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;1P;-;-;-;0;NO;NO;NO;NO;English;-;-;English;NO
batlgear;Battle Gear (Ver 2.40 A);1998;Taito;YES;taitotz;NO;-;-;YES;NO;NO;taitotz;NO;YES;YES;NO;taitotz.cpp;Mame 0.138u2;17/06/2010;Mame 0.195;28/02/2018;0;3;1;0;1;RASTER;0;HORIZONTAL;512;384;60.000000;paddle,pedal;CRT 25kHz;PowerPC 603E,TMP95C063;maincpu PowerPC 603E @100 MHz, iocpu TMP95C063 @25 MHz;-;-;PRELIMINARY;PRELIMINARY;GOOD;PRELIMINARY;GOOD;UNKNOWN;GOOD;NODUMP;harddisk;Driving / Race (chase view);Driving;Battle Gear;English;-;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;1P;-;-;-;0;NO;NO;NO;NO;English;-;-;English;NO
