name;description;year;manufacturer;is_parent;romof;is_clone;cloneof;sasampleof
1944;1944 - the loop master (000620 USA);2000;Capcom / 8ing / Raizing;YES;-;NO;-;-
19xx;19XX - the war against destiny (951207 USA);1995;Capcom;YES;-;NO;-;-
asurabus;Asura Buster - Eternal Warriors (Japan);2000;Fuuki;YES;-;NO;-;-
atetris;Tetris (set 1) [No sound];1988;Atari Games;YES;-;NO;-;-
bgaregga;Battle Garegga (Europe / USA / Japan / Asia) (Sat Feb 3 1996);1996;Raizing / 8ing;YES;-;NO;-;-
blazstar;Blazing Star;1998;Yumekobo;YES;neogeo;NO;-;-
boogwing;Boogie Wings (Euro v1.5, 92.12.07);1992;Data East Corporation;YES;-;NO;-;-
bublbob2;Bubble Bobble II (Ver 2.6O 1994/12/16);1994;Taito Corporation Japan;YES;-;NO;-;-
bublbobl;Bubble Bobble (Japan, Ver 0.1);1986;Taito Corporation;YES;-;NO;-;-
cosmogng;Cosmo Gang the Video (US);1991;Namco;YES;-;NO;-;-
cybots;Cyberbots - fullmetal madness (950424 Euro);1995;Capcom;YES;-;NO;-;-
cyvern;Cyvern (US);1998;Kaneko;YES;skns;NO;-;-
ddp2;Bee Storm - DoDonPachi II (V102, World);2001;IGS;YES;pgm;NO;-;-
ddragon;Double Dragon (Japan);1987;Technos;YES;-;NO;-;-
ddtod;Dungeons & Dragons - tower of doom (940412 Euro);1994;Capcom;YES;-;NO;-;-
dietgo;Diet Go Go (Euro v1.1 1992.09.26);1992;Data East Corporation;YES;-;NO;-;-
dimahoo;Dimahoo (000121 Euro);2000;8ing / Raizing / Capcom;YES;-;NO;-;-
dmnfrnt;Demon Front (V105);2002;IGS;YES;pgm;NO;-;-
dondokod;Don Doko Don (World);1989;Taito Corporation Japan;YES;-;NO;-;-
donpachi;DonPachi (USA, ver. 1.12, 95/05/2x);1995;Atlus / Cave;YES;-;NO;-;-
dragnblz;Dragon Blaze;2000;Psikyo;YES;-;NO;-;-
dsaber;Dragon Saber (World, DO2);1990;Namco;YES;-;NO;-;-
dstlk;Darkstalkers - the night warriors (940705 Euro);1994;Capcom;YES;-;NO;-;-
feversos;Fever SOS (International, ver. 98/09/25);1998;Cave / Nihon System inc.;YES;-;NO;-;-
ffight;Final Fight (World, set 1);1989;Capcom;YES;-;NO;-;-
garou;Garou - Mark of the Wolves (NGM-2530);1999;SNK;YES;neogeo;NO;-;-
ghostlop;Ghostlop (prototype) [Prototype];1996;Data East Corporation;YES;neogeo;NO;-;-
ghox;Ghox (spinner) [No Sound (undumped MCU)];1991;Toaplan;YES;-;NO;-;-
gigawing;Giga Wing (990222 USA);1999;Capcom;YES;-;NO;-;-
goldnaxe;Golden Axe (set 6, US, 8751 317-123A);1989;Sega;YES;-;NO;-;-
gunbird2;Gunbird 2;1998;Psikyo;YES;-;NO;-;-
gundhara;Gundhara;1995;Banpresto;YES;-;NO;-;-
gunforc2;Gunforce 2 (US);1994;Irem;YES;-;NO;-;-
gunlock;Gunlock (Ver 2.3O 1994/01/20);1993;Taito Corporation Japan;YES;-;NO;-;-
gutsn;Guts'n (Japan);2000;Kaneko / Kouyousha;YES;skns;NO;-;-
guwange;Guwange (Japan, Master Ver. 99/06/24);1999;Atlus / Cave;YES;-;NO;-;-
hsf2;Hyper Street Fighter II: The Anniversary Edition (040202 USA);2004;Capcom;YES;-;NO;-;-
inthunt;In The Hunt (World);1993;Irem;YES;-;NO;-;-
joemacr;Joe & Mac Returns (World, Version 1.1, 1994.05.27);1994;Data East;YES;-;NO;-;-
jojo;JoJo's Venture / JoJo no Kimyou na Bouken (USA 990128);1998;Capcom;YES;-;NO;-;-
jojoba;JoJo's Bizarre Adventure: Heritage for the Future / JoJo no Kimyou na Bouken: Mirai e no Isan (Japan 990927);1999;Capcom;YES;-;NO;-;-
kabukikl;Far East of Eden - Kabuki Klash / Tengai Makyou - Shin Den;1995;Hudson;YES;neogeo;NO;-;-
kf2k3pcb;The King of Fighters 2003 (Japan, JAMMA PCB);2003;Playmore / Capcom;YES;-;NO;-;-
killbld;The Killing Blade (V109, China);1998;IGS;YES;pgm;NO;-;-
killbldp;The Killing Blade Plus (V300);2005;IGS;YES;pgm;NO;-;-
kingdmgp;Kingdom Grandprix (World);1994;Raizing / 8ing;YES;-;NO;-;-
kinst;Killer Instinct (ver. 1.5);1994/1995;Rare/Nintendo;YES;-;NO;-;-
kinst2;Killer Instinct II (ver. 1.4);1994/1995;Rare/Nintendo;YES;-;NO;-;-
kizuna;Kizuna Encounter - Super Tag Battle / Fu'un Super Tag Battle;1996;SNK;YES;neogeo;NO;-;-
kof2000;The King of Fighters 2000 (NGM-2570) (NGH-2570);2000;SNK;YES;neogeo;NO;-;-
kof2001;The King of Fighters 2001 (NGM-262?);2001;SNK / Eolith;YES;neogeo;NO;-;-
kof2002;The King of Fighters 2002 (NGM-2650)(NGH-2650);2002;Eolith / Playmore;YES;neogeo;NO;-;-
kof2003;The King of Fighters 2003 (NGM-2710);2003;SNK Playmore;YES;neogeo;NO;-;-
kof94;The King of Fighters '94 (NGM-055)(NGH-055);1994;SNK;YES;neogeo;NO;-;-
kof95;The King of Fighters '95 (NGM-084);1995;SNK;YES;neogeo;NO;-;-
kof96;The King of Fighters '96 (NGM-214);1996;SNK;YES;neogeo;NO;-;-
kof97;The King of Fighters '97 (NGM-2320);1997;SNK;YES;neogeo;NO;-;-
kof98;The King of Fighters '98 - The Slugfest / King of Fighters '98 - dream match never ends (NGM-2420);1998;SNK;YES;neogeo;NO;-;-
kof99;The King of Fighters '99 - Millennium Battle (NGM-2510);1999;SNK;YES;neogeo;NO;-;-
kovsh;Knights of Valour Superheroes / Sangoku Senki Superheroes (V104, China);1999;IGS;YES;pgm;NO;-;-
landmakr;Land Maker (Ver 2.01J 1998/06/01);1998;Taito Corporation;YES;-;NO;-;-
lastblad;The Last Blade / Bakumatsu Roman - Gekka no Kenshi (NGM-2340);1997;SNK;YES;neogeo;NO;-;-
lastbld2;The Last Blade 2 / Bakumatsu Roman - Dai Ni Maku Gekka no Kenshi (NGM-2430)(NGH-2430);1998;SNK;YES;neogeo;NO;-;-
ldrun4;Lode Runner IV - Teikoku Karano Dasshutsu;1986;Irem (licensed from Broderbund);YES;-;NO;-;-
lemmings;Lemmings (US prototype);1991;Data East USA;YES;-;NO;-;-
loderndf;Lode Runner - The Dig Fight (ver. B);2000;Psikyo;YES;-;NO;-;-
logicpr2;Logic Pro 2 (Japan);1997;Deniam;YES;-;NO;-;-
logicpro;Logic Pro (Japan);1996;Deniam;YES;-;NO;-;-
macrossp;Macross Plus;1996;MOSS / Banpresto;YES;-;NO;-;-
magdrop2;Magical Drop II;1996;Data East Corporation;YES;neogeo;NO;-;-
magdrop3;Magical Drop III;1997;Data East Corporation;YES;neogeo;NO;-;-
mario;Mario Bros. (US, Revision F) [Imperfect sound];1983;Nintendo of America;YES;-;NO;-;-
martmast;Martial Masters (V104, 102, 102, USA);2001;IGS;YES;pgm;NO;-;-
matrim;Matrimelee / Shin Gouketsuji Ichizoku Toukon (NGM-2660) (NGH-2660);2002;Noise Factory / Atlus;YES;neogeo;NO;-;-
megaman;Mega Man - the power battle (951006 USA);1995;Capcom;YES;-;NO;-;-
mercs;Mercs (900302 etc);1990;Capcom;YES;-;NO;-;-
metmqstr;Metamoqester (International);1995;Banpresto / Pandorabox;YES;-;NO;-;-
miexchng;Money Puzzle Exchanger / Money Idol Exchanger;1997;Face;YES;neogeo;NO;-;-
mk3;Mortal Kombat 3 (rev 2.1);1994;Midway;YES;-;NO;-;-
mmatrix;Mars Matrix (000412 USA);2000;Capcom / Takumi;YES;-;NO;-;-
mmaulers;Monster Maulers (ver EAA);1993;Konami;YES;-;NO;-;-
mpang;Mighty! Pang (001010 Euro);2000;Mitchell;YES;-;NO;-;-
ms5pcb;Metal Slug 5 (JAMMA PCB);2003;SNK Playmore;YES;-;NO;-;-
msgogo;Mouse Shooter GoGo;1995;Metro;YES;-;NO;-;-
msh;Marvel Super Heroes (951024 Euro);1995;Capcom;YES;-;NO;-;-
mshvsf;Marvel Super Heroes vs Street Fighter (970625 Euro);1997;Capcom;YES;-;NO;-;-
mslider;Monster Slider (Japan);1997;Visco / Datt Japan;YES;-;NO;-;-
mslug;Metal Slug - Super Vehicle-001;1996;Nazca;YES;neogeo;NO;-;-
mslug2;Metal Slug 2 - Super Vehicle-001/II (NGM-2410) (NGH-2410);1998;SNK;YES;neogeo;NO;-;-
mslug3;Metal Slug 3 (NGM-2560);2000;SNK;YES;neogeo;NO;-;-
mslug4;Metal Slug 4 (NGM-2630);2002;Mega;YES;neogeo;NO;-;-
mslug5;Metal Slug 5 (NGM-2680);2003;SNK Playmore;YES;neogeo;NO;-;-
mslugx;Metal Slug X - Super Vehicle-001 (NGM-2500)(NGH-2500);1999;SNK;YES;neogeo;NO;-;-
msword;Magic Sword - heroic fantasy (25.07.1990 other country);1990;Capcom;YES;-;NO;-;-
mvsc;Marvel vs Capcom - clash of super heroes (980123 Euro);1998;Capcom;YES;-;NO;-;-
nbahangt;NBA Hangtime (rev L1.1 04/16/96);1996;Midway;YES;-;NO;-;-
nbamht;NBA Maximum Hangtime (rev 1.03 06/09/97);1996;Midway;YES;-;NO;-;-
nbbatman;Ninja Baseball Batman (World);1993;Irem;YES;-;NO;-;-
neobombe;Neo Bomberman;1997;Hudson;YES;neogeo;NO;-;-
neomrdo;Neo Mr. Do!;1996;Visco;YES;neogeo;NO;-;-
nitd;Nightmare in the Dark;2000;Eleven / Gavaking;YES;neogeo;NO;-;-
nwarr;Night Warriors - darkstalkers' revenge (950316 Euro);1995;Capcom;YES;-;NO;-;-
othunder;Operation Thunderbolt (World, rev 1);1988;Taito Corporation Japan;YES;-;NO;-;-
pang;Pang (World);1989;Mitchell;YES;-;NO;-;-
pang3;Pang! 3 (950601 Euro);1995;Mitchell;YES;-;NO;-;-
panicbom;Panic Bomber;1994;Eighting / Hudson;YES;neogeo;NO;-;-
panicstr;Panic Street (Japan);1999;Kaneko;YES;skns;NO;-;-
pbobbl2n;Puzzle Bobble 2 / Bust-A-Move Again (Neo-Geo);1999;Taito (SNK license);YES;neogeo;NO;-;-
pbobble;Puzzle Bobble (Japan, B-System);1994;Taito Corporation;YES;-;NO;-;-
pbobble2;Puzzle Bobble 2 (Ver 2.3O 1995/07/31);1995;Taito Corporation Japan;YES;-;NO;-;-
