name;description;year;manufacturer;buttons;display_width;display_height;input_controls;category;genre
1941;1941: Counter Attack (World 900227);1990;Capcom;2;384;224;joystick (8-way);Shooter / Flying Vertical;Shooter
1942;1942 (Revision B);1984;Capcom;2;256;224;joystick (8-way);Shooter / Flying Vertical;Shooter
1943;1943: The Battle of Midway (Euro);1987;Capcom;2;256;224;joystick (8-way);Shooter / Flying Vertical;Shooter
1943kai;1943 Kai: Midway Kaisen (Japan);1987;Capcom;2;256;224;joystick (8-way);Shooter / Flying Vertical;Shooter
19xx;19XX: The War Against Destiny (USA 951207);1996;Capcom;2;384;224;joystick (8-way);Shooter / Flying Vertical;Shooter
agallet;Air Gallet (Europe);1996;Gazelle (Banpresto license);3;320;240;joystick (8-way);Shooter / Flying Vertical;Shooter
batsugun;Batsugun;1993;Toaplan;3;320;240;joystick (8-way);Shooter / Flying Vertical;Shooter
blswhstl;Bells & Whistles (World, version L);1991;Konami;2;320;224;joystick (8-way);Shooter / Flying Vertical;Shooter
bombjack;Bomb Jack (set 1);1984;Tehkan;1;256;224;joystick (8-way);Platform / Run Jump;Platform
brubber;Burnin' Rubber;1982;Data East;1;256;240;joystick (8-way);Driving / Race;Driving
btime;Burger Time (Data East set 1);1982;Data East Corporation;1;240;240;joystick (4-way);Platform / Run Jump;Platform
cairblad;Change Air Blade (Japan);1999;Sammy;3;338;240;joystick (8-way);Shooter / Flying Vertical;Shooter
centiped;Centipede (revision 4);1980;Atari;1;256;240;joystick (8-way),trackball;Shooter / Gallery;Shooter
commando;Commando (World);1985;Capcom;2;256;224;joystick (8-way);Shooter / Walking;Shooter
congo;Congo Bongo (Rev C, 2 board stack);1983;Sega;1;256;224;joystick (8-way);Platform / Run Jump;Platform
contra;Contra (US / Asia, set 1);1987;Konami;2;280;224;joystick (8-way);Platform / Shooter Scrolling;Platform
digdug;Dig Dug (rev 2);1982;Namco;1;288;224;joystick (4-way);Maze / Digging;Maze
digdug2;Dig Dug II (New Ver.);1985;Namco;2;288;224;joystick (4-way);Maze / Collect;Maze
dkong;Donkey Kong (US set 1);1981;Nintendo of America;1;256;224;joystick (4-way);Platform / Run Jump;Platform
dkong3;Donkey Kong 3 (US);1983;Nintendo of America;1;256;224;joystick (4-way);Platform / Run Jump;Platform
dkongjr;Donkey Kong Junior (US set F-2);1982;Nintendo of America;1;256;224;joystick (4-way);Platform / Run Jump;Platform
docastle;Mr. Do's Castle (set 1);1983;Universal;2;240;192;joystick (4-way);Platform / Run Jump;Platform
donpachi;DonPachi (US);1995;Cave (Atlus license);3;320;240;joystick (8-way);Shooter / Flying Vertical;Shooter
frogger;Frogger;1981;Konami;0;768;224;joystick (4-way);Maze / Cross;Maze
galaga;Galaga (Namco rev. B);1981;Namco;1;288;224;joystick (2-way);Shooter / Gallery;Shooter
galaxian;Galaxian (Namco set 1);1979;Namco;1;768;224;joystick (2-way);Shooter / Gallery;Shooter
gground;Gain Ground (World, 3 Players, Floppy Based, FD1094 317-0058-03d Rev A);1988;Sega;3;496;384;joystick (8-way);Shooter / Walking;Shooter
gorf;Gorf;1981;Dave Nutting Associates / Midway;1;352;240;joystick (8-way);Shooter / Gallery;Shooter
gunsmoke;Gun.Smoke (World, 851115);1985;Capcom;3;256;224;joystick (8-way);Shooter / Walking;Shooter
gyruss;Gyruss;1983;Konami;1;256;224;joystick (2-way);Shooter / Flying (chase view);Shooter
invaders;Space Invaders / Space Invaders M;1978;Taito / Midway;1;260;224;joystick (2-way);Shooter / Gallery;Shooter
invadpt2;Space Invaders Part II (Taito);1979;Taito;1;260;224;joystick (2-way);Shooter / Gallery;Shooter
joust2;Joust 2 - Survival of the Fittest (revision 2);1986;Williams;2;276;240;joystick (2-way);Platform / Run Jump;Platform
jrpacman;Jr. Pac-Man (11/9/83);1983;Bally Midway;0;288;224;joystick (4-way);Maze / Collect;Maze
junofrst;Juno First;1983;Konami;3;256;224;joystick (8-way);Shooter / Gallery;Shooter
ladybug;Lady Bug;1981;Universal;2;240;192;joystick (4-way);Maze / Collect;Maze
locomotn;Loco-Motion;1982;Konami (Centuri license);1;256;224;joystick (4-way);Puzzle / Sliding;Puzzle
lwings;Legendary Wings (US set 1);1986;Capcom;2;256;240;joystick (8-way);Shooter / Flying Vertical;Shooter
mappy;Mappy (US);1983;Namco;1;288;224;joystick (2-way);Platform / Run Jump;Platform
mercs;Mercs (World 900302);1990;Capcom;2;384;224;joystick (8-way);Shooter / Walking;Shooter
milliped;Millipede;1982;Atari;1;256;240;joystick (8-way),trackball;Shooter / Gallery;Shooter
mrdo;Mr. Do!;1982;Universal;1;240;192;joystick (4-way);Maze / Digging;Maze
mspacman;Ms. Pac-Man;1981;Midway / General Computer Corporation;1;288;224;joystick (4-way);Maze / Collect;Maze
pacman;Pac-Man (Midway);1980;Namco (Midway license);1;288;224;joystick (4-way);Maze / Collect;Maze
pengo;Pengo (set 1 rev c);1982;Sega;1;288;224;joystick (4-way);Maze / Move and Sort;Maze
phoenix;Phoenix (Amstar, set 1);1980;Amstar;2;256;208;joystick (2-way);Shooter / Gallery;Shooter
qbert;Q*bert (US set 1);1982;Gottlieb;0;256;240;joystick (8-way);Platform / Run Jump;Platform
qix;Qix (Rev 2);1981;Taito America Corporation;2;256;256;joystick (4-way);Puzzle / Outline;Puzzle
raiden;Raiden (set 1);1990;Seibu Kaihatsu;2;256;224;joystick (8-way);Shooter / Flying Vertical;Shooter
raiden2;Raiden II (US, set 1);1993;Seibu Kaihatsu (Fabtek license);2;320;240;joystick (8-way);Shooter / Flying Vertical;Shooter
samuraia;Samurai Aces (World);1993;Psikyo;3;320;224;joystick (8-way);Shooter / Flying Vertical;Shooter
scontra;Super Contra;1988;Konami;2;320;224;joystick (8-way);Platform / Shooter Scrolling;Platform
scramble;Scramble;1981;Konami;2;768;224;joystick (8-way);Shooter / Flying Horizontal;Shooter
spcinv95;Space Invaders '95: The Attack Of Lunar Loonies (Ver 2.5O 1995/06/14);1995;Taito Corporation Japan;4;320;224;joystick (8-way),dial;Shooter / Gallery;Shooter
superpac;Super Pac-Man;1982;Namco;1;288;224;joystick (4-way);Maze / Collect;Maze
timeplt;Time Pilot;1982;Konami;1;256;224;joystick (8-way);Shooter / Field;Shooter
turbo;Turbo (program 1513-1515);1981;Sega;3;512;224;dial;Driving / Race (chase view);Driving
xevious;Xevious (Namco);1982;Namco;2;288;224;joystick (8-way);Shooter / Flying Vertical;Shooter
zaxxon;Zaxxon (set 1, rev D);1982;Sega;1;256;224;joystick (8-way);Shooter / Flying Diagonal;Shooter
