name;bestcore;mameversion
"005";lr-mame;
"1941";lr-fbalpha;
"1942";lr-fbalpha;
"1943";lr-fbalpha;
"1943mii";lr-fbalpha;
"1944";lr-fbalpha;
"1945kiii";lr-fbalpha;
"19xx";lr-fbalpha;
"280zzzap";lr-mame;
"3in1semi";lr-fbalpha;
"3kokushi";lr-fbalpha;
"3stooges";lr-mame;
"3wondersu";lr-fbalpha;
"40love";lr-mame;
"4dwarrio";lr-fbalpha;
"4enraya";lr-fbalpha;
"4in1";lr-fbalpha;
"4in1boot";lr-fbalpha;
"64street";lr-fbalpha;
"7ordi";lr-fbalpha;
"88games";lr-fbalpha;
"8ball";lr-mame;
"8ballact";lr-fbalpha;
"aafb";lr-mame;
"abcop";lr-fbalpha;
"aburner";lr-mame;
"aburner2";lr-fbalpha;
"ace";lr-mame;
"aceattac";lr-fbalpha;
"acrobatm";lr-mame;
"actfancr";lr-fbalpha;
"ad2083";lr-fbalpha;
"aerofgt";lr-fbalpha;
"afighter";lr-fbalpha;
"agalletu";lr-fbalpha;
"agressb";lr-fbalpha;
"airass";lr-fbalpha;
"airattck";lr-fbalpha;
"airbustr";lr-fbalpha;
"airduel";lr-fbalpha;
"airwolfa";lr-fbalpha;
"ajax";lr-fbalpha;
"alcon";lr-fbalpha;
"alexkidd";lr-fbalpha;
"alibaba";lr-fbalpha;
"aliencha";lr-fbalpha;
"aliensec";lr-fbalpha;
"aliensu";lr-fbalpha;
"aliensyn";lr-fbalpha;
"aligatorun";lr-fbalpha;
"alinvade";lr-fbalpha;
"alleymas";lr-mame;
"alpine";lr-mame;
"altbeast";lr-fbalpha;
"amazon";lr-fbalpha;
"ambush";lr-fbalpha;
"amidar";lr-fbalpha;
"androidp";lr-fbalpha;
"angelkds";lr-fbalpha;
"anteater";lr-fbalpha;
"appoooh";lr-fbalpha;
"aquajacku";lr-fbalpha;
"aquarium";lr-fbalpha;
"aquarush";lr-mame;
"arabfgt";lr-mame;
"arabian";lr-fbalpha;
"arabianm";lr-fbalpha;
"arbalest";lr-fbalpha;
"arcadian";lr-fbalpha;
"archrivl";lr-mame;
"argus";lr-mame;
"arkanoid";lr-mame;
"arkarea";lr-fbalpha;
"arkatour";lr-mame;
"arknid2u";lr-mame;
"arkretrn";lr-mame;
"arlingtn";lr-mame;
"armedf";lr-fbalpha;
"armora";adv-mame;
"armorcar";lr-fbalpha;
"armwaru";lr-fbalpha;
"armwrest";lr-fbalpha;
"ashurau";lr-fbalpha;
"aso";lr-mame;
"assault";lr-fbalpha;
"astdelux";adv-mame;
"asterix";lr-fbalpha;
"asteroid";adv-mame;
"astormud";lr-fbalpha;
"astyanax";lr-fbalpha;
"asuka";lr-fbalpha;
"asurabld";lr-fbalpha;
"asurabus";lr-fbalpha;
"asylum";lr-mame;
"atehate";lr-fbalpha;
"atetris";lr-fbalpha;
"athena";lr-fbalpha;
"atlantis";lr-fbalpha;
"atomicp";lr-fbalpha;
"aurail";lr-fbalpha;
"avalnche";lr-mame;
"avengers";lr-fbalpha;
"avspirit";lr-fbalpha;
"avspu";lr-fbalpha;
"aztarac";adv-mame;
"azurian";lr-fbalpha;
"backfire";lr-fbalpha;
"backfirt";lr-fbalpha;
"baddudes";lr-mame;2003
"bagman";lr-fbalpha;
"bakubaku";lr-mame;
"bakutotu";lr-fbalpha;
"balcube";lr-fbalpha;
"ballbomb";lr-mame;
"ballbros";lr-fbalpha;
"balonfgt";lr-mame;
"baluba";lr-mame;
"bang";lr-fbalpha;
"bangball";lr-fbalpha;
"bankp";lr-fbalpha;
"barricad";lr-mame;
"barrier";adv-mame;
"baryon";lr-fbalpha;
"basebal2";lr-mame;
"batcir";lr-fbalpha;
"batman";lr-mame;
"batrideru";lr-fbalpha;
"batsugun";lr-fbalpha;
"battlane";lr-fbalpha;
"battlcry";lr-mame;
"battleg";lr-mame;
"battlera";lr-mame;
"battlex";lr-fbalpha;
"battlnts";lr-fbalpha;
"battroad";lr-fbalpha;
"bayroute";lr-fbalpha;
"bbakraid";lr-fbalpha;
"bballsa";lr-fbalpha;
"bbbxing";lr-mame;
"bbmanw";lr-fbalpha;
"bbonk";lr-mame;
"bbprot";lr-mame;
"bbustersu";lr-fbalpha;
"bchopper";lr-fbalpha;
"bcruzm12";lr-fbalpha;
"bcstry";lr-fbalpha;
"beaminv";lr-mame;
"beathead";lr-mame;
"benberob";lr-mame;
"berabohm";lr-fbalpha;
"berlwall";lr-fbalpha;
"bermudat";lr-fbalpha;
"berzerk";lr-mame;
"bestbest";lr-fbalpha;
"bestri";lr-fbalpha;
"bgaregga";lr-fbalpha;
"bigbucks";lr-fbalpha;
"bigkarnk";lr-fbalpha;
"bigprowr";lr-mame;
