name;description;year;manufacturer;is_parent;romof;is_clone;cloneof;sasampleof
1941;1941 - Counter Attack (900227 World);1990;Capcom;YES;-;NO;-;-
1942;1942 (Revision B);1984;Capcom;YES;-;NO;-;-
1943;1943: The Battle of Midway (Euro);1987;Capcom;YES;-;NO;-;-
1944;1944 - the loop master (000620 USA);2000;Capcom / 8ing / Raizing;YES;-;NO;-;-
1943mii;1943: The Battle of Midway Mark II (US);1988;Capcom;YES;-;NO;-;-
1945kiii;1945k III (newer, OPCX2 PCB);2000;Oriental Soft;YES;-;NO;-;-
19xx;19XX - the war against destiny (951207 USA);1995;Capcom;YES;-;NO;-;-
3in1semi;XESS - The New Revolution (SemiCom 3-in-1);1997;SemiCom;YES;-;NO;-;-
3kokushi;Sankokushi (Japan) [Graphics corruption on score/bonus screen is normal];1996;Mitchell;YES;-;NO;-;-
3wondersu;Three Wonders (wonder 3 910520 USA);1991;Capcom;NO;3wonders;YES;3wonders;-
4dwarrio;4-D Warriors (315-5162);1985;Coreland / Sega;YES;-;NO;-;-
4enraya;4 En Raya (set 1);1990;IDSA;YES;-;NO;-;-
4in1;4 Fun in 1 [Bootleg];1981;Armenia / Food and Fun;YES;-;NO;-;-
4in1boot;Puzzle King [Bootleg];2002;K1 Soft;YES;-;NO;-;-
64street;64th. Street - A Detective Story (World);1991;Jaleco;YES;-;NO;-;-
7ordi;7 Ordi (Korea);2002;Yun Sung;YES;-;NO;-;-
88games;'88 Games;1988;Konami;YES;-;NO;-;-
8ballact;Eight Ball Action (DK conversion) [Parent set for working drivers];1984;Seatongrove Ltd (Magic Eletronics USA licence);YES;-;NO;-;-
abcop;A.B. Cop (World, FD1094 317-0169b);1990;Sega;YES;-;NO;-;-
aburner2;After Burner II;1987;Sega;YES;-;NO;-;-
aceattac;Ace Attacker (FD1094 317-0059);1988;Sega;YES;-;NO;-;-
actfancr;Act-Fancer Cybernetick Hyper Weapon (World revision 2);1989;Data East Corporation;YES;-;NO;-;-
ad2083;A.D. 2083 [Incomplete Sound];1983;Midcoin;YES;-;NO;-;-
aerofgt;Aero Fighters;1992;Video System Co.;YES;-;NO;-;-
afighter;Action Fighter, FD1089A 317-0018;1986;Sega;YES;-;NO;-;-
agalletu;Air Gallet (USA);1996;BanPresto / Gazelle;NO;agallet;YES;agallet;-
agressb;Agress (English bootleg);2003;Palco;NO;agress;YES;agress;-
airass;Air Assault (World);1993;Irem;YES;-;NO;-;-
airattck;Air Attack (set 1);1996;Comad;YES;-;NO;-;-
airbustr;Air Buster: Trouble Specialty Raid Unit (World);1990;Kaneko (Namco license);YES;-;NO;-;-
airduel;Air Duel (World, M82-A-A + M82-B-A);1990;Irem;YES;-;NO;-;-
airwolfa;Airwolf (US);1987;Kyugo (United Amusements license);NO;airwolf;YES;airwolf;-
ajax;Ajax;1987;Konami;YES;-;NO;-;-
alcon;Alcon (US);1986;Toaplan / Taito America Corp.;YES;-;NO;-;-
alexkidd;Alex Kidd: The Lost Stars (set 2, unprotected);1986;Sega;YES;-;NO;-;-
alibaba;Ali Baba and 40 Thieves;1982;Sega;YES;-;NO;-;-
aliencha;Alien Challenge (World) [Imperfect sound];1994;IGS;YES;-;NO;-;-
aliensec;Alien Sector;1985;Namco;YES;-;NO;-;-
aliensu;Aliens (US);1990;Konami;NO;aliens;YES;aliens;-
aliensyn;Alien Syndrome (set 4, System 16B, unprotected);1987;Sega;YES;-;NO;-;-
aligatorun;Alligator Hunt (unprotected);1994;Gaelco;NO;aligator;YES;aligator;-
alinvade;Alien Invaders [preliminary sound];198?;Forbes?;YES;-;NO;-;-
altbeast;Altered Beast (set 8, 8751 317-0078);1988;Sega;YES;-;NO;-;-
amazon;Soldier Girl Amazon;1986;Nichibutsu;YES;-;NO;-;-
ambush;Ambush;1983;Tecfri;YES;-;NO;-;-
amidar;Amidar;1981;Konami;YES;-;NO;-;-
androidp;Android (prototype, later build);198?;Nasco;YES;-;NO;-;-
angelkds;Angel Kids (Japan);1988;Sega / Nasco?;YES;-;NO;-;-
anteater;Anteater;1982;Stern (Tago license);YES;-;NO;-;-
appoooh;Appoooh;1984;Sanritsu / Sega;YES;-;NO;-;-
aquajacku;Aquajack (US);1990;Taito Corporation;NO;aquajack;YES;aquajack;-
aquarium;Aquarium (US);1996;Excellent System;YES;-;NO;-;-
arabian;Arabian;1983;Sun Electronics;YES;-;NO;-;-
arabianm;Arabian Magic (Ver 1.0O 1992/07/06);1992;Taito Corporation Japan;YES;-;NO;-;-
arbalest;Arbalester;1989;Seta;YES;-;NO;-;-
arcadian;Arcadia (NMK);1994;NMK;YES;-;NO;-;-
