#  addMAME 0.01 > 0.196
#
#  © 2014/2018 AntoPISA of www.progettosnaps.net
#
#  Total sets: 35,074
#
#
-----------------------------------------------------------
| S e t                     | Added in version | T y p e  |
===========================================================
| 005                       | 0.030            | MAME     |
| 100lions                  | 0.173            | MAME     |
| 10yard                    | 0.108u5          | MAME     |
| 10yard85                  | 0.137u3          | MAME     |
| 10yardj                   | 0.027            | MAME     |
| 11beat                    | 0.091            | MAME     |
| 1292apvs                  | 0.162            | MESS     |
| 1392apvs                  | 0.162            | MESS     |
| 18w                       | 0.141u2          | MAME     |
| 18w2                      | 0.141u2          | MAME     |
| 18wheelr                  | 0.134u4          | MAME     |
| 18wheels                  | 0.144            | MAME     |
| 18wheelu                  | 0.153            | MAME     |
| 1941                      | 0.145u5          | MAME     |
| 1941j                     | 0.033b06         | MAME     |
| 1941r1                    | 0.033b05         | MAME     |
| 1941u                     | 0.141u4          | MAME     |
| 1942                      | 0.034b04         | MAME     |
| 1942a                     | 0.019            | MAME     |
| 1942abl                   | 0.134u4          | MAME     |
| 1942b                     | 0.033b07         | MAME     |
| 1942h                     | 0.154            | MAME     |
| 1942p                     | 0.152            | MAME     |
| 1942w                     | 0.124u4          | MAME     |
| 1943                      | 0.138u1          | MAME     |
| 1943b                     | 0.141u1          | MAME     |
| 1943bj                    | 0.171            | MAME     |
| 1943j                     | 0.143u5          | MAME     |
| 1943ja                    | 0.189            | MAME     |
| 1943jah                   | 0.033b04         | MAME     |
| 1943kai                   | 0.030            | MAME     |
| 1943mii                   | 0.175            | MAME     |
| 1943u                     | 0.029            | MAME     |
| 1943ua                    | 0.168            | MAME     |
| 1944                      | 0.066            | MAME     |
| 1944d                     | 0.128u4          | MAME     |
| 1944j                     | 0.066            | MAME     |
| 1945kiii                  | 0.082            | MAME     |
| 1945kiiin                 | 0.180            | MAME     |
| 1945kiiio                 | 0.173            | MAME     |
| 19in1                     | 0.147u2          | MAME     |
| 19xx                      | 0.037b13         | MAME     |
| 19xxa                     | 0.155            | MAME     |
| 19xxar1                   | 0.069u3          | MAME     |
| 19xxb                     | 0.115u3          | MAME     |
| 19xxd                     | 0.128u4          | MAME     |
| 19xxh                     | 0.037b13         | MAME     |
| 19xxj                     | 0.153            | MAME     |
| 19xxjr1                   | 0.053            | MAME     |
| 19xxjr2                   | 0.037b13         | MAME     |
| 1on1gov                   | 0.121u3          | MAME     |
| 2020bb                    | 0.034b01         | MAME     |
| 2020bba                   | 0.036b04         | MAME     |
| 2020bbh                   | 0.080u2          | MAME     |
| 20pacgal                  | 0.138u1          | MAME     |
| 20pacgalr0                | 0.139u1          | MAME     |
| 20pacgalr1                | 0.111u1          | MAME     |
| 20pacgalr2                | 0.138u1          | MAME     |
| 20pacgalr3                | 0.139u1          | MAME     |
| 20pacgalr4                | 0.127u6          | MAME     |
