#  allMAMEremoved 0.01 > 0.196
#
#  All sets removed, from the first version, in alphabetical order
#
#
#  © 2016/2018 AntoPISA
#
#
----------------------------------------------------------------------------------------------
| Name Set                                | Removed In      | Note       |  Type             |
==============================================================================================
| 40105                                   | 0.181           |            | Device            |
| 7400                                    | 0.181           |            | Device            |
| 7404                                    | 0.181           |            | Device            |
| 82s129                                  | 0.181           |            | Device            |
| a1200kbd_r1                             | 0.183           |            | Device            |
| a2600_dpcplus                           | 0.168           |            | Device            |
| a2lang                                  | 0.183           |            | Device            |
| abc_dos                                 | 0.161           |            | Device            |
| abc_xebec                               | 0.151           |            | Device            |
| abc1600bus_slot                         | 0.151           |            | Device            |
| ac1clbmna                               | 0.146u5         |            | Machine           |
| ac1cshtw                                | 0.146u4         |            | Machine           |
| ac1goglda                               | 0.146u5         |            | Machine           |
| ac1piadx                                | 0.143u7         |            | Machine           |
| ac1primta                               | 0.146u5         |            | Machine           |
| ad5u1337                                | 0.145u7         |            | Machine           |
| alpine                                  | 0.033b7         |            | Machine           |
| am2847                                  | 0.181           |            | Device            |
| apple2e                                 | 0.033b7         |            | Machine           |
| apple2ee                                | 0.033b7         |            | Machine           |
| apple2gsr3lp                            | 0.177           |            | Machine           |
| arkabeta                                | 0.033b7         |            | Machine           |
| at29040a                                | 0.165           |            | Device            |
| atari2804                               | 0.190           |            | Device            |
| atari2816                               | 0.190           |            | Device            |
| attachef                                | 0.165           |            | Machine           |
| atworld                                 | 0.133u2         |            | Machine           |
| atworlda                                | 0.133u2         |            | Machine           |
| bbcb1770                                | 0.178           |            | Machine           |
| beezer_sound                            | 0.181           |            | Device            |
| billiard                                | 0.035           |            | Machine           |
| bmfinal                                 | 0.114           |            | Machine           |
| buggychl_mcu                            | 0.182           |            | Device            |
| c64_user_port                           | 0.153           |            | Device            |
| c64_vic1011                             | 0.153           |            | Device            |
| cartslot_image                          | 0.155           |            | Device            |
| cdp1801                                 | 0.168           |            | Device            |
| cgb_lcd                                 | 0.179           |            | Device            |
| cirrus_vga                              | 0.161           |            | Device            |
| cninjaa                                 | 0.150           |            | Machine           |
| concept_exp_port                        | 0.155           |            | Device            |
| concept_fdc                             | 0.155           |            | Device            |
| concept_hdc                             | 0.155           |            | Device            |
| cop444                                  | 0.182           |            | Device            |
| cp400_fdc                               | 0.193           |            | Device            |
| cvs                                     | 0.122u5         |            | Machine           |
| dcprt                                   | 0.170           |            | Machine           |
| ddp3                                    | 0.105u5         |            | Machine           |
| deathsml                                | 0.144           |            | Machine           |
| demonwld4                               | 0.143u7         |            | Machine           |
| devcb_line_dispatch                     | 0.181           |            | Device            |
| dm9334                                  | 0.181           |            | Device            |
| dmg_lcd                                 | 0.179           |            | Device            |
| dvk_ksm01                               | 0.177           |            | Machine           |
| e01                                     | 0.146u5         |            | Device            |
| e05a03                                  | 0.154           |            | Device            |
| eaglshta                                | 0.100u3         |            | Machine           |
| eaglst1                                 | 0.175           |            | Machine           |
| ec_barx__bv                             | 0.148           |            | Machine           |
| ec_barx7                                | 0.143u5         |            | Machine           |
| ec_barxd                                | 0.143u5         |            | Machine           |
| ec_barxo                                | 0.148           |            | Machine           |
| ec_casbx__c                             | 0.148           |            | Machine           |
| ec_casbx__d                             | 0.148           |            | Machine           |
| ec_casbxo                               | 0.148           |            | Machine           |
| ec_casrb                                | 0.143u5         |            | Machine           |
| ec_cool7                                | 0.143u5         |            | Machine           |
| ec_magbr                                | 0.143u5         |            | Machine           |
| ec_sbarx__a5                            | 0.148           |            | Machine           |
| ec_sbarx__a6                            | 0.148           |            | Machine           |
| ec_sbarx__a7                            | 0.148           |            | Machine           |
| ec_sbarx__a8                            | 0.148           |            | Machine           |
| ec_sbarx__a9                            | 0.148           |            | Machine           |
| ec_sbarx__ba                            | 0.148           |            | Machine           |
| ec_sbarx__bb                            | 0.148           |            | Machine           |
| ec_sbarx__bc                            | 0.148           |            | Machine           |
| ec_sbarx__bd                            | 0.148           |            | Machine           |
| ec_sbarx__be                            | 0.148           |            | Machine           |
| ec_spbg7                                | 0.143u5         |            | Machine           |
| ec_supb7                                | 0.143u5         |            | Machine           |
| ec_supbx                                | 0.146u5         |            | Machine           |
| ec_suprb                                | 0.143u5         |            | Machine           |
| ec_supsl                                | 0.143u5         |            | Machine           |
| ec_unk2                                 | 0.143u4         |            | Machine           |
| ec_unk3                                 | 0.143u4         |            | Machine           |
| ec_unk4                                 | 0.143u4         |            | Machine           |
| eeprom                                  | 0.150           |            | Device            |
| einstei2                                | 0.192           |            | Machine           |
| einstein_adc                            | 0.192           |            | Device            |
| einstein_fire                           | 0.192           |            | Device            |
| einstein_keyboard                       | 0.192           |            | Device            |
| ep_simbg                                | 0.146u5         |            | Machine           |
| er59256                                 | 0.154           |            | Device            |
| espgal2                                 | 0.144           |            | Machine           |
| fcisio1                                 | 0.182           |            | Machine           |
| fcscsi1                                 | 0.182           |            | Machine           |
| flamolus                                | 0.175           |            | Machine           |
| flamoly                                 | 0.175           |            | Machine           |
| fmania                                  | 0.141u3         |            | Machine           |
| forgott1                                | 0.131u3         |            | Machine           |
| foxred                                  | 0.175           |            | Machine           |
| frenzy1                                 | 0.035b5         |            | Machine           |
| futari10                                | 0.144           |            | Machine           |
| futari15                                | 0.144           |            | Machine           |
| futari15a                               | 0.144           |            | Machine           |
| futariblk                               | 0.144           |            | Machine           |
| futspy                                  | 0.033b7         |            | Machine           |
| galag88b                                | 0.089           |            | Machine           |
| galaga84                                | 0.079u1         |            | Machine           |
| galagab2                                | 0.079u1         |            | Machine           |
| galagabl                                | 0.033b7         |            | Machine           |
| galagads                                | 0.079u1         |            | Machine           |
| galaxb                                  | 0.037b11        |            | Machine           |
| gamate_sound                            | 0.191           |            | Device            |
| gameboy_sound                           | 0.179           |            | Device            |
| gb_rom_m161m12                          | 0.175           |            | Device            |
| gb_rom_mbc1col                          | 0.161           |            | Device            |
| gen32_41                                | 0.189           |            | Machine           |
| gen32_oc                                | 0.171           |            | Machine           |
| geneve_mouse                            | 0.184           |            | Device            |
| gg_gear2gear_port                       | 0.158           |            | Device            |
| gldgong2                                | 0.174           |            | Machine           |
| goldnaxb                                | 0.131u3         |            | Machine           |
| gt103                                   | 0.132u4         |            | Machine           |
| gt103a                                  | 0.132u4         |            | Machine           |
| gt103a4                                 | 0.132u4         |            | Machine           |
| gt103ab                                 | 0.132u4         |            | Machine           |
| gtsers10a                               | 0.165           |            | Machine           |
| guab21                                  | 0.164           |            | Machine           |
| guab3a                                  | 0.164           |            | Machine           |
| guab4                                   | 0.164           |            | Machine           |
| guab43                                  | 0.164           |            | Machine           |
| guab6                                   | 0.164           |            | Machine           |
| guab6a                                  | 0.164           |            | Machine           |
| guab7                                   | 0.164           |            | Machine           |
| hd63484l                                | 0.174           |            | Device            |
| hetbrlu2                                | 0.122u7         |            | Machine           |
| hunchy                                  | 0.033b7         |            | Machine           |
| hunchy                                  | 0.036b3         |            | Machine           |
| i8275                                   | 0.154           |            | Device            |
| ibara                                   | 0.144           |            | Machine           |
| ibarablk                                | 0.144           |            | Machine           |
| ibarablka                               | 0.144           |            | Machine           |
| ioga                                    | 0.192           |            | Device            |
| iq151_minigrirem_m62_audioaf            | 0.181           |            | Device            |
| isa_ide_cd                              | 0.150           |            | Device            |
| j5slvreeb                               | 0.143u5         |            | Machine           |
| j80r66                                  | 0.146u5         |            | Machine           |
| jolycdat                                | 0.147u2         |            | Machine           |
| josvolly8741_4pack                      | 0.182           |            | Device            |
| joustg                                  | 0.033b7         |            | Machine           |
| k051649                                 | 0.154           |            | Device            |
| k2k_ss5_cart                            | 0.174           |            | Device            |
| k2k_ss5s_cart                           | 0.174           |            | Device            |
| karous                                  | 0.131u1         |            | Machine           |
| kinst13                                 | 0.188           |            | Machine           |
