#  allMAMErenamed 0.01 > 0.196
#
#  All sets renamed, from the first version,
#  in alphabetical order
#
#
#  © 2010/2018 AntoPISA
#
#
----------------------------------------------------------------------------------------------------------
| Old_NameSet                | New_NameSet              | Change_In    | Note        |  Type             |
==========================================================================================================
| 136094-0072                | 136094_0072              | 0.184        |             | Device            |
| 136095-0072                | 136095_0072              | 0.184        |             | Device            |
| 1941                       | 1941r1                   | 0.145u5      |             | Machine           |
| 1942                       | 1942a                    | 0.124u4      |             | Machine           |
| 1942a                      | 1942b                    | 0.124u4      |             | Machine           |
| 1942b                      | 1942                     | 0.124u4      |             | Machine           |
| 1943                       | 1943u                    | 0.138u1      |             | Machine           |
| 1943j                      | 1943ja                   | 0.143u5      |             | Machine           |
| 1943ja                     | 1943jah                  | 0.189        |             | Machine           |
| 1943jap                    | 1943j                    | 0.035rc2     |             | Machine           |
| 19xxa                      | 19xxar1                  | 0.155        |             | Machine           |
| 19xxj                      | 19xxjr1                  | 0.153        |             | Machine           |
| 19xxj                      | 19xxjr1                  | 0.053        |             | Machine           |
| 19xxjr1                    | 19xxjr2                  | 0.153        |             | Machine           |
| 20pacgaa                   | 20pacgala                | 0.133u1      |             | Machine           |
| 20pacgal                   | 20pacgalr4               | 0.138u1      |             | Machine           |
| 20pacgal                   | 20pacgaa                 | 0.127u6      |             | Machine           |
| 20pacgala                  | 20pacgalr1               | 0.138u1      |             | Machine           |
| 25pacman                   | 25pacmano                | 0.150        |             | Machine           |
| 315-5641_pcm               | 315_5641_pcm             | 0.184        |             | Device            |
| 3do                        | 3dobios                  | 0.147u1      |             | Machine           |
| 3ds                        | threeds                  | 0.154        |             | Machine           |
| 3wonderh                   | 3wondersh                | 0.133u1      |             | Machine           |
| 3wonderj                   | wonder3                  | 0.036b4      |             | Machine           |
| 3wonders                   | 3wonderu                 | 0.037b13     |             | Machine           |
| 3wonderu                   | 3wondersu                | 0.133u1      |             | Machine           |
| 47pie2                     | suchie2                  | 0.194        |             | Machine           |
| 47pie2o                    | suchie2o                 | 0.194        |             | Machine           |
| 5061-3001                  | 5061_3001                | 0.184        |             | Device            |
| 5061-3011                  | 5061_3011                | 0.184        |             | Device            |
| 50lionr                    | 50lionrr                 | 0.175        |             | Machine           |
| 50lions                    | 50lionsa                 | 0.146u4      |             | Machine           |
| 50lionsa                   | 50lionsm                 | 0.175        |             | Machine           |
| 50lionsa                   | 50lions                  | 0.146u4      |             | Machine           |
| 56xx                       | namco56                  | 0.186        |             | Device            |
| 58xx                       | namco58                  | 0.186        |             | Device            |
| 59xx                       | namco59                  | 0.186        |             | Device            |
| 5draga                     | 5drag                    | 0.175        |             | Machine           |
| 5dragons                   | 5dragsp                  | 0.175        |             | Machine           |
| 64streej                   | 64streetj                | 0.133u1      |             | Machine           |
| 720b                       | 720r3                    | 0.076u1      |             | Machine           |
| 74153                      | ttl153                   | 0.182        |             | Device            |
| 74hc157                    | hc157                    | 0.194        |             | Device            |
| 74hct157                   | hct157                   | 0.194        |             | Device            |
| 74ls157                    | ls157                    | 0.194        |             | Device            |
| 8ballat2                   | 8ballact2                | 0.133u1      |             | Machine           |
| 99                         | 99lstwar                 | 0.036b10     |             | Machine           |
| 99lstwra                   | 99lstwara                | 0.133u1      |             | Machine           |
| 99lstwrk                   | 99lstwark                | 0.133u1      |             | Machine           |
| 9ballsh2                   | 9ballsht2                | 0.133u1      |             | Machine           |
| 9ballsh3                   | 9ballsht3                | 0.133u1      |             | Machine           |
| 9ballshc                   | 9ballshtc                | 0.133u1      |             | Machine           |
| a1000p                     | a1000                    | 0.147u2      |             | Machine           |
| a1200p                     | a1200                    | 0.147u2      |             | Machine           |
| a2600_dcp                  | a2600_dpc                | 0.186        |             | Device            |
| a3010                      | aa3010                   | 0.180        |             | Machine           |
| a3020                      | aa3020                   | 0.180        |             | Machine           |
| a310                       | aa310                    | 0.180        |             | Machine           |
| a500p                      | a500                     | 0.147u2      |             | Machine           |
| a500pl                     | a500p                    | 0.154        |             | Machine           |
| a500pln                    | a500pn                   | 0.154        |             | Machine           |
| a51r3k                     | area51                   | 0.082u1      |             | Machine           |
| a78_highscore              | a78_hiscore              | 0.186        |             | Device            |
| abc                        | bridgec3                 | 0.149u1      |             | Machine           |
| abc210                     | acw443                   | 0.167        |             | Machine           |
| abcfd2                     | abc_fd2                  | 0.146u5      |             | Device            |
| abnudge                    | abnudgeo                 | 0.133u2      |             | Machine           |
| abnudgev                   | abnudge                  | 0.133u2      |             | Machine           |
| ac1sptb                    | pr_sptb                  | 0.146u4      |             | Machine           |
| acchi                      | patapata                 | 0.186        |             | Machine           |
| ace                        | jupace                   | 0.144u1      |             | Machine           |
| aceattaa                   | aceattaca                | 0.133u1      |             | Machine           |
